Gene_original,Gene_limpo,ENTREZID
TECPR2,TECPR2,9895
U2SURP,U2SURP,23350
SETD1A,SETD1A,9739
SYNM,SYNM,23336
KIF3B,KIF3B,9371
PFAS,PFAS,5198
NACAD,NACAD,23148
DCLK1,DCLK1,9201
ARHGEF11,ARHGEF11,9826
ZNF536,ZNF536,9745
PRORP,PRORP,9692
CHUK,CHUK,1147
FYB1,FYB1,2533
NPC1,NPC1,4864
DEGS1,DEGS1,8560
ANGPT2,ANGPT2,285
SCAMP1,SCAMP1,9522
SCAMP2,SCAMP2,10066
ARPC1B,ARPC1B,10095
ARPC2,ARPC2,10109
ARPC3,ARPC3,10094
POLR1C,POLR1C,9533
PLSCR1,PLSCR1,5359
TRIM24,TRIM24,8805
PGRMC2,PGRMC2,10424
RGL2,RGL2,5863
PFDN6,PFDN6,10471
GSTA4,GSTA4,2941
GNPAT,GNPAT,8443
LAMA5,LAMA5,3911
NDUFA1,NDUFA1,4694
VGF,VGF,7425
LEPROT,LEPROT,54741
ACOX3,ACOX3,8310
RER1,RER1,11079
SURF4,SURF4,6836
SPTLC1,SPTLC1,10558
SPTLC2,SPTLC2,9517
OGT,OGT,8473
PMM2,PMM2,5373
TM9SF1,TM9SF1,10548
INPP4B,INPP4B,8821
MID1,MID1,4281
HMGB3,HMGB3,3149
PPM1G,PPM1G,5496
INPPL1,INPPL1,3636
EIF3D,EIF3D,8664
EIF3H,EIF3H,8667
HDAC3,HDAC3,8841
NVL,NVL,4931
BCAT2,BCAT2,587
NCAM2,NCAM2,4685
IPO8,IPO8,10526
STX7,STX7,8417
SLC16A3,SLC16A3,9123
ABCC3,ABCC3,8714
ABCC4,ABCC4,10257
POLR1G,POLR1G,10849
P4HA2,P4HA2,8974
CAPN5,CAPN5,726
GYG2,GYG2,8908
YKT6,YKT6,10652
ARPC5,ARPC5,10092
DDX3Y,DDX3Y,8653
TAPBP,TAPBP,6892
FABP7,FABP7,2173
DHX15,DHX15,1665
RNMT,RNMT,8731
ZZEF1,ZZEF1,23140
