ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database,n_genes_input,category,subcategory
GO:0140640,"catalytic activity, acting on a nucleic acid",68/423,300/5624,0.22666666666666666,3.0136485421591805,10.222004658233672,1.2061433539896583e-17,8.430942044387712e-15,7.414607565578531e-15,10799/56916/64216/8091/2071/2956/5111/5558/4436/4172/27292/4175/1662/1659/10212/4343/23244/3669/4171/10436/23517/5983/4176/84172/2237/5982/4174/11056/9188/81627/56897/5422/22894/55621/51106/4173/55226/5394/57647/9775/5393/54606/4839/51202/64794/23016/3978/1665/9044/79731/10556/51010/117246/5437/4234/54464/11284/8087/54517/90459/55661/9533/54973/5965/51651/2091/80324/1022,68,ATRT_vs_Glial,Up,GO_MF,430,NA,NA
GO:0030684,preribosome,37/426,75/5669,0.49333333333333335,6.565039123630673,13.828256098125276,1.399772146632369e-22,6.732904025301694e-20,6.144263001533661e-20,55781/84128/79954/27292/84916/25879/79050/10436/22984/10199/55813/27340/55272/55226/5394/5822/9790/55127/57647/56902/23160/10885/51096/57050/26155/10607/65083/705/134430/117246/10813/30836/23481/23246/90441/84135/2091,37,ATRT_vs_Glial,Up,GO_CC,430,NA,NA
HALLMARK_MITOTIC_SPINDLE,Genes important for mitotic spindle assembly.,38/359,119/2091,0.31932773109243695,1.8599283724631912,4.396719172145122,3.5904367007146056e-5,0.001614233336145347,0.0013870963146254327,2037/6709/6711/57580/10006/23012/4082/7248/5048/3996/394/8976/10160/127829/23580/7531/396/4763/10611/9371/1739/274/2017/29/22920/23365/10163/7277/7461/667/613/10300/5829/11135/7074/7204/10801/4983,38,ATRT_vs_Glial,Down,Hallmark,939,NA,NA
hsa04724,Glutamatergic synapse,24/577,46/3259,0.5217391304347826,2.946876648330947,6.167313835758562,9.246210491268282e-8,1.6681055541348378e-5,1.0247369334715093e-5,2775/55970/2776/5594/5578/5595/59345/2771/2783/5530/5567/2782/3709/2752/6507/6506/23154/5534/2773/2898/2893/156/2890/23236,24,ATRT_vs_Glial,Down,KEGG,939,Organismal Systems,Nervous system
R-HSA-112316,Neuronal System,64/656,144/4133,0.4444444444444444,2.800135501355013,9.549577455558971,1.1041408930156296e-16,1.3691347073393807e-13,1.0901938501564849e-13,2037/217/55970/5594/5578/5595/2036/4646/59345/18/2771/2783/5879/818/10313/817/5567/4128/2782/590/347733/7915/7280/1312/55327/2752/10611/6812/94030/23136/27020/57669/6507/1739/6506/160/3845/5789/8573/1173/2773/3556/781/6196/4905/7277/2898/163/1175/83988/5565/79861/2893/7102/80086/8825/10382/28964/54413/2890/6844/10381/23236/3766,64,ATRT_vs_Glial,Down,Reactome,939,NA,NA
GO:0030029,actin filament-based process,127/894,394/5514,0.3223350253807107,1.9880932102340478,8.95267488202187,1.9737878419471347e-16,9.872886785419569e-13,8.402103192457068e-13,118/2037/120/6709/6711/81553/1809/57580/10006/23396/26999/388/84168/2036/10580/10787/4082/7248/4646/6717/81873/5962/5879/28988/114793/5048/3996/830/10552/8976/4035/22902/5339/817/5295/10152/7111/5898/10160/7082/348110/961/287/65108/2764/1465/23580/391/29767/83660/11188/1073/2475/23122/23191/9444/64236/9922/5217/63916/4763/10611/5290/477/1785/2059/23136/57669/1739/57551/3636/274/3845/2017/9578/55160/55740/50488/116985/476/399687/85477/9368/2824/51571/57026/23406/29085/10163/84687/119/781/140465/25802/8572/84978/5872/57482/5881/55616/5911/613/5829/11135/30011/10391/10458/10801/1266/2039/79778/4983/26084/8153/10634/56907/79784/55604/57731/9026/22998/22808/54749/2318/4644/25959/7168,127,ATRT_vs_Glial,Down,GO_BP,939,NA,NA
GO:0005525,GTP binding,68/920,203/5624,0.33497536945812806,2.047718997644035,6.7235313310002915,7.959464380013062e-10,5.843412855699712e-7,5.011144681192159e-7,23176/2775/2776/388/5869/2771/2794/2767/10672/55207/5879/2634/5868/4735/30845/5898/53916/9230/127829/10890/989/7879/391/347733/201475/23011/8396/403/5870/7280/51128/81876/2983/10670/51560/51715/1785/11021/64121/26052/3845/5906/5414/55915/50808/2633/6009/51062/2773/6102/5872/7277/2768/318/5881/5911/11031/79861/5027/80086/10382/116988/10801/8153/10381/2746/22800/22808,68,ATRT_vs_Glial,Down,GO_MF,939,NA,NA
GO:0098590,plasma membrane region,136/923,450/5669,0.3022222222222222,1.8562272781991092,8.347445121345226,8.847774032654599e-15,5.184795583135595e-12,3.3435272397084224e-12,55198/495/2775/6711/5594/23396/388/84168/5595/10580/10787/975/4646/10672/5962/2823/5879/10552/361/493/4035/4897/4735/30845/5898/10160/7082/6814/1399/10768/287/3685/989/4685/23011/23122/4478/11258/5728/5213/490/24138/1410/482/208/55327/1499/8867/477/928/1785/9429/3675/6812/11021/94030/2059/55914/23136/27020/57669/6507/10617/1739/5064/3636/6506/64398/160/960/2060/376497/5789/476/115207/22920/9368/84896/8573/481/3705/9351/57026/27347/10163/1173/84687/529/6810/5335/8613/92154/5364/9847/523/119/781/2596/2026/9342/6102/8572/57406/526/8671/9053/8082/2768/2898/8140/113026/163/667/5911/6855/161742/2893/8714/8825/5420/8898/64805/9194/10458/26123/54413/2890/2039/56907/26232/583/9026/288/9854/3766/7168,136,ATRT_vs_Glial,Down,GO_CC,939,NA,NA
HALLMARK_E2F_TARGETS,Genes encoding cell cycle related targets of E2F transcription factors.,64/258,116/2091,0.5517241379310345,4.471531676022454,14.430066766063456,6.4434172322228616e-31,2.963971926822516e-29,2.713017781988573e-29,4174/24137/79677/4176/10212/4175/4173/4085/3978/4171/8726/9918/4830/55148/4172/9319/10051/4292/27338/7153/3149/29028/4999/3838/3835/29089/1503/1786/7913/7112/3148/4678/4436/5558/10274/203068/55646/23047/10492/6749/11340/10535/51155/5982/5983/79077/4288/2547/3925/25842/51747/4001/1854/81611/8243/10528/5111/3184/9221/6426/9126/3930/23468/5395,64,MB_vs_EPN_like,Up,Hallmark,793,NA,NA
hsa03008,Ribosome biogenesis in eukaryotes,34/374,50/3259,0.68,5.925454545454547,12.635280613764436,2.37825950362262e-21,6.492648444889752e-19,6.458852125627747e-19,23195/10482/55131/9790/345630/55651/51096/134430/55272/84916/55127/4809/5822/23160/55226/23560/26354/10813/6949/55813/10607/51602/10528/10199/1736/10436/54433/84135/10556/55505/2091/10799/55781/10885,34,MB_vs_EPN_like,Up,KEGG,793,Genetic Information Processing,Translation
