Gene,logFC,adj.P.Val,Contrast,Gene_limpo,ENTREZID,Regulation
MCM2,2.5940917624126243,1.4935121541592995e-8,MB_vs_EPN_like,MCM2,4171,Up
EED,1.9626180574560976,1.5970861070903242e-8,MB_vs_EPN_like,EED,8726,Up
KIF11,2.2421810261037862,1.601016704591115e-8,MB_vs_EPN_like,KIF11,3832,Up
NFYC,1.5745909497010402,1.601016704591115e-8,MB_vs_EPN_like,NFYC,4802,Up
SMARCA5,1.7937927127489424,1.7350795356627998e-8,MB_vs_EPN_like,SMARCA5,8467,Up
BPTF,2.181576395399894,1.7930784488699508e-8,MB_vs_EPN_like,BPTF,2186,Up
SMC2,2.000405936604235,1.9892088502525383e-8,MB_vs_EPN_like,SMC2,10592,Up
DNAJC9,1.6586867419612155,2.109638989506615e-8,MB_vs_EPN_like,DNAJC9,23234,Up
FAM76B,2.6169097708091833,2.3589891431428274e-8,MB_vs_EPN_like,FAM76B,143684,Up
ELAVL2,2.8556990850297765,2.5455109475701118e-8,MB_vs_EPN_like,ELAVL2,1993,Up
TMA16,2.0263980308449447,2.9167796193132285e-8,MB_vs_EPN_like,TMA16,55319,Up
TCF4,3.3691485983956415,3.199160296389866e-8,MB_vs_EPN_like,TCF4,6925,Up
ZNF512,1.8174448400649261,3.199160296389866e-8,MB_vs_EPN_like,ZNF512,84450,Up
EP400,1.5231645281697688,3.199160296389866e-8,MB_vs_EPN_like,EP400,57634,Up
RALYL,3.995430605494743,3.226019045379539e-8,MB_vs_EPN_like,RALYL,138046,Up
NCAPD2,1.6621518056474116,3.226019045379539e-8,MB_vs_EPN_like,NCAPD2,9918,Up
ZNF608,3.3052432194091566,3.3385456612246886e-8,MB_vs_EPN_like,ZNF608,57507,Up
ZNF574,3.3566109358795373,3.339145242468849e-8,MB_vs_EPN_like,ZNF574,64763,Up
YEATS4,1.8651672650915927,3.6521252915366094e-8,MB_vs_EPN_like,YEATS4,8089,Up
SENP3,1.4680790143166256,3.6521252915366094e-8,MB_vs_EPN_like,SENP3,26168,Up
ATF7IP,1.4676955802408855,3.670344105601603e-8,MB_vs_EPN_like,ATF7IP,55729,Up
IGFBPL1,3.2160165935494547,3.735451026851035e-8,MB_vs_EPN_like,IGFBPL1,347252,Up
RIOX2,2.0066625730928145,3.735451026851035e-8,MB_vs_EPN_like,RIOX2,84864,Up
KIF21B,2.217659282025558,3.8928852177460354e-8,MB_vs_EPN_like,KIF21B,23046,Up
EHMT1,1.6361787117464566,4.0016642000338885e-8,MB_vs_EPN_like,EHMT1,79813,Up
NME1,1.7886485939045649,4.056362059220599e-8,MB_vs_EPN_like,NME1,4830,Up
ZNF618,2.120646952816614,4.355312737451766e-8,MB_vs_EPN_like,ZNF618,114991,Up
XPO5,2.3800839257466,4.358819489669575e-8,MB_vs_EPN_like,XPO5,57510,Up
ZNF609,3.1497033994510026,4.386894652319688e-8,MB_vs_EPN_like,ZNF609,23060,Up
C5orf24,3.352259201177551,4.54762235728515e-8,MB_vs_EPN_like,C5orf24,134553,Up
UBR7,1.788291086441685,4.57606294206978e-8,MB_vs_EPN_like,UBR7,55148,Up
PHF21A,3.469960453758185,4.6523032281888895e-8,MB_vs_EPN_like,PHF21A,51317,Up
ARID1B,3.367760434645353,4.6523032281888895e-8,MB_vs_EPN_like,ARID1B,57492,Up
DBR1,1.616915140810395,4.6523032281888895e-8,MB_vs_EPN_like,DBR1,51163,Up
SRSF8,2.185268756516555,4.6654395985401965e-8,MB_vs_EPN_like,SRSF8,10929,Up
ZNF629,3.5474208720529283,4.671783786042908e-8,MB_vs_EPN_like,ZNF629,23361,Up
MCRS1,3.5468566830330825,4.818848775493432e-8,MB_vs_EPN_like,MCRS1,10445,Up
ZNF579,1.9493019072731244,4.952513571419447e-8,MB_vs_EPN_like,ZNF579,163033,Up
MYT1,3.6826880861372278,5.485021784957055e-8,MB_vs_EPN_like,MYT1,4661,Up
FKBP7,2.4377750072184625,6.658722417767628e-8,MB_vs_EPN_like,FKBP7,51661,Up
NCAPD3,2.1216028947627947,6.947383271972592e-8,MB_vs_EPN_like,NCAPD3,23310,Up
SOX11,3.3600779988942016,6.985178851216698e-8,MB_vs_EPN_like,SOX11,6664,Up
CENPC,3.6786780762318223,7.117823233314473e-8,MB_vs_EPN_like,CENPC,1060,Up
MCM3,2.7450221545001057,7.913753711720529e-8,MB_vs_EPN_like,MCM3,4172,Up
DNAJC17,1.5821213509501568,7.913753711720529e-8,MB_vs_EPN_like,DNAJC17,55192,Up
CTDSPL2,1.4456040521675249,8.020708131139213e-8,MB_vs_EPN_like,CTDSPL2,51496,Up
RIF1,1.999568445930862,8.731160017024217e-8,MB_vs_EPN_like,RIF1,55183,Up
SUPT6H,1.4926182673945156,8.872394830915855e-8,MB_vs_EPN_like,SUPT6H,6830,Up
BAZ1A,3.4567448456770897,9.047771781308072e-8,MB_vs_EPN_like,BAZ1A,11177,Up
TRIP13,1.8607027828437381,9.990427364919455e-8,MB_vs_EPN_like,TRIP13,9319,Up
DNMT3A,1.6014516862119663,1.0922781381599595e-7,MB_vs_EPN_like,DNMT3A,1788,Up
DUS3L,1.79285004032511,1.097876356923578e-7,MB_vs_EPN_like,DUS3L,56931,Up
SMC4,1.5047080277976512,1.2095493292575228e-7,MB_vs_EPN_like,SMC4,10051,Up
SAAL1,2.3997432364899165,1.2543668805449783e-7,MB_vs_EPN_like,SAAL1,113174,Up
ESF1,2.141420973966998,1.336500949608463e-7,MB_vs_EPN_like,ESF1,51575,Up
EXOSC10,1.6858974849728092,1.4592505741573168e-7,MB_vs_EPN_like,EXOSC10,5394,Up
BUD23,1.4899407411795629,1.5150254189103078e-7,MB_vs_EPN_like,BUD23,114049,Up
UHRF1,1.8570663272691874,1.559331048459658e-7,MB_vs_EPN_like,UHRF1,29128,Up
PDS5A,1.4866282235912287,1.6134120015725418e-7,MB_vs_EPN_like,PDS5A,23244,Up
EHMT2,3.015068476857998,1.615996620820838e-7,MB_vs_EPN_like,EHMT2,10919,Up
LIG3,1.4463386772424514,1.668320474147087e-7,MB_vs_EPN_like,LIG3,3980,Up
EDC3,1.5681850602419019,1.7341481740848097e-7,MB_vs_EPN_like,EDC3,80153,Up
MLH1,1.9063403334100713,1.9755299481166236e-7,MB_vs_EPN_like,MLH1,4292,Up
MSH6,1.790896597049155,1.9998739460818467e-7,MB_vs_EPN_like,MSH6,2956,Up
POGZ,1.5731275933441538,2.1215060421104225e-7,MB_vs_EPN_like,POGZ,23126,Up
AQR,1.5500739696889312,2.1215060421104225e-7,MB_vs_EPN_like,AQR,9716,Up
NSUN5,1.6566755804347757,2.2492964063048128e-7,MB_vs_EPN_like,NSUN5,55695,Up
UBE2S,3.5307784672489912,2.2671769549936336e-7,MB_vs_EPN_like,UBE2S,27338,Up
KMT2A,2.172656936861074,2.2671769549936336e-7,MB_vs_EPN_like,KMT2A,4297,Up
TOP2A,2.2692699691840694,2.7132150429516777e-7,MB_vs_EPN_like,TOP2A,7153,Up
PPP1R10,1.2362259534710809,2.795216804182034e-7,MB_vs_EPN_like,PPP1R10,5514,Up
DHPS,1.8899602000737126,2.8436897850821934e-7,MB_vs_EPN_like,DHPS,1725,Up
ZNF462,2.857851548947316,3.0083690979175907e-7,MB_vs_EPN_like,ZNF462,58499,Up
HMGB3,1.8404328794714004,3.027142430207767e-7,MB_vs_EPN_like,HMGB3,3149,Up
RCC2,2.2574879834857207,3.105448377245962e-7,MB_vs_EPN_like,RCC2,55920,Up
UBTF,1.7896470633896229,3.105448377245962e-7,MB_vs_EPN_like,UBTF,7343,Up
SMNDC1,1.5126150863063401,3.350820378498556e-7,MB_vs_EPN_like,SMNDC1,10285,Up
KDM1A,1.7820759540295015,3.3615071534406076e-7,MB_vs_EPN_like,KDM1A,23028,Up
PPIP5K2,1.70196657921284,3.384007207895161e-7,MB_vs_EPN_like,PPIP5K2,23262,Up
ATAD2,2.7444841143027787,3.5825063183700226e-7,MB_vs_EPN_like,ATAD2,29028,Up
TAF6,1.2783059296126424,3.6407619764005106e-7,MB_vs_EPN_like,TAF6,6878,Up
RSBN1,1.7731209908502024,3.7184033416837016e-7,MB_vs_EPN_like,RSBN1,54665,Up
ORC2,2.523418190351034,4.07659995714392e-7,MB_vs_EPN_like,ORC2,4999,Up
FXR2,1.7228238873975457,4.2082210670147197e-7,MB_vs_EPN_like,FXR2,9513,Up
KIAA1143,1.846168498447991,4.2577197707095585e-7,MB_vs_EPN_like,KIAA1143,57456,Up
PLXNA3,1.8562207534817716,4.3854716101421977e-7,MB_vs_EPN_like,PLXNA3,55558,Up
SBNO1,2.3754734052807702,4.4259644835994e-7,MB_vs_EPN_like,SBNO1,55206,Up
TOX4,1.3877091191737136,4.6393805758224516e-7,MB_vs_EPN_like,TOX4,9878,Up
COIL,1.7626982459621345,4.6407847153467305e-7,MB_vs_EPN_like,COIL,8161,Up
HIRA,1.445037900177315,5.033841999714494e-7,MB_vs_EPN_like,HIRA,7290,Up
PRPF18,2.7239460948993237,5.121689082563523e-7,MB_vs_EPN_like,PRPF18,8559,Up
KPNA2,1.712577441000633,5.214216380226496e-7,MB_vs_EPN_like,KPNA2,3838,Up
CEP170,2.419949930221293,5.232701533203284e-7,MB_vs_EPN_like,CEP170,9859,Up
MBD3,1.2502134820854032,5.232701533203284e-7,MB_vs_EPN_like,MBD3,53615,Up
KIF22,3.008025986385727,5.261211510667252e-7,MB_vs_EPN_like,KIF22,3835,Up
KNOP1,2.6910598437950988,5.776064164713569e-7,MB_vs_EPN_like,KNOP1,400506,Up
SPIN1,1.9333485652383828,5.923442565005646e-7,MB_vs_EPN_like,SPIN1,10927,Up
OTX2,2.9454799999507095,6.100287385945057e-7,MB_vs_EPN_like,OTX2,5015,Up
NCAPH,2.6076966678137357,6.107003924822138e-7,MB_vs_EPN_like,NCAPH,23397,Up
UBE2T,3.0914518426491604,6.125229016262639e-7,MB_vs_EPN_like,UBE2T,29089,Up
ZCCHC17,2.96606952722928,6.406353384779445e-7,MB_vs_EPN_like,ZCCHC17,51538,Up
SPEN,1.1734663427576812,6.523082030666322e-7,MB_vs_EPN_like,SPEN,23013,Up
JMJD6,1.8106960568023105,6.527623690009048e-7,MB_vs_EPN_like,JMJD6,23210,Up
IRGQ,2.3362280112755904,6.57279827455883e-7,MB_vs_EPN_like,IRGQ,126298,Up
TRIM33,1.6370011931317947,6.813132869968347e-7,MB_vs_EPN_like,TRIM33,51592,Up
FEN1,2.129447326267833,6.816904299673778e-7,MB_vs_EPN_like,FEN1,2237,Up
SMARCA4,2.068767800076337,7.304487510491365e-7,MB_vs_EPN_like,SMARCA4,6597,Up
PSME4,1.5569530869640182,7.571514181650898e-7,MB_vs_EPN_like,PSME4,23198,Up
RTF1,1.275553856431415,7.571514181650898e-7,MB_vs_EPN_like,RTF1,23168,Up
TRIM24,1.6687772740138982,7.645745942024337e-7,MB_vs_EPN_like,TRIM24,8805,Up
GABPA,1.307675249192929,8.213245470686983e-7,MB_vs_EPN_like,GABPA,2551,Up
MDN1,1.6543215430837606,8.484940983155211e-7,MB_vs_EPN_like,MDN1,23195,Up
DCAF1,1.4643771073701934,8.484940983155211e-7,MB_vs_EPN_like,DCAF1,9730,Up
CTPS1,2.0986092268451593,8.494624397561068e-7,MB_vs_EPN_like,CTPS1,1503,Up
ZMYM2,1.5840486997880205,8.614102853100343e-7,MB_vs_EPN_like,ZMYM2,7750,Up
KAT7,1.5591766203424662,8.614102853100343e-7,MB_vs_EPN_like,KAT7,11143,Up
ZEB2,1.8666159825354143,8.820560942261821e-7,MB_vs_EPN_like,ZEB2,9839,Up
DNMT1,1.9245166212542308,1.0250151400985629e-6,MB_vs_EPN_like,DNMT1,1786,Up
DMAP1,1.3178046724875685,1.0680192279793526e-6,MB_vs_EPN_like,DMAP1,55929,Up
PFAS,1.620235636853181,1.1461772411350205e-6,MB_vs_EPN_like,PFAS,5198,Up
SRPK1,1.6872515656249547,1.191098980286211e-6,MB_vs_EPN_like,SRPK1,6732,Up
MAZ,2.6750207766709977,1.1979465230272964e-6,MB_vs_EPN_like,MAZ,4150,Up
TLK2,2.4084711565455095,1.295607527031706e-6,MB_vs_EPN_like,TLK2,11011,Up
SAP30BP,1.2618871552217428,1.3254472037615509e-6,MB_vs_EPN_like,SAP30BP,29115,Up
KIFC1,2.736413055846114,1.3468245874958166e-6,MB_vs_EPN_like,KIFC1,3833,Up
CXXC5,1.9626205699730122,1.3468245874958166e-6,MB_vs_EPN_like,CXXC5,51523,Up
WDR70,1.472265493728088,1.4007111590250833e-6,MB_vs_EPN_like,WDR70,55100,Up
DCAF11,2.634763807374968,1.4371721963171784e-6,MB_vs_EPN_like,DCAF11,80344,Up
NXF1,1.3874746196399492,1.4952508810942137e-6,MB_vs_EPN_like,NXF1,10482,Up
RBM28,1.7876066221302302,1.603189599402572e-6,MB_vs_EPN_like,RBM28,55131,Up
SMARCD1,1.7955550006322198,1.7406545824502597e-6,MB_vs_EPN_like,SMARCD1,6602,Up
NUDT1,1.9606357673758161,1.7524315335917024e-6,MB_vs_EPN_like,NUDT1,4521,Up
DDX21,2.184884765971912,1.8200476952571798e-6,MB_vs_EPN_like,DDX21,9188,Up
TRRAP,1.4000571844253038,1.9146479457510565e-6,MB_vs_EPN_like,TRRAP,8295,Up
DEK,1.650771068365401,1.977893624548336e-6,MB_vs_EPN_like,DEK,7913,Up
CHAF1B,2.375819022515403,2.0001906105617247e-6,MB_vs_EPN_like,CHAF1B,8208,Up
AARSD1,1.6649116889716566,2.077238564075484e-6,MB_vs_EPN_like,AARSD1,80755,Up
DIS3,1.6608628559333063,2.0802112042595123e-6,MB_vs_EPN_like,DIS3,22894,Up
DHX16,1.3047243784885012,2.103869678506329e-6,MB_vs_EPN_like,DHX16,8449,Up
BRD8,2.373457108184102,2.107375305401854e-6,MB_vs_EPN_like,BRD8,10902,Up
ENGASE,1.4924113518480304,2.1097733790634807e-6,MB_vs_EPN_like,ENGASE,64772,Up
ISY1,1.4304953839057148,2.1507333189169224e-6,MB_vs_EPN_like,ISY1,57461,Up
RBM22,1.1540812279905523,2.183211539730943e-6,MB_vs_EPN_like,RBM22,55696,Up
TMPO,2.006279477192983,2.234381901713965e-6,MB_vs_EPN_like,TMPO,7112,Up
PAXIP1,2.4422183039071257,2.2930644457525386e-6,MB_vs_EPN_like,PAXIP1,22976,Up
SUPT16H,1.5672597755695712,2.3108790491043946e-6,MB_vs_EPN_like,SUPT16H,11198,Up
CEBPZ,1.9085293386049074,2.3273701313595648e-6,MB_vs_EPN_like,CEBPZ,10153,Up
EXOSC3,1.6100355386325838,2.366826853159147e-6,MB_vs_EPN_like,EXOSC3,51010,Up
ADNP,1.4023892583434865,2.366826853159147e-6,MB_vs_EPN_like,ADNP,23394,Up
HDAC2,1.694981695813265,2.388592325663187e-6,MB_vs_EPN_like,HDAC2,3066,Up
CBX3,1.646419743127126,2.5334287132265377e-6,MB_vs_EPN_like,CBX3,11335,Up
NLE1,1.3985515331061755,2.5879445349397413e-6,MB_vs_EPN_like,NLE1,54475,Up
TRMT6,1.495572709414926,2.701590843696847e-6,MB_vs_EPN_like,TRMT6,51605,Up
ZC3H11A,1.350874975066784,2.929535821652982e-6,MB_vs_EPN_like,ZC3H11A,9877,Up
