Gene,logFC,adj.P.Val,Contrast,Gene_limpo,ENTREZID,Regulation
CRYL1,-3.222960791261368,2.3203592690530133e-8,MB_vs_Glial,CRYL1,51084,Down
VPS26C,-1.6798699864899618,2.333238586443521e-8,MB_vs_Glial,VPS26C,10311,Down
GNG12,-2.4544139040697353,2.342055044689803e-8,MB_vs_Glial,GNG12,55970,Down
GNAI2,-1.9932344994738145,2.4164542634934545e-8,MB_vs_Glial,GNAI2,2771,Down
SLC1A3,-4.814464120316924,2.5607327173803935e-8,MB_vs_Glial,SLC1A3,6507,Down
ADD3,-3.1021746607272007,2.7644398501504177e-8,MB_vs_Glial,ADD3,120,Down
PSAT1,-3.5219623327848097,3.083403897722048e-8,MB_vs_Glial,PSAT1,29968,Down
CPNE3,-1.6208821556517847,3.18901566945252e-8,MB_vs_Glial,CPNE3,8895,Down
ANK2,-3.5112871553539833,3.309212026585871e-8,MB_vs_Glial,ANK2,287,Down
ACYP2,-4.132850391480545,3.5697558419922583e-8,MB_vs_Glial,ACYP2,98,Down
TAP1,-2.3605190442948647,3.6231584717191455e-8,MB_vs_Glial,TAP1,6890,Down
CRAT,-1.856782564765993,4.036755614391987e-8,MB_vs_Glial,CRAT,1384,Down
SYPL1,-2.302755060746371,4.330440981581031e-8,MB_vs_Glial,SYPL1,6856,Down
CCDC93,-1.4570984688332587,4.749867560747651e-8,MB_vs_Glial,CCDC93,54520,Down
SPTBN1,-2.246584932702877,4.953814975852574e-8,MB_vs_Glial,SPTBN1,6711,Down
PEPD,-1.5275664911465299,4.9964412442315757e-08,MB_vs_Glial,PEPD,5184,Down
LHPP,-3.181906573552805,5.313326383299125e-8,MB_vs_Glial,LHPP,64077,Down
CCDC22,-1.2862035049760259,5.3530964528631595e-8,MB_vs_Glial,CCDC22,28952,Down
RDX,-1.4553091312981294,5.394884844898288e-8,MB_vs_Glial,RDX,5962,Down
HEPACAM,-4.452773157642451,5.5334439233632395e-8,MB_vs_Glial,HEPACAM,220296,Down
NCKAP1,-1.5462805344696449,5.61795646604348e-8,MB_vs_Glial,NCKAP1,10787,Down
CYFIP1,-1.3639940805024473,5.903144966701704e-8,MB_vs_Glial,CYFIP1,23191,Down
STK38L,-1.4501395823671785,6.389804124252075e-8,MB_vs_Glial,STK38L,23012,Down
FNTA,-1.4758515324706885,6.709359824289213e-8,MB_vs_Glial,FNTA,2339,Down
SLC44A2,-2.4149814121148836,6.78183179350012e-8,MB_vs_Glial,SLC44A2,57153,Down
PCYT2,-2.102198990618909,6.985219599666501e-8,MB_vs_Glial,PCYT2,5833,Down
AQP4,-5.671400650088238,7.209912845296125e-8,MB_vs_Glial,AQP4,361,Down
RAB7A,-1.1658531036857376,7.209912845296125e-8,MB_vs_Glial,RAB7A,7879,Down
ENOPH1,-1.6760625258231627,7.342176407476462e-8,MB_vs_Glial,ENOPH1,58478,Down
TRIM25,-1.736401816286417,8.36289108625443e-8,MB_vs_Glial,TRIM25,7706,Down
CYRIA,-2.258324279690239,8.756476451677216e-8,MB_vs_Glial,CYRIA,81553,Down
HSPB1,-2.304633819299415,8.858184594428435e-8,MB_vs_Glial,HSPB1,3315,Down
PTPRA,-1.7181682887775587,9.339730146943804e-8,MB_vs_Glial,PTPRA,5786,Down
S100A13,-3.4239690152928013,9.9817603303495e-8,MB_vs_Glial,S100A13,6284,Down
HSD17B12,-1.3963630859467067,1.0418135405252873e-7,MB_vs_Glial,HSD17B12,51144,Down
PHKB,-2.2334995494425733,1.0530103509259527e-7,MB_vs_Glial,PHKB,5257,Down
SORBS1,-2.7917667541569067,1.1505437560727772e-7,MB_vs_Glial,SORBS1,10580,Down
ATP4A,-2.4615034111046654,1.1854442554801532e-7,MB_vs_Glial,ATP4A,495,Down
LYPLAL1,-1.6214062580051554,1.1991257323262464e-7,MB_vs_Glial,LYPLAL1,127018,Down
CORO1B,-1.1743398796186106,1.2021953827817085e-7,MB_vs_Glial,CORO1B,57175,Down
GPRC5B,-2.3611275170009556,1.3851265447846634e-7,MB_vs_Glial,GPRC5B,51704,Down
