Gene,logFC,adj.P.Val,Contrast,Gene_limpo,ENTREZID,Regulation
DIMT1,2.660581741153848,2.6849310871590403e-4,ATRT_vs_EPN_like,DIMT1,27292,Up
SEMA4B,3.1565050732731166,2.7142523934649287e-4,ATRT_vs_EPN_like,SEMA4B,10509,Up
TFRC,3.9151416961538885,2.955785158279944e-4,ATRT_vs_EPN_like,TFRC,7037,Up
MOV10,2.156662449808742,2.9871961194771957e-4,ATRT_vs_EPN_like,MOV10,4343,Up
DDX10,1.7754362001029484,3.143307246646948e-4,ATRT_vs_EPN_like,DDX10,1662,Up
NCEH1,2.7548745741691327,3.3075424615884493e-4,ATRT_vs_EPN_like,NCEH1,57552,Up
PRIM2,2.3933263192764365,3.3075424615884493e-4,ATRT_vs_EPN_like,PRIM2,5558,Up
MEST,2.8604558885848235,3.516665253641087e-4,ATRT_vs_EPN_like,MEST,4232,Up
EML5,1.8696136640519683,3.5996305117886186e-4,ATRT_vs_EPN_like,EML5,161436,Up
COLGALT1,2.7555056408202105,3.628194168445977e-4,ATRT_vs_EPN_like,COLGALT1,79709,Up
CPOX,2.148270211380609,3.628194168445977e-4,ATRT_vs_EPN_like,CPOX,1371,Up
SPTLC2,2.1132843819561984,3.628194168445977e-4,ATRT_vs_EPN_like,SPTLC2,9517,Up
EML4,2.0471710166309904,3.663572424474037e-4,ATRT_vs_EPN_like,EML4,27436,Up
PXDN,2.02504159516457,3.663572424474037e-4,ATRT_vs_EPN_like,PXDN,7837,Up
METTL17,2.8926164803775745,3.986176095929216e-4,ATRT_vs_EPN_like,METTL17,64745,Up
STAT6,1.7569827174166193,3.986176095929216e-4,ATRT_vs_EPN_like,STAT6,6778,Up
PROCR,2.3698033968566357,4.513432363284569e-4,ATRT_vs_EPN_like,PROCR,10544,Up
BCCIP,2.3223007785391694,4.513432363284569e-4,ATRT_vs_EPN_like,BCCIP,56647,Up
DUSP12,1.8080720170661202,4.6939992721291876e-4,ATRT_vs_EPN_like,DUSP12,11266,Up
TIMP3,2.311679092955302,7.036027015646917e-4,ATRT_vs_EPN_like,TIMP3,7078,Up
P3H1,2.708353893200787,7.157995619192374e-4,ATRT_vs_EPN_like,P3H1,64175,Up
UTP4,1.9061821789272315,7.454680388633905e-4,ATRT_vs_EPN_like,UTP4,84916,Up
