Gene,logFC,adj.P.Val,Contrast,Gene_limpo,ENTREZID,Regulation
NCKAP1,-1.832686287034413,1.1934109797872203e-5,ATRT_vs_Glial,NCKAP1,10787,Down
CD81,-3.2778431777887356,1.3575917485183924e-5,ATRT_vs_Glial,CD81,975,Down
STK38L,-1.7111283378282565,1.4373472271022209e-5,ATRT_vs_Glial,STK38L,23012,Down
ASRGL1,-3.3435329844191166,1.4851792178657731e-5,ATRT_vs_Glial,ASRGL1,80150,Down
ARHGEF6,-2.220638583595491,1.4851792178657731e-5,ATRT_vs_Glial,ARHGEF6,9459,Down
SDSL,-2.6692837445099613,1.4894176596317468e-5,ATRT_vs_Glial,SDSL,113675,Down
FHL1,-3.7136125898800323,1.592615134277274e-5,ATRT_vs_Glial,FHL1,2273,Down
PTPA,-1.538779840310994,1.6748914698251457e-5,ATRT_vs_Glial,PTPA,5524,Down
UBE2F,-1.6958266801257658,1.78221263299156e-5,ATRT_vs_Glial,UBE2F,140739,Down
MARCKS,-3.781390896673834,1.8444165923440916e-5,ATRT_vs_Glial,MARCKS,4082,Down
MAPRE2,-2.618096510185751,1.8650027128926007e-5,ATRT_vs_Glial,MAPRE2,10982,Down
RAB5B,-1.6366594540811867,1.9136825232573426e-5,ATRT_vs_Glial,RAB5B,5869,Down
TSC1,-2.304908729556189,2.0739218067955504e-5,ATRT_vs_Glial,TSC1,7248,Down
UBE2V1,-1.4760687594341917,2.0838109465283422e-5,ATRT_vs_Glial,UBE2V1,7335,Down
DYNC1LI2,-1.7744025556278942,2.1996298616560306e-5,ATRT_vs_Glial,DYNC1LI2,1783,Down
FUNDC2,-1.6625136603101147,2.1996298616560306e-5,ATRT_vs_Glial,FUNDC2,65991,Down
MYO6,-2.4034670619169027,2.2871578439941208e-5,ATRT_vs_Glial,MYO6,4646,Down
GFAP,-6.071769947660581,2.3429981525287573e-5,ATRT_vs_Glial,GFAP,2670,Down
SRI,-3.364520733446046,2.3429981525287573e-5,ATRT_vs_Glial,SRI,6717,Down
GNB4,-2.6255619133631143,2.358102772704377e-5,ATRT_vs_Glial,GNB4,59345,Down
ATG7,-1.3453087538858348,2.4042655827899387e-5,ATRT_vs_Glial,ATG7,10533,Down
SNX27,-1.670311840234529,2.4427985121292997e-5,ATRT_vs_Glial,SNX27,81609,Down
ABAT,-4.112901107193153,2.4502740430434586e-5,ATRT_vs_Glial,ABAT,18,Down
GNAI2,-2.151287579752779,2.622360194143301e-5,ATRT_vs_Glial,GNAI2,2771,Down
GNL1,-1.7558919712515788,2.6835057251289467e-5,ATRT_vs_Glial,GNL1,2794,Down
DTD1,-1.9343437117441624,2.717717466197873e-5,ATRT_vs_Glial,DTD1,92675,Down
GNA11,-2.0767377438645553,2.788036375285808e-5,ATRT_vs_Glial,GNA11,2767,Down
ARPC5L,-1.6320064505493797,2.788036375285808e-5,ATRT_vs_Glial,ARPC5L,81873,Down
PHKB,-2.5716743944191833,2.943575601513261e-5,ATRT_vs_Glial,PHKB,5257,Down
GNA13,-2.4440773778213227,3.075775938079465e-5,ATRT_vs_Glial,GNA13,10672,Down
CCDC22,-1.4265290918165476,3.111567768919493e-5,ATRT_vs_Glial,CCDC22,28952,Down
RDX,-1.609219778135408,3.265359066723458e-5,ATRT_vs_Glial,RDX,5962,Down
GPM6A,-4.831764755020231,3.452707142769406e-5,ATRT_vs_Glial,GPM6A,2823,Down
PTPRA,-1.9286727053993538,3.91253138124244e-5,ATRT_vs_Glial,PTPRA,5786,Down
RTN1,-3.778572252215703,3.949360052226359e-5,ATRT_vs_Glial,RTN1,6252,Down
CRIP2,-2.678679356349498,4.124834969548783e-5,ATRT_vs_Glial,CRIP2,1397,Down
CDKN1B,-3.0174831342313215,4.1436182291378946e-5,ATRT_vs_Glial,CDKN1B,1027,Down
PCYT2,-2.3160661459521457,4.1436182291378946e-5,ATRT_vs_Glial,PCYT2,5833,Down
CNDP2,-2.3068425932977092,4.1747347504438404e-5,ATRT_vs_Glial,CNDP2,55748,Down
TRIM47,-2.726127856742295,4.180352187605322e-5,ATRT_vs_Glial,TRIM47,91107,Down
FN3KRP,-1.6213615343261694,4.180352187605322e-5,ATRT_vs_Glial,FN3KRP,79672,Down
GNB2,-2.5984945522807976,4.3821503983214604e-5,ATRT_vs_Glial,GNB2,2783,Down
CAB39,-1.299724956209424,4.3821503983214604e-5,ATRT_vs_Glial,CAB39,51719,Down
ARL8B,-1.3320396879299956,4.40770745806963e-5,ATRT_vs_Glial,ARL8B,55207,Down
LHPP,-3.4326739957850805,4.437061374750344e-5,ATRT_vs_Glial,LHPP,64077,Down
VPS26B,-1.685272338950007,4.437061374750344e-5,ATRT_vs_Glial,VPS26B,112936,Down
PEPD,-1.640051440567504,4.505261399847225e-5,ATRT_vs_Glial,PEPD,5184,Down
BPNT1,-1.6182138155087777,4.505261399847225e-5,ATRT_vs_Glial,BPNT1,10380,Down
