Gene,logFC,adj.P.Val,Contrast,Gene_limpo,ENTREZID,Regulation
RBM47,2.4616262335757106,8.014393942353039e-4,ATRT_vs_MB,RBM47,54502,Up
EIF2AK4,1.3857435630343815,8.552498115150022e-4,ATRT_vs_MB,EIF2AK4,440275,Up
TFB2M,2.945391788812005,9.059945811780426e-4,ATRT_vs_MB,TFB2M,64216,Up
TOR1B,1.783145801936275,9.491666447144573e-4,ATRT_vs_MB,TOR1B,27348,Up
SIL1,1.5727296994091873,9.689736535758955e-4,ATRT_vs_MB,SIL1,64374,Up
MBOAT7,1.8479359531391637,0.0010278499965448939,ATRT_vs_MB,MBOAT7,79143,Up
GXYLT1,1.4420715956543226,0.0012951928588751343,ATRT_vs_MB,GXYLT1,283464,Up
CRTAP,1.7164076513487814,0.0014506276746377768,ATRT_vs_MB,CRTAP,10491,Up
DECR2,2.796950873455337,0.0014521908543451696,ATRT_vs_MB,DECR2,26063,Up
GSTK1,1.4461947170419869,0.0016854879596196538,ATRT_vs_MB,GSTK1,373156,Up
MAGT1,1.6512342164850082,0.0017384084111451456,ATRT_vs_MB,MAGT1,84061,Up
ATP11A,1.3780034110644088,0.0019615970170309407,ATRT_vs_MB,ATP11A,23250,Up
ICAM1,2.825494421576483,0.002026780702653089,ATRT_vs_MB,ICAM1,3383,Up
MEST,2.3049632823039943,0.0020476681978609497,ATRT_vs_MB,MEST,4232,Up
SLC30A7,1.5803334873427524,0.0020476681978609497,ATRT_vs_MB,SLC30A7,148867,Up
FSTL1,1.7945466322484052,0.0021250516843457877,ATRT_vs_MB,FSTL1,11167,Up
S100A13,3.122126029321766,0.002280004789714075,ATRT_vs_MB,S100A13,6284,Up
MOV10,1.6744873392113142,0.0025844896256818854,ATRT_vs_MB,MOV10,4343,Up
P4HA1,2.6180403166844854,0.0025852803526561228,ATRT_vs_MB,P4HA1,5033,Up
ACOX1,1.6728734636178153,0.0026251204043337604,ATRT_vs_MB,ACOX1,51,Up
ACADVL,1.2724725485510895,0.002664438929303752,ATRT_vs_MB,ACADVL,37,Up
ERMP1,2.0178952961761922,0.002865157820311889,ATRT_vs_MB,ERMP1,79956,Up
TRIM25,1.5258325993353559,0.0029694373778311727,ATRT_vs_MB,TRIM25,7706,Up
WDR75,2.4865695967920054,0.0032702678811379637,ATRT_vs_MB,WDR75,84128,Up
SHC1,1.4813723334055027,0.003278192935924822,ATRT_vs_MB,SHC1,6464,Up
PLOD3,1.9457274637414237,0.0032899668362851185,ATRT_vs_MB,PLOD3,8985,Up
IDE,1.282166892957921,0.003343201873985256,ATRT_vs_MB,IDE,3416,Up
SYNGR2,2.044565390439786,0.0037226384809411852,ATRT_vs_MB,SYNGR2,9144,Up
CPOX,1.624757675146423,0.0038598052139472375,ATRT_vs_MB,CPOX,1371,Up
CYB5R2,1.788020955134762,0.003943726590264396,ATRT_vs_MB,CYB5R2,51700,Up
METTL17,2.1884003981894136,0.004201037672760653,ATRT_vs_MB,METTL17,64745,Up
NMNAT1,1.5791829459519668,0.004264534320145786,ATRT_vs_MB,NMNAT1,64802,Up
TCIRG1,1.7976421395360411,0.00464048047571744,ATRT_vs_MB,TCIRG1,10312,Up
FLNB,2.0998684082309147,0.00476101401749419,ATRT_vs_MB,FLNB,2317,Up
HEXB,2.1228393809683013,0.0050194681338659045,ATRT_vs_MB,HEXB,3074,Up
SPTLC2,1.5412364132386323,0.00533776782918563,ATRT_vs_MB,SPTLC2,9517,Up
B3GAT3,1.8229723878817516,0.0056376973971859045,ATRT_vs_MB,B3GAT3,26229,Up
RDH10,1.9119193866085986,0.005799958108395173,ATRT_vs_MB,RDH10,157506,Up
B4GALT7,1.0165525319692286,0.005968717606217856,ATRT_vs_MB,B4GALT7,11285,Up
SLC25A19,1.98314835239999,0.006035679404008259,ATRT_vs_MB,SLC25A19,60386,Up
CPT1A,2.7186723955796097,0.006283818487576817,ATRT_vs_MB,CPT1A,1374,Up
COLGALT1,1.9721898260983544,0.00634072059894251,ATRT_vs_MB,COLGALT1,79709,Up
SPNS1,1.1238040504943925,0.006367844580168987,ATRT_vs_MB,SPNS1,83985,Up
PAWR,1.4979598807665475,0.006383046572982442,ATRT_vs_MB,PAWR,5074,Up
TYMP,2.419088157388675,0.006439450213727092,ATRT_vs_MB,TYMP,1890,Up
TM9SF4,1.2873052161341967,0.006439450213727092,ATRT_vs_MB,TM9SF4,9777,Up
PRKCI,1.2377946317107558,0.006439450213727092,ATRT_vs_MB,PRKCI,5584,Up
PXDN,1.4412289425645284,0.006648646511253619,ATRT_vs_MB,PXDN,7837,Up
DNAJC1,1.3222076771387457,0.006666145502371595,ATRT_vs_MB,DNAJC1,64215,Up
FBXO22,1.1965561893323553,0.006730794045784015,ATRT_vs_MB,FBXO22,26263,Up
PON2,2.143442800923463,0.00678506101800326,ATRT_vs_MB,PON2,5445,Up
ACAA1,1.4364658132111252,0.006887001327626293,ATRT_vs_MB,ACAA1,30,Up
GALK1,1.6200981899266402,0.00705528374848143,ATRT_vs_MB,GALK1,2584,Up
SLC35B2,1.1405628620429376,0.007341197625855331,ATRT_vs_MB,SLC35B2,347734,Up
AP3B1,1.1993328728154111,0.007679090674072926,ATRT_vs_MB,AP3B1,8546,Up
LDHA,1.8041524222919385,0.007797698848048251,ATRT_vs_MB,LDHA,3939,Up
S100A11,2.762154107863168,0.008096945583252467,ATRT_vs_MB,S100A11,6282,Up
HSDL2,1.6281590824263539,0.008179898184670268,ATRT_vs_MB,HSDL2,84263,Up
FBN2,2.8320929579168954,0.008197992398009495,ATRT_vs_MB,FBN2,2201,Up
ALG6,1.416826269266469,0.008389783358660387,ATRT_vs_MB,ALG6,29929,Up
CERS2,1.5120562966469961,0.008497405310486546,ATRT_vs_MB,CERS2,29956,Up
ADGRE5,1.2742635564567735,0.008704114384681475,ATRT_vs_MB,ADGRE5,976,Up
COPG1,1.094276305522726,0.008704114384681475,ATRT_vs_MB,COPG1,22820,Up
RHOC,1.3640908652776993,0.008738725205909686,ATRT_vs_MB,RHOC,389,Up
SLC2A3,1.8056465152707553,0.008885068750891303,ATRT_vs_MB,SLC2A3,6515,Up
ACOT9,1.4075561173445479,0.0089128809477867,ATRT_vs_MB,ACOT9,23597,Up
GCFC2,1.4437308117555574,0.009879862125900118,ATRT_vs_MB,GCFC2,6936,Up
SUCLG2,1.515107660472374,0.00996474947851883,ATRT_vs_MB,SUCLG2,8801,Up
RBMS1,1.3106035820506854,0.01057542647509129,ATRT_vs_MB,RBMS1,5937,Up
S100A4,3.0398785093004186,0.010688686467626411,ATRT_vs_MB,S100A4,6275,Up
ECHDC1,1.342513856130303,0.010935940869313801,ATRT_vs_MB,ECHDC1,55862,Up
DHCR7,1.7404009146933141,0.010984647620112012,ATRT_vs_MB,DHCR7,1717,Up
RPS4Y1,1.5855837357036897,0.011116916693025261,ATRT_vs_MB,RPS4Y1,6192,Up
DECR1,1.3777834743524622,0.011118228950821245,ATRT_vs_MB,DECR1,1666,Up
IGHV1-69,2.2809284762949282,0.011251586673360067,ATRT_vs_MB,IGHV1-69,28461,Up
TMEM205,1.248245965179752,0.011856434042477097,ATRT_vs_MB,TMEM205,374882,Up
HSPB1,1.7146746221119997,0.012298024253682479,ATRT_vs_MB,HSPB1,3315,Up
QKI,1.3512650879079082,0.012298024253682479,ATRT_vs_MB,QKI,9444,Up
UGP2,1.353197066428283,0.012302788611658221,ATRT_vs_MB,UGP2,7360,Up
CCN2,1.746648908878214,0.012524431756172847,ATRT_vs_MB,CCN2,1490,Up
ABCD3,1.2866476675472605,0.012524431756172847,ATRT_vs_MB,ABCD3,5825,Up
DNAJC3,1.1682263424972632,0.01273089458660197,ATRT_vs_MB,DNAJC3,5611,Up
S100A6,3.0940966346266663,0.013030944614473804,ATRT_vs_MB,S100A6,6277,Up
CIAO1,1.0398570249629628,0.013030944614473804,ATRT_vs_MB,CIAO1,9391,Up
IQGAP1,1.6979854217893227,0.013137138041882532,ATRT_vs_MB,IQGAP1,8826,Up
SPP1,2.5783869327144764,0.01329523291600233,ATRT_vs_MB,SPP1,6696,Up
ELOVL1,1.5005232389000476,0.01329523291600233,ATRT_vs_MB,ELOVL1,64834,Up
TSPO,1.6862381182232546,0.013664621671127117,ATRT_vs_MB,TSPO,706,Up
RNASE4,1.3027065387193062,0.013741224858283923,ATRT_vs_MB,RNASE4,6038,Up
SPTLC1,1.2627669410168991,0.01405722641355932,ATRT_vs_MB,SPTLC1,10558,Up
TRIP6,1.1998317337190478,0.014224450740741352,ATRT_vs_MB,TRIP6,7205,Up
IGLV3-19,2.289699585032892,0.014330417859471891,ATRT_vs_MB,IGLV3-19,28797,Up
TM9SF2,1.1372756288361217,0.014465709260518008,ATRT_vs_MB,TM9SF2,9375,Up
P3H1,1.815693688336129,0.015357656142989676,ATRT_vs_MB,P3H1,64175,Up
ANXA4,2.015203091158856,0.015368514763616127,ATRT_vs_MB,ANXA4,307,Up
DCTD,1.080963713143884,0.015982939331549477,ATRT_vs_MB,DCTD,1635,Up
FAM162A,1.4875682766735103,0.016461688693756842,ATRT_vs_MB,FAM162A,26355,Up
SLC2A10,1.3260380572891641,0.016660424711194423,ATRT_vs_MB,SLC2A10,81031,Up
LGALS3,2.6411607540405875,0.01666840593959211,ATRT_vs_MB,LGALS3,3958,Up
WDFY1,1.1969549116006704,0.01666840593959211,ATRT_vs_MB,WDFY1,57590,Up
MYADM,1.9619846766441036,0.016672591513209423,ATRT_vs_MB,MYADM,91663,Up
SLC35F6,1.624264129247969,0.017734888541362945,ATRT_vs_MB,SLC35F6,54978,Up
CEPT1,1.2342674219495535,0.019067102712939116,ATRT_vs_MB,CEPT1,10390,Up
DNMBP,1.160833549203275,0.020701615277618397,ATRT_vs_MB,DNMBP,23268,Up
LAMP1,1.0292697227348135,0.020854131323721575,ATRT_vs_MB,LAMP1,3916,Up
CNNM2,1.3791881861534456,0.02171003413307969,ATRT_vs_MB,CNNM2,54805,Up
ADI1,1.3166627252115717,0.02171003413307969,ATRT_vs_MB,ADI1,55256,Up
MEMO1,1.0412365578378022,0.021987089259290972,ATRT_vs_MB,MEMO1,51072,Up
ANXA2,2.0465979537760077,0.02217288525767776,ATRT_vs_MB,ANXA2,302,Up
IREB2,1.2842586346793574,0.022183787880855985,ATRT_vs_MB,IREB2,3658,Up
FKBP10,2.02650301538214,0.024019927144872038,ATRT_vs_MB,FKBP10,60681,Up
ETFB,1.1405699502907574,0.024046354739781874,ATRT_vs_MB,ETFB,2109,Up
ANXA3,1.784990244532839,0.024055038442660135,ATRT_vs_MB,ANXA3,306,Up
LMNA,1.4585003212502308,0.024251672657115416,ATRT_vs_MB,LMNA,4000,Up
ANXA11,1.4426175283939955,0.024278825615181052,ATRT_vs_MB,ANXA11,311,Up
PRAME,2.0986420492775153,0.024284672504318625,ATRT_vs_MB,PRAME,23532,Up
SCD,1.3757634104848293,0.02446088230088519,ATRT_vs_MB,SCD,6319,Up
BST2,2.039900481308379,0.025769254218868505,ATRT_vs_MB,BST2,684,Up
ADPGK,1.2636346684584474,0.025781437521491424,ATRT_vs_MB,ADPGK,83440,Up
PNKD,1.5882456972178112,0.02661195901969584,ATRT_vs_MB,PNKD,25953,Up
LTBP3,1.0904819339483787,0.02679660975217972,ATRT_vs_MB,LTBP3,4054,Up
H6PD,1.398996847803751,0.026836620662973796,ATRT_vs_MB,H6PD,9563,Up
WARS1,1.4687904970214554,0.027210865136421195,ATRT_vs_MB,WARS1,7453,Up
CLIC1,1.3137184513523685,0.027652125475567994,ATRT_vs_MB,CLIC1,1192,Up
P2RX4,1.7532691002988692,0.028556853540560232,ATRT_vs_MB,P2RX4,5025,Up
ACOX3,1.276013282671439,0.028872568991574428,ATRT_vs_MB,ACOX3,8310,Up
ITGA5,1.0846044071474559,0.028872568991574428,ATRT_vs_MB,ITGA5,3678,Up
SERPINH1,2.2018305779960308,0.02888270540589621,ATRT_vs_MB,SERPINH1,871,Up
ERGIC2,1.0341171453905282,0.03153919406054591,ATRT_vs_MB,ERGIC2,51290,Up
ETFDH,1.0723350588540335,0.03287918836810401,ATRT_vs_MB,ETFDH,2110,Up
TXNDC12,1.2848176849609487,0.03298550578848497,ATRT_vs_MB,TXNDC12,51060,Up
ASMTL,1.572080765833416,0.033906490890566,ATRT_vs_MB,ASMTL,8623,Up
ECE1,1.3719181784047905,0.034018193309412595,ATRT_vs_MB,ECE1,1889,Up
GIPC1,1.1913329143196627,0.034499621544550496,ATRT_vs_MB,GIPC1,10755,Up
OAS3,1.6330134984035851,0.03545938833094129,ATRT_vs_MB,OAS3,4940,Up
MTHFD1L,1.2128268463601906,0.03587971363425495,ATRT_vs_MB,MTHFD1L,25902,Up
GYS1,1.3705751080422246,0.03592331498888097,ATRT_vs_MB,GYS1,2997,Up
CLU,1.5407845270562355,0.03678008190716915,ATRT_vs_MB,CLU,1191,Up
TFB1M,1.5627369109177174,0.03716301647660029,ATRT_vs_MB,TFB1M,51106,Up
IL18,1.2274122754894812,0.037419625933362385,ATRT_vs_MB,IL18,3606,Up
HM13,1.3789416098868337,0.03807871333289841,ATRT_vs_MB,HM13,81502,Up
