Gene,logFC,adj.P.Val,Contrast,Gene_limpo,ENTREZID,Regulation
AGPAT5,-1.6633350791009391,8.639964861218843e-4,ATRT_vs_EPN_like,AGPAT5,55326,Down
EIF4A2,-1.6429399805559726,0.0010218109886166084,ATRT_vs_EPN_like,EIF4A2,1974,Down
GNAQ,-2.1175498062722227,0.0010886638797756774,ATRT_vs_EPN_like,GNAQ,2776,Down
CDKN1B,-2.789227009677644,0.0011045829207587121,ATRT_vs_EPN_like,CDKN1B,1027,Down
SLC44A2,-2.447362291250567,0.0011380034908710457,ATRT_vs_EPN_like,SLC44A2,57153,Down
SRI,-2.9724416974658183,0.0011581954590090982,ATRT_vs_EPN_like,SRI,6717,Down
MECP2,-2.4060805712104454,0.001163582567755756,ATRT_vs_EPN_like,MECP2,4204,Down
GNAI2,-1.9136334848025491,0.001163582567755756,ATRT_vs_EPN_like,GNAI2,2771,Down
SPTBN1,-2.2161855445631637,0.0012629704530326986,ATRT_vs_EPN_like,SPTBN1,6711,Down
FBXW9,-1.7633189522643455,0.0012629704530326986,ATRT_vs_EPN_like,FBXW9,84261,Down
ATP1B1,-4.850291033937207,0.001283960994329903,ATRT_vs_EPN_like,ATP1B1,481,Down
STAM2,-1.2032830331273168,0.0012930481207506202,ATRT_vs_EPN_like,STAM2,10254,Down
EPB41L2,-2.438488742346294,0.0013066800863359247,ATRT_vs_EPN_like,EPB41L2,2037,Down
HPCAL1,-2.7746499039005066,0.0013337411780309826,ATRT_vs_EPN_like,HPCAL1,3241,Down
ARVCF,-2.7560529357597368,0.0013337411780309826,ATRT_vs_EPN_like,ARVCF,421,Down
OSCP1,-2.3391372866339104,0.0013337411780309826,ATRT_vs_EPN_like,OSCP1,127700,Down
SDSL,-2.247143188976146,0.0013337411780309826,ATRT_vs_EPN_like,SDSL,113675,Down
GALNT3,-2.108767770099517,0.0013337411780309826,ATRT_vs_EPN_like,GALNT3,2591,Down
GOLM1,-1.9111331892595658,0.0013337411780309826,ATRT_vs_EPN_like,GOLM1,51280,Down
FARP1,-1.8969931687766177,0.0013337411780309826,ATRT_vs_EPN_like,FARP1,10160,Down
CD81,-2.7362851781044206,0.00135770783063638,ATRT_vs_EPN_like,CD81,975,Down
TUBB4B,-2.6658078945401193,0.00135770783063638,ATRT_vs_EPN_like,TUBB4B,10383,Down
GNB2,-2.349554358269394,0.0013846261959245107,ATRT_vs_EPN_like,GNB2,2783,Down
EPB41L1,-3.357875626382178,0.0013878282645792338,ATRT_vs_EPN_like,EPB41L1,2036,Down
CETN2,-2.8289989628446612,0.0013951487793839143,ATRT_vs_EPN_like,CETN2,1069,Down
HSD17B8,-2.3192641583884637,0.0013951487793839143,ATRT_vs_EPN_like,HSD17B8,7923,Down
FLYWCH2,-1.7736890789770996,0.0014123488057106034,ATRT_vs_EPN_like,FLYWCH2,114984,Down
MAP1B,-2.576598381487223,0.0014735759959392453,ATRT_vs_EPN_like,MAP1B,4131,Down
MPC2,-1.895294191699314,0.0014735759959392453,ATRT_vs_EPN_like,MPC2,25874,Down
ATP2B4,-2.107057212249579,0.001483317923443405,ATRT_vs_EPN_like,ATP2B4,493,Down
VWA5A,-2.377384149866973,0.0015189393390788852,ATRT_vs_EPN_like,VWA5A,4013,Down
MARCKS,-3.1719791474536905,0.001540072812623047,ATRT_vs_EPN_like,MARCKS,4082,Down
BASP1,-4.889250351714921,0.00163482835843476,ATRT_vs_EPN_like,BASP1,10409,Down
AK1,-4.603914916977423,0.0016492302204471605,ATRT_vs_EPN_like,AK1,203,Down
PIP5K1C,-2.248637614020595,0.001701708222444953,ATRT_vs_EPN_like,PIP5K1C,23396,Down
RO60,-1.3593130326049128,0.0018002819145795071,ATRT_vs_EPN_like,RO60,6738,Down
ZFTRAF1,-1.1985638460362473,0.0018617842683192535,ATRT_vs_EPN_like,ZFTRAF1,50626,Down
IFT172,-1.8315661370230494,0.0018672099197428243,ATRT_vs_EPN_like,IFT172,26160,Down
DNAAF1,-2.3141297757592163,0.00190959915198815,ATRT_vs_EPN_like,DNAAF1,123872,Down
CDC42EP4,-3.1730951603095114,0.0019177702777744305,ATRT_vs_EPN_like,CDC42EP4,23580,Down
MAVS,-1.6187463842530008,0.001961056069138773,ATRT_vs_EPN_like,MAVS,57506,Down
HP1BP3,-1.5608656657602502,0.001985824056845315,ATRT_vs_EPN_like,HP1BP3,50809,Down
WFS1,-3.35504213092484,0.0019863620748722245,ATRT_vs_EPN_like,WFS1,7466,Down
DYNC1LI2,-1.465424955969521,0.0020621000521238394,ATRT_vs_EPN_like,DYNC1LI2,1783,Down
ABAT,-3.3984321413687866,0.002275742751154271,ATRT_vs_EPN_like,ABAT,18,Down
PURB,-1.5981780043916984,0.0023305227762345456,ATRT_vs_EPN_like,PURB,5814,Down
EPM2AIP1,-1.4921482093058849,0.0023923581883157842,ATRT_vs_EPN_like,EPM2AIP1,9852,Down
PTGR3,-1.887469014796121,0.0024457593298017038,ATRT_vs_EPN_like,PTGR3,284273,Down
ACSS3,-2.3158528402070075,0.0026909799800624613,ATRT_vs_EPN_like,ACSS3,79611,Down
DAP,-1.5519163713670885,0.002775267529567018,ATRT_vs_EPN_like,DAP,1611,Down
NES,-3.1707982443460168,0.0029674056134669133,ATRT_vs_EPN_like,NES,10763,Down
CFAP52,-2.001856729565155,0.003136656052448507,ATRT_vs_EPN_like,CFAP52,146845,Down
RSPH1,-2.06387725349337,0.00321026448282513,ATRT_vs_EPN_like,RSPH1,89765,Down
LRRC4B,-2.547758030212762,0.003292641374704016,ATRT_vs_EPN_like,LRRC4B,94030,Down
KIF2A,-1.6043733682467085,0.003292641374704016,ATRT_vs_EPN_like,KIF2A,3796,Down
IFT122,-1.4200486009051083,0.0033260062727745255,ATRT_vs_EPN_like,IFT122,55764,Down
ODAD4,-2.2440593057371068,0.0035374647575847264,ATRT_vs_EPN_like,ODAD4,83538,Down
ARPC5L,-1.3027223101946745,0.0035374647575847264,ATRT_vs_EPN_like,ARPC5L,81873,Down
ZMYND10,-1.9906586105649815,0.0035918085977089697,ATRT_vs_EPN_like,ZMYND10,51364,Down
PRNP,-3.37516670300613,0.0036270533024839913,ATRT_vs_EPN_like,PRNP,5621,Down
PFN2,-1.7611891488706028,0.003644544519311029,ATRT_vs_EPN_like,PFN2,5217,Down
SIRPA,-3.0415608683277533,0.003668021155611593,ATRT_vs_EPN_like,SIRPA,140885,Down
GNA13,-1.950417801927454,0.003744961998075789,ATRT_vs_EPN_like,GNA13,10672,Down
TJP1,-1.3975245480745144,0.0038552099377738023,ATRT_vs_EPN_like,TJP1,7082,Down
ARL3,-1.423079495632411,0.003990111224178094,ATRT_vs_EPN_like,ARL3,403,Down
ARL8A,-1.2727437646230584,0.003990616267694686,ATRT_vs_EPN_like,ARL8A,127829,Down
SORBS1,-2.548792365605241,0.004001066424444037,ATRT_vs_EPN_like,SORBS1,10580,Down
ITSN1,-1.6564700494877904,0.004023834924764631,ATRT_vs_EPN_like,ITSN1,6453,Down
PEBP1,-1.8053972888168097,0.00403874135867658,ATRT_vs_EPN_like,PEBP1,5037,Down
EFNB2,-1.5694639795213163,0.004119574771860033,ATRT_vs_EPN_like,EFNB2,1948,Down
ANTXR1,-1.8438963279053162,0.004176709142791001,ATRT_vs_EPN_like,ANTXR1,84168,Down
RBM4B,-1.342335094109547,0.004176709142791001,ATRT_vs_EPN_like,RBM4B,83759,Down
