Gene,logFC,adj.P.Val,Contrast,Gene_limpo,ENTREZID,Regulation
ARHGEF6,-1.391134004259051,1.594650812419894e-4,EPN_like_vs_Glial,ARHGEF6,9459,Down
BTN3A3,-1.3473224462224067,1.594650812419894e-4,EPN_like_vs_Glial,BTN3A3,10384,Down
PREX1,-1.5505739399595555,1.6200511523513904e-4,EPN_like_vs_Glial,PREX1,57580,Down
RAP1A,-1.5470198392240526,1.6200511523513904e-4,EPN_like_vs_Glial,RAP1A,5906,Down
ATP6V1H,-1.7450573571685872,1.67209666446326e-4,EPN_like_vs_Glial,ATP6V1H,51606,Down
APOD,-3.4450593992968983,1.8354704933453182e-4,EPN_like_vs_Glial,APOD,347,Down
WDR81,-1.101270899687556,1.8354704933453182e-4,EPN_like_vs_Glial,WDR81,124997,Down
ALDOC,-2.919886619055724,1.8832631884326077e-4,EPN_like_vs_Glial,ALDOC,230,Down
SNX1,-1.1483904664052247,2.0028407689234924e-4,EPN_like_vs_Glial,SNX1,6642,Down
CAPN1,-1.0779610504442054,2.083584531547706e-4,EPN_like_vs_Glial,CAPN1,823,Down
TAP2,-1.7464358544421934,2.1639303994334404e-4,EPN_like_vs_Glial,TAP2,6891,Down
PPP1R7,-1.257108053255795,2.1639303994334404e-4,EPN_like_vs_Glial,PPP1R7,5510,Down
RFTN1,-1.33668430218707,2.2317090406574712e-4,EPN_like_vs_Glial,RFTN1,23180,Down
MTMR1,-1.1248031955964315,2.540372765973236e-4,EPN_like_vs_Glial,MTMR1,8776,Down
PFKM,-1.6186185700028837,2.5866098273455955e-4,EPN_like_vs_Glial,PFKM,5213,Down
DYNLT3,-1.3865953199992802,2.5866098273455955e-4,EPN_like_vs_Glial,DYNLT3,6990,Down
VPS26C,-1.128479003171634,2.6137997026404696e-4,EPN_like_vs_Glial,VPS26C,10311,Down
TAP1,-1.6157279077881626,2.674802906716567e-4,EPN_like_vs_Glial,TAP1,6890,Down
KIF13B,-1.2723488721249723,2.674802906716567e-4,EPN_like_vs_Glial,KIF13B,23303,Down
CPNE3,-1.1014592214144585,2.674802906716567e-4,EPN_like_vs_Glial,CPNE3,8895,Down
ENOPH1,-1.1849833615027912,2.676431426773229e-4,EPN_like_vs_Glial,ENOPH1,58478,Down
ATP6V1E1,-1.5146563437848215,2.6943216071767984e-4,EPN_like_vs_Glial,ATP6V1E1,529,Down
CORO7,-1.3794764837518727,2.7317713934054295e-4,EPN_like_vs_Glial,CORO7,79585,Down
ATP6V1A,-1.4827579388207255,2.8673978040631075e-4,EPN_like_vs_Glial,ATP6V1A,523,Down
ARPC1B,-1.4762781874294788,2.8673978040631075e-4,EPN_like_vs_Glial,ARPC1B,10095,Down
NUDT3,-1.4361021794624875,2.954510979670954e-4,EPN_like_vs_Glial,NUDT3,11165,Down
RAB5A,-1.132800058283717,2.954510979670954e-4,EPN_like_vs_Glial,RAB5A,5868,Down
G6PD,-1.1601058582166957,3.10762624305126e-4,EPN_like_vs_Glial,G6PD,2539,Down
RUFY3,-1.9892609841781415,3.3686046640148105e-4,EPN_like_vs_Glial,RUFY3,22902,Down
EPN2,-1.8430620010415986,3.6142323708736497e-4,EPN_like_vs_Glial,EPN2,22905,Down
ATP6V1B2,-1.5789713832685877,3.6142323708736497e-4,EPN_like_vs_Glial,ATP6V1B2,526,Down
RSU1,-1.409682142901886,3.7481753071302485e-4,EPN_like_vs_Glial,RSU1,6251,Down
TAPBP,-1.5414321018688995,4.005037349175753e-4,EPN_like_vs_Glial,TAPBP,6892,Down
TRIM3,-1.2122470735907918,4.6877172010699e-4,EPN_like_vs_Glial,TRIM3,10612,Down
SNX17,-1.2763928479935096,4.690044249922969e-4,EPN_like_vs_Glial,SNX17,9784,Down
KCTD21,-1.6133347676556546,5.065518674302199e-4,EPN_like_vs_Glial,KCTD21,283219,Down
MEMO1,-1.0343935036961547,5.065518674302199e-4,EPN_like_vs_Glial,MEMO1,51072,Down
FGF1,-2.45305883382861,5.216553689491077e-4,EPN_like_vs_Glial,FGF1,2246,Down
STX12,-1.0210243199127618,5.241924344416411e-4,EPN_like_vs_Glial,STX12,23673,Down
APOE,-2.081920425548052,5.478999599374437e-4,EPN_like_vs_Glial,APOE,348,Down
RHOC,-1.1711173010619298,5.894317750313267e-4,EPN_like_vs_Glial,RHOC,389,Down
LCP1,-1.6040412882930966,6.186244340039764e-4,EPN_like_vs_Glial,LCP1,3936,Down
PLPP3,-1.465795247180349,6.375092829132686e-4,EPN_like_vs_Glial,PLPP3,8613,Down
MT3,-3.3715800113685113,6.442088304603011e-4,EPN_like_vs_Glial,MT3,4504,Down
DNM3,-1.5116628983093783,6.461585712483405e-4,EPN_like_vs_Glial,DNM3,26052,Down
EML3,-1.242853424303334,6.461585712483405e-4,EPN_like_vs_Glial,EML3,256364,Down
FHIT,-1.1662257965598393,6.470563584128165e-4,EPN_like_vs_Glial,FHIT,2272,Down
SNX9,-1.1093750047617164,6.470563584128165e-4,EPN_like_vs_Glial,SNX9,51429,Down
APOL2,-1.6212741212812354,6.603171347170214e-4,EPN_like_vs_Glial,APOL2,23780,Down
PREP,-1.0183955751635168,7.019937464409439e-4,EPN_like_vs_Glial,PREP,5550,Down
SIRT2,-1.7804584153932872,7.094381557870365e-4,EPN_like_vs_Glial,SIRT2,22933,Down
DMWD,-1.196570220176934,7.094381557870365e-4,EPN_like_vs_Glial,DMWD,1762,Down
FERMT2,-1.470867269201598,7.198760757697163e-4,EPN_like_vs_Glial,FERMT2,10979,Down
CAPG,-1.8571347507449794,7.287330420951428e-4,EPN_like_vs_Glial,CAPG,822,Down
PTPN11,-1.030241188788608,7.374454421410991e-4,EPN_like_vs_Glial,PTPN11,5781,Down
TSPAN7,-2.0245147059940543,7.462601237413803e-4,EPN_like_vs_Glial,TSPAN7,7102,Down
SNX8,-1.0624468869919745,7.462601237413803e-4,EPN_like_vs_Glial,SNX8,29886,Down
CRYAB,-2.6868427155873995,7.503341627587037e-4,EPN_like_vs_Glial,CRYAB,1410,Down
