Gene,logFC,adj.P.Val,Contrast,Gene_limpo,ENTREZID,Regulation
SELENOH,-1.9121732590054599,4.227968551635559e-6,ATRT_vs_MB,SELENOH,280636,Down
TRIM33,-2.0032089854589614,4.666041269739606e-6,ATRT_vs_MB,TRIM33,51592,Down
SMARCA5,-1.8090734038855594,4.7263638394736405e-6,ATRT_vs_MB,SMARCA5,8467,Down
PRKRA,-1.9846199759721657,4.831717530758389e-6,ATRT_vs_MB,PRKRA,8575,Down
IRGQ,-2.827267918638743,5.405296150750634e-6,ATRT_vs_MB,IRGQ,126298,Down
EBF2,-2.893970650054875,6.593816553578022e-6,ATRT_vs_MB,EBF2,64641,Down
ATF7IP,-1.4896029954673118,8.471330937197163e-6,ATRT_vs_MB,ATF7IP,55729,Down
WIZ,-1.776653231018333,9.733385050557316e-6,ATRT_vs_MB,WIZ,58525,Down
RBM33,-1.5552802435183537,9.733385050557316e-6,ATRT_vs_MB,RBM33,155435,Down
H1-10,-2.9658837015438593,9.882799195175355e-6,ATRT_vs_MB,H1-10,8971,Down
TMA16,-2.006342343561073,9.882799195175355e-6,ATRT_vs_MB,TMA16,55319,Down
CBX1,-2.047169288873029,1.0554677748597757e-5,ATRT_vs_MB,CBX1,10951,Down
SYNE2,-2.510917975412948,1.062460542976821e-5,ATRT_vs_MB,SYNE2,23224,Down
YEATS4,-1.8569477128294416,1.1183989912792135e-5,ATRT_vs_MB,YEATS4,8089,Down
TOX4,-1.5705463356883946,1.2060490178505143e-5,ATRT_vs_MB,TOX4,9878,Down
SMARCC1,-1.9562053933234118,1.2486749102709388e-5,ATRT_vs_MB,SMARCC1,6599,Down
HPCAL1,-3.7323687456553607,1.403310963528756e-5,ATRT_vs_MB,HPCAL1,3241,Down
DDA1,-1.5152361151013487,1.5132724560281062e-5,ATRT_vs_MB,DDA1,79016,Down
CRMP1,-4.426744318458081,1.8560032291995245e-5,ATRT_vs_MB,CRMP1,1400,Down
CACNA2D1,-4.794159464011766,1.9688485009115408e-5,ATRT_vs_MB,CACNA2D1,781,Down
CLGN,-2.355916193339727,1.975917349085748e-5,ATRT_vs_MB,CLGN,1047,Down
ENGASE,-1.7838291896609064,1.9917929609619343e-5,ATRT_vs_MB,ENGASE,64772,Down
DPYSL3,-3.496135604821365,2.022871747918749e-5,ATRT_vs_MB,DPYSL3,1809,Down
MAP1B,-3.438211082598734,2.022871747918749e-5,ATRT_vs_MB,MAP1B,4131,Down
ZMYM4,-1.5923736458782933,2.022871747918749e-5,ATRT_vs_MB,ZMYM4,9202,Down
HMGB2,-2.8554977650048627,2.0316792570865864e-5,ATRT_vs_MB,HMGB2,3148,Down
