Gene,logFC,adj.P.Val,Contrast,Gene_limpo,ENTREZID,Regulation
DNAAF1,-2.110251961694221,8.156069764954078e-5,MB_vs_EPN_like,DNAAF1,123872,Down
FBXW9,-1.5344144893868688,8.16769476786909e-5,MB_vs_EPN_like,FBXW9,84261,Down
SERPINB6,-1.8277666195299247,8.355670045376728e-5,MB_vs_EPN_like,SERPINB6,5269,Down
SNX5,-1.284310692814831,9.716420643300176e-5,MB_vs_EPN_like,SNX5,27131,Down
TRIM25,-1.5116182477647762,9.796794391677995e-5,MB_vs_EPN_like,TRIM25,7706,Down
PURA,-1.4745280964194478,9.796794391677995e-5,MB_vs_EPN_like,PURA,5813,Down
DPP7,-2.8066729015019085,1.019241598522471e-4,MB_vs_EPN_like,DPP7,29952,Down
TCTN3,-1.7664784122568555,1.0419808639868155e-4,MB_vs_EPN_like,TCTN3,26123,Down
IFT172,-1.630556159897882,1.1082891622468953e-4,MB_vs_EPN_like,IFT172,26160,Down
GNB4,-1.9483036527494981,1.2011456585486907e-4,MB_vs_EPN_like,GNB4,59345,Down
AGPAT5,-1.3600472728967468,1.2066170059427979e-4,MB_vs_EPN_like,AGPAT5,55326,Down
SLC25A1,-1.2736167973856531,1.228192759033271e-4,MB_vs_EPN_like,SLC25A1,6576,Down
CD44,-3.1230333941232864,1.317947336733913e-4,MB_vs_EPN_like,CD44,960,Down
AGPAT3,-1.5860996557537206,1.4171744124526884e-4,MB_vs_EPN_like,AGPAT3,56894,Down
WDR19,-1.5153733665486904,1.4494230987383165e-4,MB_vs_EPN_like,WDR19,57728,Down
LLGL1,-2.3034843908467444,1.606253561253257e-4,MB_vs_EPN_like,LLGL1,3996,Down
AP3B1,-1.2716714944402838,1.6796305584131335e-4,MB_vs_EPN_like,AP3B1,8546,Down
ATP4A,-2.0883050253772204,1.733801821756144e-4,MB_vs_EPN_like,ATP4A,495,Down
SCAMP4,-1.7448524151763927,1.7768279967104468e-4,MB_vs_EPN_like,SCAMP4,113178,Down
ODAD4,-2.0431732395254443,1.829880855068627e-4,MB_vs_EPN_like,ODAD4,83538,Down
RP2,-1.975797782983225,1.882735927184829e-4,MB_vs_EPN_like,RP2,6102,Down
GALNT2,-1.495327482122967,1.8918751078017857e-4,MB_vs_EPN_like,GALNT2,2590,Down
RSPH1,-1.851005090297118,1.975306559902841e-4,MB_vs_EPN_like,RSPH1,89765,Down
NADK2,-1.9428196533031432,2.0614823061103205e-4,MB_vs_EPN_like,NADK2,133686,Down
CFAP52,-1.779200791720985,2.143683291794493e-4,MB_vs_EPN_like,CFAP52,146845,Down
ALDH2,-1.777562221338492,2.37861856646028e-4,MB_vs_EPN_like,ALDH2,217,Down
HEPACAM,-3.5387414332308715,2.482240694359481e-4,MB_vs_EPN_like,HEPACAM,220296,Down
MTCH1,-1.3293862332853372,2.5274485392954275e-4,MB_vs_EPN_like,MTCH1,23787,Down
