"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Digestive system","hsa04972","Pancreatic secretion","14/529","41/3535",0.341463414634146,2.28180183503158,3.46272488073744,0.00168412825451587,0.0275161353110022,0.0207850506283493,"5578/5906/3709/488/482/8671/5330/5908/5879/387/483/23236/5579/2776",14
"Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","22/529","78/3535",0.282051282051282,1.88478503223305,3.31437770710344,0.00173689890667456,0.0275161353110022,0.0207850506283493,"817/5578/2891/2892/2890/3709/5330/2893/6300/59345/2788/409/54331/408/3799/23236/1312/5579/2932/2776/3798/5526",22
"Organismal Systems","Endocrine system","hsa04929","GnRH secretion","12/529","33/3535",0.363636363636364,2.42997078535831,3.46172595550856,0.00194234660134782,0.0277171154746674,0.0209368663840817,"5578/5290/5295/3709/5330/409/5291/408/23236/5579/2776/9568",12
"Environmental Information Processing","Signaling molecules and interaction","hsa04081","Hormone signaling","17/529","55/3535",0.309090909090909,2.06547516755456,3.34042461724888,0.00195245854147835,0.0277171154746674,0.0209368663840817,"3685/5290/5295/26060/4842/5330/2768/59345/2788/5291/54331/387/3643/23236/8660/2776/3480",17
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","25/529","94/3535",0.265957446808511,1.77723927120621,3.20363438862878,0.00214769243486062,0.0277171154746674,0.0209368663840817,"5290/5295/5906/6093/9844/57580/5330/5908/7454/5879/59345/2788/409/5291/54331/408/387/6654/5336/23236/5579/2932/7409/9475/2776",25
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","13/529","38/3535",0.342105263157895,2.28609093622525,3.34335336335354,0.00240329185089881,0.0277171154746674,0.0209368663840817,"4615/6300/3716/1536/3122/2209/1535/5579/1917/3115/2212/3123/3113",13
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","21/529","75/3535",0.28,1.8710775047259,3.19827645687507,0.00242365799433341,0.0277171154746674,0.0209368663840817,"4685/3685/214/57502/22871/54413/57555/3696/58494/9379/3122/64115/5789/3105/5788/3115/9378/1462/3123/3113/3106",21
"Environmental Information Processing","Signal transduction","hsa04150","mTOR signaling pathway","22/529","80/3535",0.275,1.83766540642722,3.17876314136896,0.00247565984129679,0.0277171154746674,0.0209368663840817,"5578/729438/5290/5295/6196/534/5562/5291/387/6654/6195/51606/3643/7248/5579/523/2932/526/6197/529/6249/3480",22
"Human Diseases","Immune disease","hsa05320","Autoimmune thyroid disease","6/529","11/3535",0.545454545454545,3.64495617803746,3.68522063406121,0.00257833632322488,0.0277171154746674,0.0209368663840817,"3122/3105/3115/3123/3113/3106",6
"Human Diseases","Immune disease","hsa05330","Allograft rejection","6/529","11/3535",0.545454545454545,3.64495617803746,3.68522063406121,0.00257833632322488,0.0277171154746674,0.0209368663840817,"3122/3105/3115/3123/3113/3106",6
"Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","6/529","11/3535",0.545454545454545,3.64495617803746,3.68522063406121,0.00257833632322488,0.0277171154746674,0.0209368663840817,"3122/3105/3115/3123/3113/3106",6
"Organismal Systems","Immune system","hsa04664","Fc epsilon RI signaling pathway","14/529","43/3535",0.325581395348837,2.17567151712314,3.25349188223862,0.00280877110170788,0.0290243901787475,0.0219243513852403,"5578/5290/5295/3635/695/6300/5879/2534/5291/6654/5336/2207/241/7409",14
"Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","21/529","76/3535",0.276315789473684,1.84645806387424,3.12898572852255,0.00289279636333032,0.0290243901787475,0.0219243513852403,"5578/5290/5295/6093/4217/5330/6300/2768/5879/2534/5291/387/23236/2207/56848/5579/10558/9475/2776/5526/9517",21
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","30/529","122/3535",0.245901639344262,1.64321794911525,3.03274954785617,0.00305610286163127,0.0296737729468069,0.0224148800717268,"5578/5906/3556/2246/23162/4615/6196/4217/22808/5908/9448/6300/2768/5879/4763/5494/409/57551/408/6654/51347/6195/783/3643/5156/5579/5922/6197/5495/3480",30
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","7/529","15/3535",0.466666666666667,3.1184625078765,3.44874989778021,0.00348037288664591,0.0317452193600127,0.0239796026639718,"1363/3122/3105/3115/3123/3113/3106",7
"Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","7/529","15/3535",0.466666666666667,3.1184625078765,3.44874989778021,0.00348037288664591,0.0317452193600127,0.0239796026639718,"4088/6778/3122/3115/3123/3113/4087",7
"Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","28/529","113/3535",0.247787610619469,1.65582080064239,2.97201520294509,0.00369941326449787,0.0319407541876113,0.0241273051390944,"5290/5295/53349/64422/5861/83452/64601/22808/10133/7879/57617/5562/51100/65082/55823/5291/23001/116442/11337/8417/7248/55054/8660/55102/8678/3476/84557/3480",28
"Organismal Systems","Nervous system","hsa04720","Long-term potentiation","15/529","49/3535",0.306122448979592,2.04563867134756,3.09159506723283,0.00393300497995659,0.0319407541876113,0.0241273051390944,"817/5578/2891/5906/2890/6196/2915/3709/5330/5908/6195/23236/5579/6197/2776",15
"Environmental Information Processing","Signal transduction","hsa04152","AMPK signaling pathway","19/529","68/3535",0.279411764705882,1.86714666963194,3.02856372677861,0.00394377104981006,0.0319407541876113,0.0241273051390944,"5290/5295/79966/10890/5862/5213/1374/5571/5562/5291/3643/5565/7248/8660/51552/6319/9230/5526/3480",19
"Organismal Systems","Digestive system","hsa04973","Carbohydrate digestion and absorption","9/529","23/3535",0.391304347826087,2.61485986685296,3.25902825924908,0.00403238757185791,0.0319407541876113,0.0241273051390944,"5290/5295/482/5330/6518/5291/483/23236/5579",9
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","9/529","23/3535",0.391304347826087,2.61485986685296,3.25902825924908,0.00403238757185791,0.0319407541876113,0.0241273051390944,"534/51606/3122/523/526/3115/529/3123/3113",9
"Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","16/529","54/3535",0.296296296296296,1.97997619547714,3.04387641199195,0.00422230424199887,0.0325875276113246,0.0246158627873618,"817/5578/2891/2892/2977/2890/4842/2983/5330/2893/59345/2788/54331/23236/5579/2776",16
"Environmental Information Processing","Signaling molecules and interaction","hsa04517","IgSF CAM signaling","42/529","190/3535",0.221052631578947,1.47716645109939,2.83605899923865,0.00444472048665588,0.0334465216620855,0.0252647269767808,"5375/4685/5578/5290/5295/5906/3556/6091/57502/22871/1445/7204/54413/253559/57555/4916/2037/3687/8828/8976/3635/5908/2036/58494/6300/5879/2534/5803/5291/347733/387/5336/10097/8573/10093/5789/5579/2932/7280/23380/9788/7409",42
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","19/529","70/3535",0.271428571428571,1.81379962192817,2.88457280489074,0.00558278142793072,0.0389476420523463,0.0294201457713125,"5578/5290/5295/5906/6093/7070/5908/58494/6300/5879/5291/387/5336/1536/1535/5579/6494/7409/9475",19
"Organismal Systems","Nervous system","hsa04730","Long-term depression","14/529","46/3535",0.304347826086957,2.03377989644119,2.96021417512546,0.00558813039151551,0.0389476420523463,0.0294201457713125,"5578/2891/2892/2977/2890/3709/4842/2983/5330/2768/23236/5579/2776/3480",14
"Organismal Systems","Sensory system","hsa04750","Inflammatory mediator regulation of TRP channels","14/529","46/3535",0.304347826086957,2.03377989644119,2.96021417512546,0.00558813039151551,0.0389476420523463,0.0294201457713125,"817/5578/5290/5295/3556/3709/5330/6300/41/5291/5336/23236/5579/2776",14
"Organismal Systems","Excretory system","hsa04960","Aldosterone-regulated sodium reabsorption","8/529","20/3535",0.4,2.67296786389414,3.14707108188558,0.00569334302426325,0.0389476420523463,0.0294201457713125,"5578/5290/5295/482/5291/483/3643/5579",8
"Metabolism","Global and overview maps","hsa01250","Biosynthesis of nucleotide sugars","10/529","29/3535",0.344827586206897,2.30428264128805,2.95822619107728,0.007061533323411,0.0472338117854824,0.0356793262656556,"5238/55276/2584/2585/5372/2762/55577/7360/2582/54187",10
"Organismal Systems","Nervous system","hsa04723","Retrograde endocannabinoid signaling","22/529","87/3535",0.252873563218391,1.6898072702779,2.73256427116189,0.00745410216928132,0.0481369159787368,0.036361510233982,"5578/2891/2892/2890/2915/3709/5330/2893/6300/4707/59345/11343/2788/140679/54331/23236/5579/57406/2776/4712/4710/4718",22
"Human Diseases","Infectious disease: bacterial","hsa05100","Bacterial invasion of epithelial cells","16/529","57/3535",0.280701754385965,1.87576692203098,2.79593967726211,0.00751639551827451,0.0481369159787368,0.036361510233982,"391/5290/5295/26052/9844/3611/8976/3059/5879/2017/1793/5291/387/10097/10093/1213",16
