"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"10915",0.818349015715015,20.8554776583727,2.51561120455325,0.0160908694822633,0.0721639696921176,-3.76262171473621
"23350",0.586603872145147,20.0638441589834,1.84103987961808,0.0731968843227972,0.213459949459122,-5.08254478259238
"1665",0.69951314568436,21.8963893152659,2.23478236718271,0.0312049486550679,0.115436207355676,-4.35070767524532
"9128",0.529417251091715,20.6802925436449,1.41139320371217,0.166020851005847,0.372719729983819,-5.7429784436626
"9092",1.27091880592865,19.9531471624584,3.56057019003085,0.000989233998189,0.00885225750715857,-1.18454428834466
"9129",1.01843666183381,20.2308746599461,3.02447024115917,0.00438072089855859,0.0272372744179861,-2.57548925641185
"10465",1.11561419403928,21.3626064543182,4.10030302216622,0.000201479695507627,0.00258531078607388,0.32686506923933
"5356",0.772987209112813,20.0788640265864,1.79465841767337,0.0804261705327894,0.22828475776229,-5.1610645535486
"8449",0.815609845241109,18.0673991850227,3.18747400623474,0.0028185353676558,0.0194154504642477,-2.16621609258308
"9716",1.11217919533303,19.184600346567,4.1448965677792,0.000176072810561922,0.00230418746395955,0.455710701532877
"51362",0.127662934009678,18.4668559802889,0.487057687175993,0.628931326849373,0.814553855335437,-6.60531515099437
"10084",1.55362715460952,20.6841060932066,5.1417253583571,7.91187283232934e-06,0.000215420423799678,3.44441748034658
"55660",0.751531450599675,21.1906872318849,2.50241853298794,0.0166150673830458,0.0735956531346168,-3.79138956410645
"10772",0.878668130190864,21.5669327010418,2.32384972516412,0.0254106879694466,0.0997161218473159,-4.16983080377343
"23451",0.546008745873621,20.994313427813,1.68522597677168,0.0998950237931926,0.264957022941778,-5.33955722373435
"23020",1.0510815861762,21.3675515161662,3.40983429657787,0.00151907437016368,0.0123179039487457,-1.58819125963112
"10286",1.62102306575876,19.0863537415964,2.91336779590077,0.00587930939281833,0.0342909974230876,-2.84685938414442
"10285",1.14264756160838,20.5438392456631,4.26168223756293,0.000123452711103114,0.0017819995610236,0.795589977503736
"24148",1.14130676503731,20.6149475974347,3.6261591759986,0.000818919259894347,0.00766236343337626,-1.0061557874744
"10569",1.60964472006948,17.139553183667,7.07449910260329,1.65196367522523e-08,1.66500549371385e-06,9.45061298171528
"51691",1.42675171698117,21.7560115501232,3.54970182668227,0.0010205614803817,0.00904803349505072,-1.21394703145261
"3183",0.761082285024543,23.6634996292786,2.48116682625588,0.0174923049320305,0.076196387384678,-3.83750149487997
"6629",0.61736477116067,20.9400998962422,1.90417394569644,0.0642495137075809,0.194885668558634,-4.97297506673175
"6625",0.595559325018531,21.4818581314897,1.61693022061337,0.113917577534257,0.290998880806716,-5.44603935991079
"6626",0.648976094048965,21.8623956578271,2.33704976651347,0.0246395505101275,0.0976460780526002,-4.14256906033472
"6631",0.643830998635426,21.9329641187385,1.80063008664834,0.0794628311675057,0.226895608875408,-5.15104980715105
"3178",1.12622913267329,24.7779559970891,2.81207999303392,0.00765170630821221,0.0418657645149325,-3.08858166917943
"6627",0.609809096697319,21.8587637793472,1.89025364645762,0.0661374241703939,0.198723588838344,-4.99739792411956
"3312",0.452198793881834,24.6454666575824,1.95824930086982,0.0573479093745323,0.179667794030854,-4.87669974299202
"1655",1.19206059685219,22.3457901629962,3.22359132979269,0.00255250300099476,0.0180388571316606,-2.07382617772141
