"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","25/815","60/3535",0.416666666666667,1.80725971370143,3.45174834444994,0.000935466603312957,0.0077871274005511,0.00550900673928256,"3709/695/5595/5594/5295/10379/3551/3716/5336/2209/1535/5291/6772/7189/2212/653361/5601/8517/5879/4790/4791/140885/2214/1147/3690",25
"Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","16/815","33/3535",0.484848484848485,2.10299312139803,3.48416992830288,0.00114821614291981,0.0093065940005079,0.00658395406050969,"5595/5594/3551/3716/4853/6772/6778/5601/3122/8517/4790/182/3115/1147/3127/3123",16
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","18/815","39/3535",0.461538461538462,2.00188768286928,3.4434458187605,0.00118367572489771,0.00934800316073067,0.00661324898930707,"196/4088/5595/5594/3551/3716/3556/6772/6774/6778/5601/3122/8517/4790/3115/1147/3127/3123",18
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","24/815","58/3535",0.413793103448276,1.79479585360694,3.34037226533614,0.00132302927318253,0.0101873254035055,0.00720702788286275,"3080/966/3689/5270/3687/5327/2152/3684/720/5104/721/5648/713/712/1675/718/714/732/2161/715/716/3426/462/710",24
"Genetic Information Processing","Information processing in viruses","hsa03273","Virion - Lassa virus and SFTS virus","8/815","12/3535",0.666666666666667,2.89161554192229,3.59248364771412,0.00155682143724269,0.0116951464066036,0.00827373652141816,"79784/1605/5101/5097/3916/5099/8828/3920",8
"Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","24/815","59/3535",0.406779661016949,1.76437558490174,3.24056363092531,0.00175417471958544,0.0128639479436266,0.00910060568807485,"3709/5595/5594/5295/10379/387/3551/5336/6237/22808/2207/29108/834/841/5291/6772/5580/5601/8517/4790/4791/9261/5781/1147",24
"Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","25/815","63/3535",0.396825396825397,1.7211997273347,3.16128459689067,0.00214034687055541,0.0153308566542108,0.0108458213514068,"6093/10163/5906/4088/10580/5595/5819/5594/5908/387/7082/7454/1499/998/2241/9855/8976/1495/5777/87/5879/1496/1500/81/5795",25
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","9/815","15/3535",0.6,2.60245398773006,3.40398384994634,0.00225697812081522,0.0157988468457066,0.011176901220305,"355/3107/3133/3105/3106/3122/3115/3127/3123",9
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","39/815","112/3535",0.348214285714286,1.5103527607362,3.00402577816868,0.00272843358275984,0.018401397056689,0.0130180765233583,"5578/5906/355/5595/4615/5594/5295/5908/387/3551/817/4217/29108/834/841/1536/998/1535/5291/3383/7189/5330/6774/653361/3306/7436/5601/3661/51135/4067/8517/5879/4790/29110/23236/929/1147/5331/3606",39
"Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","21/815","51/3535",0.411764705882353,1.78599783471671,3.09453208154049,0.00280579656179337,0.018401397056689,0.0130180765233583,"3685/6645/3696/1605/3693/1837/6443/1756/8910/3675/1499/3679/3691/6444/6641/4842/1495/3678/3688/1496/3690",21
"Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","10/815","18/3535",0.555555555555556,2.40967961826858,3.28169423340164,0.00280800539501423,0.018401397056689,0.0130180765233583,"873/4258/373156/9446/2948/9/2946/653689/2952/4257",10
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","37/815","106/3535",0.349056603773585,1.51400625072346,2.94079814259204,0.00331269256712696,0.021256443972398,0.0150378807323526,"5578/54518/5906/2771/5595/5899/5587/5594/5295/5908/26037/2246/387/2247/6237/7094/22808/83660/3689/1499/998/5291/57568/9855/5330/9863/6494/3684/1969/2533/3688/5879/23236/5216/1500/3690/5331",37
"Metabolism","Amino acid metabolism","hsa00260","Glycine, serine and threonine metabolism","13/815","27/3535",0.481481481481481,2.08838900249943,3.10716173242765,0.00359416265225233,0.0218580824639729,0.0154635101505208,"2593/10993/55349/4129/2628/113675/29968/2731/63826/6470/51268/4128/275",13
"Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","38/815","110/3535",0.345454545454545,1.4983825989961,2.90640779842888,0.00360340866555399,0.0218580824639729,0.0154635101505208,"5578/53358/5906/5595/59345/5899/5594/5295/5908/2246/5868/387/55970/3551/2247/5336/4915/6237/22808/5878/9610/998/22821/5291/5869/2788/5863/4763/5601/1969/8517/5879/2783/4790/29110/5781/55770/1147",38
"Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","15/815","33/3535",0.454545454545455,1.97155605131065,3.06898231001362,0.00361935781059292,0.0218580824639729,0.0154635101505208,"7706/3551/8717/841/7189/79671/8737/5601/3661/8517/9636/4790/29110/1147/57506",15
"Organismal Systems","Immune system","hsa04650","Natural killer cell mediated cytotoxicity","21/815","52/3535",0.403846153846154,1.75165172251062,2.98860980240318,0.00370844689922435,0.0219654162492519,0.0155394434846041,"5578/53358/369/355/5595/5594/5295/6452/5336/2207/3689/5291/3383/3107/3133/3105/3106/5777/5879/5781/2214",21
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","23/815","59/3535",0.389830508474576,1.69085993553083,2.9288946760805,0.0041496540227531,0.0241149705473199,0.0170601466278032,"5578/4088/5595/5594/5295/5336/1536/998/5291/5333/6772/3383/5580/2152/5330/6774/113026/5601/5879/4790/23236/183/5331",23
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","10/815","19/3535",0.526315789473684,2.28285437520181,3.06872062261824,0.0047193108683554,0.026843635820954,0.0189905420879613,"4258/373156/4129/9446/2948/2946/653689/2952/4128/4257",10
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","29/815","80/3535",0.3625,1.57231595092025,2.83389948839949,0.00482441180751542,0.026843635820954,0.0189905420879613,"3434/369/355/5595/5594/5295/10379/3551/3716/5610/6041/975/8717/841/1499/5291/6772/7189/6774/8737/5520/3661/8517/5521/4790/29110/4940/1147/57506",29
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","33/815","94/3535",0.351063829787234,1.52271243962929,2.8113314504214,0.00488066105835527,0.026843635820954,0.0189905420879613,"53358/6093/5906/2771/5595/59345/5594/5295/5908/387/55970/3551/57580/9844/5336/7454/998/5291/6772/5580/5330/6774/653361/2788/4067/8517/5879/2783/4790/23236/1147/5331/5829",33
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","42/815","127/3535",0.330708661417323,1.43442345780397,2.72893354854804,0.00560148426428821,0.0302676693579082,0.0214128761349522,"5578/3709/6093/3685/2771/355/5595/59345/2768/6891/5594/5295/6890/387/55970/3551/3716/6892/8717/841/1499/5291/3107/5330/3133/6774/3105/8737/2788/3106/3661/567/8517/5879/2783/4790/29110/23236/1147/3690/5331/5829",42
"Environmental Information Processing","Signal transduction","hsa04070","Phosphatidylinositol signaling system","24/815","64/3535",0.375,1.62653374233129,2.76843779875142,0.00613701263531157,0.032589653304758,0.0230555647097912,"3636/5578/3709/3635/5295/1606/4534/5336/3628/5291/5333/5330/1040/1608/113026/3707/3705/80271/5286/23236/9107/5331/22908/55529",24
"Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","21/815","54/3535",0.388888888888889,1.686775732788,2.78347569967253,0.00624489194736767,0.0326004528777838,0.0230632048725265,"5578/2771/5595/59345/5594/9722/55970/2892/817/2977/2890/5330/117/2788/4842/2893/2891/2783/23236/2983/5331",21
