"C1_vs_C2.ID","C1_vs_C2.logFC","C1_vs_C2.AveExpr","C1_vs_C2.t","C1_vs_C2.P.Value","C1_vs_C2.adj.P.Val","C1_vs_C2.B","C1_vs_C3.ID","C1_vs_C3.logFC","C1_vs_C3.AveExpr","C1_vs_C3.t","C1_vs_C3.P.Value","C1_vs_C3.adj.P.Val","C1_vs_C3.B","C1_vs_C4.ID","C1_vs_C4.logFC","C1_vs_C4.AveExpr","C1_vs_C4.t","C1_vs_C4.P.Value","C1_vs_C4.adj.P.Val","C1_vs_C4.B","C2_vs_C3.ID","C2_vs_C3.logFC","C2_vs_C3.AveExpr","C2_vs_C3.t","C2_vs_C3.P.Value","C2_vs_C3.adj.P.Val","C2_vs_C3.B","C2_vs_C4.ID","C2_vs_C4.logFC","C2_vs_C4.AveExpr","C2_vs_C4.t","C2_vs_C4.P.Value","C2_vs_C4.adj.P.Val","C2_vs_C4.B","C3_vs_C4.ID","C3_vs_C4.logFC","C3_vs_C4.AveExpr","C3_vs_C4.t","C3_vs_C4.P.Value","C3_vs_C4.adj.P.Val","C3_vs_C4.B"
"4147",0.778504648920137,21.2868241141353,1.41559570069681,0.164794192537504,0.302280535162184,-5.45798462906864,"4147",1.16577469535365,21.2868241141353,1.73080052899036,0.0913570402024876,0.19820475678372,-5.53200893400851,"4147",1.42469947523402,21.2868241141353,1.63844280144893,0.109336357277944,0.292469090843546,-5.26888212123898,"4147",0.38727004643351,21.2868241141353,0.704193370585986,0.485476979112611,0.568037728106304,-7.0047490466612,"4147",0.646194826313881,21.2868241141353,0.830857421261265,0.411088841646014,0.534322487614559,-6.37170011892409,"4147",0.25892477988037,21.2868241141353,0.2977704765716,0.76745162185513,0.884165188457648,-6.68009828797009
"5768",-0.619779092096532,19.0788730510479,-2.45175071499934,0.0187761674007292,0.0621007954618247,-3.64437722757732,"5768",-0.376556067941419,19.0788730510479,-1.21625155905835,0.231165843367875,0.390947238783762,-6.26130102736127,"5768",-0.452095904559101,19.0788730510479,-1.13109727914431,0.264890222283713,0.497501088427609,-5.94099375355362,"5768",0.243223024155114,19.0788730510479,0.962152855720605,0.34187358854953,0.425490417291388,-6.78934000797485,"5768",0.167683187537431,19.0788730510479,0.46904435368914,0.641637502067044,0.737979469344377,-6.60663877600011,"5768",-0.0755398366176827,19.0788730510479,-0.188992872537947,0.851074004213472,0.922314076820967,-6.70682183500635
"5352",0.387186846008227,19.7988658032149,0.980102199823205,0.333049098195573,0.491615382613969,-5.95997474222918,"5352",0.284146157860736,19.7988658032149,0.58728232169823,0.56038347720935,0.711634529430948,-6.82502359144032,"5352",-1.31235275578803,19.7988658032149,-2.1010256414876,0.0421216668831548,0.157742033443432,-4.47238423987259,"5352",-0.103040688147491,19.7988658032149,-0.260831188264353,0.795588773696773,0.842517512421744,-7.22150029013885,"5352",-1.69953960179626,19.7988658032149,-3.04205499016903,0.00417937636685906,0.0192700780317859,-2.52559664622597,"5352",-1.59649891364877,19.7988658032149,-2.55593257177945,0.0145809543275531,0.0675000665687288,-3.67402742745649
"813",0.345677405046338,21.785701383027,0.993255459884457,0.326680316680351,0.484315880201981,-5.94732430044509,"813",-0.278273974746316,21.785701383027,-0.652855293347579,0.517662217062222,0.676671089197375,-6.784072432959,"813",-0.685925678648101,21.785701383027,-1.24651361144905,0.219977073597195,0.448462841666389,-5.80788015580816,"813",-0.623951379792654,21.785701383027,-1.79283663217276,0.0807220120236562,0.125405072762549,-5.68020024715609,"813",-1.03160308369444,21.785701383027,-2.09598225617428,0.0425921368627533,0.100530742102103,-4.61473229545881,"813",-0.407651703901784,21.785701383027,-0.740814075725345,0.463223079464825,0.693739416718028,-6.44939173891489
"8985",-0.471130316735749,20.8738080796723,-1.53011504094219,0.134022886267612,0.260474114210904,-5.29846130451638,"8985",0.248683086323346,20.8738080796723,0.659452701656051,0.513462801490185,0.673435269430116,-6.77971748637296,"8985",-1.69704437741808,20.8738080796723,-3.48583019546337,0.00122482767809125,0.0139893340171655,-1.26579271451457,"8985",0.719813403059096,20.8738080796723,2.33777635522076,0.0245977213940815,0.0458960407304314,-4.6465007540906,"8985",-1.22591406068233,20.8738080796723,-2.81532191609298,0.00758799486700635,0.0294425222107415,-3.07442476815019,"8985",-1.94572746374143,20.8738080796723,-3.99664006168844,0.000275133380928983,0.00329300265299376,0.0294705608464332
"1842",0.257485057013305,19.4321727403724,0.701784363336847,0.486961697028983,0.633513349056048,-6.18956766194035,"1842",0.625179674955753,19.4321727403724,1.39126826223478,0.171994166925885,0.316092926739991,-6.0389746163585,"1842",0.40962565781177,19.4321727403724,0.706104216239187,0.484301100129433,0.699054486936144,-6.32484074009893,"1842",0.367694617942448,19.4321727403724,1.00216430556509,0.322413645190172,0.40429265774132,-6.75020491877232,"1842",0.152140600798464,19.4321727403724,0.293212031108848,0.770907537751521,0.836423759090177,-6.67411121525583,"1842",-0.215554017143983,19.4321727403724,-0.37156754570926,0.712216750701792,0.856513953817121,-6.6552012669308
"9353",1.0621245204531,19.4050228264535,4.018472347122,0.000257713694594202,0.00312408975607335,0.291052072433098,"9353",1.03127607761748,19.4050228264535,3.18577326236578,0.00283168941392084,0.0125913743676279,-2.41434152192881,"9353",0.42829261971994,19.4050228264535,1.02484015941591,0.311724646211476,0.552087129751833,-6.05282491982218,"9353",-0.0308484428356195,19.4050228264535,-0.116712882623054,0.907683792605994,0.929857950877575,-7.24923490192312,"9353",-0.63383190073316,19.4050228264535,-1.69568291539774,0.0978796830770493,0.187752513949131,-5.31587056930134,"9353",-0.60298345789754,19.4050228264535,-1.4428491985712,0.157010526773024,0.359515933165016,-5.69986625662517
"30008",-0.109094697664926,20.0995772719722,-0.322099562560021,0.749089624301597,0.838852783904883,-6.38236487217813,"30008",-0.408017307124815,20.0995772719722,-0.983602100785774,0.33134637735231,0.501867898204329,-6.51364744699972,"30008",-0.710344218731993,20.0995772719722,-1.32643306043694,0.19237639226736,0.417530175132596,-5.70873169167026,"30008",-0.29892260945989,20.0995772719722,-0.882562065867348,0.382855868198128,0.467383545006002,-6.8626545193629,"30008",-0.601249521067068,20.0995772719722,-1.25523846046663,0.216827399936905,0.333692315198907,-5.93699903051572,"30008",-0.302326911607178,20.0995772719722,-0.564538149309351,0.575605912421447,0.780623081562384,-6.5644208549846
"7076",-0.920317380386873,22.563887025494,-2.02401300528046,0.0498255132843727,0.127390998584211,-4.48928701157193,"7076",0.0486706126578262,22.563887025494,0.0873970670568816,0.930801056334605,0.962024865711521,-6.99577488925343,"7076",-1.84529493653497,22.563887025494,-2.56667842838237,0.0142010463350164,0.0792087487326886,-3.51613995095862,"7076",0.968987993044699,22.563887025494,2.13105211493304,0.0394140896316895,0.0685186496441375,-5.06426119873733,"7076",-0.924977556148097,22.563887025494,-1.43844039987908,0.158249702448901,0.265443661479981,-5.69882713940961,"7076",-1.8939655491928,22.563887025494,-2.63437590542611,0.0120090243627766,0.0584181583100352,-3.49882839793376
"1277",-0.806088714592963,23.3274525764508,-0.907950973268084,0.369455078474088,0.526941267585312,-6.02650595960402,"1277",-2.73707107280126,23.3274525764508,-2.51721321324361,0.0160282535891607,0.0514426351227531,-4.01453560976151,"1277",-1.0324113087206,23.3274525764508,-0.735465501729561,0.46643607795691,0.68551426652915,-6.30383611557588,"1277",-1.9309823582083,23.3274525764508,-2.17499299985117,0.0357284765114844,0.0630599378059839,-4.97797931485303,"1277",-0.226322594127641,23.3274525764508,-0.180257138303856,0.857879815980144,0.901668412514806,-6.70109944094103,"1277",1.70465976408066,23.3274525764508,1.21435946901959,0.231879113056297,0.466437501578581,-5.99328017708089
