"","C1_vs_C2","C1_vs_C3","C1_vs_C4","C2_vs_C3","C2_vs_C4","C3_vs_C4"
"NABA_MATRISOME",-1.42980579659454,-1.77781781659361,-2.7977138945104,1.7273614405826,-2.52962644846089,-2.40690091249556
"SMID_BREAST_CANCER_LUMINAL_B_DN",-1.45241827434584,2.01888826545659,-2.15097407541175,1.83791417595888,2.46947439785123,-2.17941728712406
"LIU_PROSTATE_CANCER_DN",-1.24721850646053,1.74761280478786,2.53681396816804,1.68915356268926,2.12006085700376,-2.17363972309101
"CHICAS_RB1_TARGETS_CONFLUENT",-1.26018229962642,1.81454624951231,2.46320587066695,1.5848391877873,2.05203160579186,-2.02556251634956
"SMID_BREAST_CANCER_BASAL_UP",-1.41231480230669,-1.87635305493527,-2.1099495306927,1.8784833350634,2.17518686041825,1.96877112067103
"PUJANA_BRCA2_PCC_NETWORK",0.832268646338676,-1.51158779388399,-1.26532304355021,-1.767420054467,-1.22745346030702,1.49560655326061
"BOQUEST_STEM_CELL_UP",-1.44674232849511,-1.90046866201732,-2.83571776145358,1.82378081240075,2.31754264176258,-2.22884967091455
"WHITEFORD_PEDIATRIC_CANCER_MARKERS",0.964525105896016,-1.79151344842474,-1.33292588845818,-2.05019872872058,-1.34701003738358,1.56489935541649
"HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP",-1.22410062194663,1.83953028195217,2.35335592712639,1.48056820744447,2.06423090678058,2.37891228024667
"BLUM_RESPONSE_TO_SALIRASIB_DN",0.86824586523033,-1.55313135695582,-1.60367818462753,-1.8367749082777,-1.40991408979841,1.59000944045728
"KOBAYASHI_EGFR_SIGNALING_24HR_DN",0.93081488000101,-1.65706384072332,-1.53150484745776,-1.92172366069221,-1.55891941322771,1.40323427787618
"PUJANA_XPRSS_INT_NETWORK",0.875255977774904,-1.56349841803645,-1.34525086192083,-1.84614498748887,-1.25290470092889,1.54856413648403
"CROONQUIST_IL6_DEPRIVATION_DN",0.99136346123458,-1.85423151146332,-1.42917567941186,-2.1699853772109,-1.45896543468869,1.46612327328649
"WU_CELL_MIGRATION",-1.59479337963611,1.46149591662747,-2.96506068591941,1.80481496493314,2.34251956399323,-2.61882900433744
"EGUCHI_CELL_CYCLE_RB1_TARGETS",1.15522261377216,-2.31658354422871,-1.35338627057886,-2.81569726329443,-1.59538037637617,1.29766802353797
"SMID_BREAST_CANCER_NORMAL_LIKE_UP",-1.3374170328414,1.94217748487842,2.50071334259438,1.64415713233137,2.27894824259906,2.2048820444463
"NABA_CORE_MATRISOME",-1.49210711217884,-2.15428289162703,-2.7189670489485,-1.47992275781882,-2.42537729997143,-2.48305731067477
"CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN",-1.19497096563299,-1.51664021141179,2.23981359047082,1.5826238940852,1.88221140929779,1.8257200843603
"BOQUEST_STEM_CELL_CULTURED_VS_FRESH_UP",-1.2525874276335,-1.60066708178068,-2.28708512225812,1.70490999554046,2.28204655234221,-2.29939890128334
"KEGG_SPLICEOSOME",0.747986011543304,-0.995226639761913,-1.03580513221425,-1.52085377858137,-0.892712773565403,1.16318522825661
