"C1_vs_C2.ID","C1_vs_C2.logFC","C1_vs_C2.AveExpr","C1_vs_C2.t","C1_vs_C2.P.Value","C1_vs_C2.adj.P.Val","C1_vs_C2.B","C1_vs_C3.ID","C1_vs_C3.logFC","C1_vs_C3.AveExpr","C1_vs_C3.t","C1_vs_C3.P.Value","C1_vs_C3.adj.P.Val","C1_vs_C3.B","C1_vs_C4.ID","C1_vs_C4.logFC","C1_vs_C4.AveExpr","C1_vs_C4.t","C1_vs_C4.P.Value","C1_vs_C4.adj.P.Val","C1_vs_C4.B","C2_vs_C3.ID","C2_vs_C3.logFC","C2_vs_C3.AveExpr","C2_vs_C3.t","C2_vs_C3.P.Value","C2_vs_C3.adj.P.Val","C2_vs_C3.B","C2_vs_C4.ID","C2_vs_C4.logFC","C2_vs_C4.AveExpr","C2_vs_C4.t","C2_vs_C4.P.Value","C2_vs_C4.adj.P.Val","C2_vs_C4.B","C3_vs_C4.ID","C3_vs_C4.logFC","C3_vs_C4.AveExpr","C3_vs_C4.t","C3_vs_C4.P.Value","C3_vs_C4.adj.P.Val","C3_vs_C4.B"
"4221",0.169410350236198,18.4098644766305,0.718609939638752,0.476645170007778,0.62493179425758,-6.17777856633601,"4221",-1.34264115867411,18.4098644766305,-4.65015689894969,3.72045413094883e-05,0.000362369253467276,1.73946777434441,"4221",0.816071301498607,18.4098644766305,2.18933076924756,0.0345937140425425,0.137346846699659,-4.30224753623736,"4221",-1.51205150891031,18.4098644766305,-6.4138657527936,1.35277651017672e-07,9.3634952421268e-07,7.06222914753201,"4221",0.646660951262408,18.4098644766305,1.9396122512881,0.0596506401929838,0.129631116375827,-4.90317977834829,"4221",2.15871246017272,18.4098644766305,5.79132681462429,9.94191182020564e-07,4.36002163412835e-05,5.45815998511592
"10473",0.280549967956532,21.1452720768689,1.0895105242248,0.282584694242072,0.436528386238425,-5.84989782971156,"10473",0.163520505488599,21.1452720768689,0.518498850291274,0.607026359216012,0.749648846452276,-6.86340283471267,"10473",1.34746649700514,21.1452720768689,3.30955176079563,0.00201197906163554,0.0201373165663697,-1.72850940674983,"10473",-0.117029462467933,21.1452720768689,-0.454481716508125,0.651990163955515,0.721155851352413,-7.15106693854559,"10473",1.06691652904861,21.1452720768689,2.92979107624311,0.00563098100886537,0.0236822737159089,-2.80071183072164,"10473",1.18394599151654,21.1452720768689,2.90792427835447,0.00596385475809576,0.0346084298841011,-2.85999031047712
"8289",0.569184190640414,18.8227612801726,2.40522957692129,0.0209820150556402,0.0671541373229264,-3.74216106376883,"8289",-0.798883441684076,18.8227612801726,-2.75639527657183,0.00882672557252248,0.0315554066049419,-3.47064046367642,"8289",0.733847301175064,18.8227612801726,1.96127911590463,0.0569809023029864,0.191660002184225,-4.73016813986551,"8289",-1.36806763232449,18.8227612801726,-5.78111055543064,1.02727829775709e-06,5.82597613091261e-06,5.05219609251169,"8289",0.164663110534651,18.8227612801726,0.492022568855232,0.625448972540215,0.725313756003943,-6.59554389266106,"8289",1.53273074285914,18.8227612801726,4.09637371625013,0.000203882553704413,0.00259138334299082,0.315537721734175
"8805",0.450766803127504,18.1881921496818,2.30080445250944,0.0268090941938203,0.0804664808080345,-3.95659011342564,"8805",-1.6687772740139,18.1881921496818,-6.95473412075592,2.41412301004103e-08,7.64099240613178e-07,8.9520242997203,"8805",-0.263584416038132,18.1881921496818,-0.850898013608507,0.399996488674575,0.633657363432472,-6.21322518584498,"8805",-2.1195440771414,18.1881921496818,-10.8185793987973,2.48035267113819e-13,1.02158536243223e-11,20.2398071541155,"8805",-0.714351219165636,18.1881921496818,-2.57824733072771,0.0138021942682852,0.0451044403135941,-3.61792457630192,"8805",1.40519285797577,18.1881921496818,4.53621587178912,5.30300297996867e-05,0.000934532273617179,1.60709785025285
"8841",0.249573724283746,18.5334137283837,1.37650061176883,0.176482646247414,0.315657784150496,-5.50989080377491,"8841",-0.883945583965634,18.5334137283837,-3.98068167785199,0.000288585599225945,0.00196903119661883,-0.242505890274821,"8841",0.163548359293753,18.5334137283837,0.570497487653522,0.571597826395434,0.766891525605271,-6.41098856738864,"8841",-1.13351930824938,18.5334137283837,-6.25182008136052,2.27236142137688e-07,1.49538560891296e-06,6.54728871603839,"8841",-0.0860253649899931,18.5334137283837,-0.335497335196112,0.739039822905082,0.814148376335512,-6.66070927398492,"8841",1.04749394325939,18.5334137283837,3.65392025662827,0.000755674074560887,0.00716393986526782,-0.930171477970066
"81",-0.0157047214732131,22.7630097273627,-0.0569368074484381,0.954884913343032,0.974432785598798,-6.43252802746391,"81",0.434654160036672,22.7630097273627,1.28665195538749,0.205766158693843,0.359644713716467,-6.17516153021711,"81",0.237868139138079,22.7630097273627,0.54541759500379,0.588558154792509,0.776406833808999,-6.42495191180512,"81",0.450358881509885,22.7630097273627,1.63275719107523,0.110532184470165,0.164339389177303,-5.94038632008561,"81",0.253572860611293,22.7630097273627,0.650055811922366,0.519449720204452,0.634000136514676,-6.50510251483924,"81",-0.196786020898593,22.7630097273627,-0.451218724112404,0.654319523915507,0.826545185158068,-6.62221764131006
"8467",0.815541152934088,20.6906000855005,4.72486408143277,2.94594733747909e-05,0.000747037614093561,2.33806358698912,"8467",-1.79379271274895,20.6906000855005,-8.48535594422956,2.0783705854581e-10,1.73046942224011e-08,13.6553958378412,"8467",0.0152806911366135,20.6906000855005,0.0559907689901256,0.955633717242897,0.979382567575037,-6.57242134317452,"8467",-2.60933386568303,20.6906000855005,-15.1172602560601,6.09779756480231e-18,1.84378142156786e-15,30.7878872514649,"8467",-0.800260461797475,20.6906000855005,-3.27838384937866,0.00219397981337465,0.0118129466052834,-1.92632534365247,"8467",1.80907340388556,20.6906000855005,6.62871922071877,6.81033881170799e-08,4.77138981381249e-06,8.06940554212923
"23028",0.845584480528132,20.7870399521701,4.23050771021473,0.000135763015507587,0.00203644523261381,0.893904627099821,"23028",-1.7820759540295,20.7870399521701,-7.27974334450234,8.64336507900160e-09,3.35514407965298e-07,9.96741145286091,"23028",-0.012195990780917,20.7870399521701,-0.038590692366436,0.969412688930034,0.98693530000054,-6.57324903464902,"23028",-2.62766043455763,20.7870399521701,-13.146336036441,6.01831225980006e-16,8.43297656891497e-14,26.2369811112147,"23028",-0.857780471309049,20.7870399521701,-3.03456639546988,0.00426403117813342,0.019534975373506,-2.54414731509733,"23028",1.76987996324858,20.7870399521701,5.60027425521794,1.83317234043954e-06,6.8386851271592e-05,4.86329333219278
"23476",0.496092495089897,17.4531260886418,2.17699448938944,0.0355681135784812,0.0990973872494543,-4.20143960776472,"23476",-0.866175276571919,17.4531260886418,-3.10352198723803,0.00354199006842931,0.0151067059711406,-2.6239746975101,"23476",0.298826599221808,17.4531260886418,0.829361594916788,0.411924315705202,0.643491668550345,-6.23109757656053,"23476",-1.36226777166182,17.4531260886418,-5.97801712651024,5.4647349645725e-07,3.29778386254927e-06,5.67714861932847,"23476",-0.197265895868089,17.4531260886418,-0.612113113972225,0.543999069876856,0.655193848310805,-6.52905933472356,"23476",1.16500187579373,17.4531260886418,3.23333938914907,0.00248489359693183,0.0176898559038084,-2.04878767989021
"26057",0.245939214691944,19.4859227894987,1.63290308350128,0.11050136604067,0.225918273275321,-5.14597110617625,"26057",-0.788582230303899,19.4859227894987,-4.2749789856923,0.000118540646143196,0.000937942815295077,0.615405652075889,"26057",-0.117682582253032,19.4859227894987,-0.494168219702745,0.623946695008081,0.800760163257372,-6.45156144577064,"26057",-1.03452144499584,19.4859227894987,-6.86866167153474,3.17261588100191e-08,2.54918576732252e-07,8.50408251163761,"26057",-0.363621796944976,19.4859227894987,-1.70713370915187,0.0957116179790362,0.184455969570467,-5.29755164424609,"26057",0.670899648050867,19.4859227894987,2.81721626369185,0.00755099538653689,0.0415124100436884,-3.07645832681772
