Rank	ID	GeneSet	BroadUrl	Description	PubMedID	NumGenes	Contributor	Ontology	GOID	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	gage	zscore	ora
1	M13550	GO_CHROMATIN_ORGANIZATION	http://www.broadinstitute.org/gsea/msigdb/cards/GO_CHROMATIN_ORGANIZATION.html	Any process that results in the specification, formation or maintenance of the physical structure of eukaryotic chromatin.		227/663	Gene Ontology	BP	GO:0006325	1.98477257485661e-38	1.18669552250677e-34	5	8.5	1	4.96193143714153e-39	1	1.70442509851737	1.6817614147536	1	100	1	1	31	1
2	M10125	GO_CHROMOSOME_ORGANIZATION	http://www.broadinstitute.org/gsea/msigdb/cards/GO_CHROMOSOME_ORGANIZATION.html	A process that is carried out at the cellular level that results in the assembly, arrangement of constituent parts, or disassembly of chromosomes, structures composed of a very long molecule of DNA and associated proteins that carries hereditary information. This term covers covalent modifications at the molecular level as well as spatial relationships among the major components of a chromosome.		391/1009	Gene Ontology	BP	GO:0051276	9.11907784371547e-37	2.72614832137874e-33	10	34	7	2.27976946092887e-37	2	1.5925827014517	1.56612274114362	1	89.6889693126336	6	8	120	2
3	M12761	GO_CHROMATIN_MODIFICATION	http://www.broadinstitute.org/gsea/msigdb/cards/GO_CHROMATIN_MODIFICATION.html	The alteration of DNA, protein, or sometimes RNA, in chromatin, which may result in changing the chromatin structure.		200/539	Gene Ontology	BP	GO:0016568	5.44998650816699e-35	1.08618231107768e-31	5	8	3	1.36249662704174e-35	2	1.67057720881946	1.64491911457367	1	89.4578070775092	2	3	24	3
4	M16928	GO_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER	http://www.broadinstitute.org/gsea/msigdb/cards/GO_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER.html	Any process that modulates the frequency, rate or extent of transcription from an RNA polymerase II promoter.		459/1784	Gene Ontology	BP	GO:0006357	5.26705654376022e-32	7.87293276878559e-29	75	87.25	45	1.31676413594005e-32	4	1.64164466507557	1.62774824793038	1	79.7880576855785	75	15	255	4
5	M18956	GO_CHROMATIN_BINDING	http://www.broadinstitute.org/gsea/msigdb/cards/GO_CHROMATIN_BINDING.html	Interacting selectively and non-covalently with chromatin, the network of fibers of DNA, protein, and sometimes RNA, that make up the chromosomes of the eukaryotic nucleus during interphase.		170/435	Gene Ontology	MF	GO:0003682	1.26648794259714e-31	1.51446628175767e-28	5	11.75	4.5	3.16621985649286e-32	3	1.65401687952011	1.6394898236647	1	79.5766592507305	3	4	35	5
6	M17474	GO_EXTRACELLULAR_SPACE	http://www.broadinstitute.org/gsea/msigdb/cards/GO_EXTRACELLULAR_SPACE.html	That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid.		418/1376	Gene Ontology	CC	GO:0005615	2.51618239522836e-31	2.50737575684506e-28	185	2225.25	2141.5	6.29045598807092e-32	2	2.07608637955392	-2.17212204458911	-1	99.0970008035961	183	2	4100	4616
7	M17301	GO_CHROMATIN	http://www.broadinstitute.org/gsea/msigdb/cards/GO_CHROMATIN.html	The ordered and organized complex of DNA, protein, and sometimes RNA, that forms the chromosome.		184/441	Gene Ontology	CC	GO:0000785	2.6018573593979e-30	2.22235787883429e-27	10	20.75	6.5	6.50464339849474e-31	4	1.70973919843123	1.6859224682529	1	78.8082420994555	4	7	66	6
8	M16218	GO_NEGATIVE_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER	http://www.broadinstitute.org/gsea/msigdb/cards/GO_NEGATIVE_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER.html	Any process that stops, prevents, or reduces the frequency, rate or extent of transcription from an RNA polymerase II promoter.		195/740	Gene Ontology	BP	GO:0000122	2.1927102867917e-28	1.63877685059095e-25	30	39.5	21	5.48177571697927e-29	7	1.68144147342154	1.67035496931038	1	72.0727740722622	28	14	109	7
9	M16989	GO_CHROMOSOME	http://www.broadinstitute.org/gsea/msigdb/cards/GO_CHROMOSOME.html	A structure composed of a very long molecule of DNA and associated proteins (e.g. histones) that carries hereditary information.		370/880	Gene Ontology	CC	GO:0005694	4.99334086106788e-28	3.31724277870276e-25	10	41.75	14.5	1.24833521526697e-28	8	1.58307871010848	1.56018579775315	1	67.0180583346476	10	19	130	8
10	M19027	GO_SEQUENCE_SPECIFIC_DNA_BINDING	http://www.broadinstitute.org/gsea/msigdb/cards/GO_SEQUENCE_SPECIFIC_DNA_BINDING.html	Interacting selectively and non-covalently with DNA of a specific nucleotide composition, e.g. GC-rich DNA binding, or with a specific sequence motif or type of DNA e.g. promotor binding or rDNA binding.		172/1037	Gene Ontology	MF	GO:0043565	7.7025635719182e-28	4.60536275964989e-25	10	28.75	12.5	1.92564089297955e-28	6	1.72913722705953	1.71884184418785	1	72.7752986989437	16	6	84	9
11	M11412	GO_NEGATIVE_REGULATION_OF_NITROGEN_COMPOUND_METABOLIC_PROCESS	http://www.broadinstitute.org/gsea/msigdb/cards/GO_NEGATIVE_REGULATION_OF_NITROGEN_COMPOUND_METABOLIC_PROCESS.html	Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways involving nitrogen or nitrogenous compounds.		462/1517	Gene Ontology	BP	GO:0051172	8.95260288590771e-28	4.86614660498565e-25	100	113.75	60.5	2.23815072147693e-28	10	1.59659702659063	1.57827861081492	1	67.1308702876945	98	23	324	10
12	M16984	GO_EXTRACELLULAR_MATRIX	http://www.broadinstitute.org/gsea/msigdb/cards/GO_EXTRACELLULAR_MATRIX.html	A structure lying external to one or more cells, which provides structural support for cells or tissues; may be completely external to the cell (as in animals and bacteria) or be part of the cell (as in plants).		161/426	Gene Ontology	CC	GO:0031012	1.93210932053148e-27	9.62673468954809e-25	285	2095	1963	4.8302733013287e-28	5	2.1050157074893	-2.20143993505893	-1	87.4296221326489	282	5	4449	3644
13	M17269	GO_NUCLEAR_CHROMOSOME	http://www.broadinstitute.org/gsea/msigdb/cards/GO_NUCLEAR_CHROMOSOME.html	A chromosome that encodes the nuclear genome and is found in the nucleus of a eukaryotic cell during the cell cycle phases when the nucleus is intact.		213/523	Gene Ontology	CC	GO:0000228	2.80759500508945e-27	1.2912777334946e-24	15	31	11.5	7.01898751272365e-28	9	1.61577405522351	1.58318527159413	1	66.7528676299956	9	12	92	11
14	M17429	GO_NUCLEOPLASM_PART	http://www.broadinstitute.org/gsea/msigdb/cards/GO_NUCLEOPLASM_PART.html	Any constituent part of the nucleoplasm, that part of the nuclear content other than the chromosomes or the nucleolus.		322/708	Gene Ontology	CC	GO:0044451	5.93789653184636e-25	2.53590595456496e-22	5	56.5	28	1.48447413296159e-25	5	1.43347174689673	1.41339092386169	1	53.5364928842288	5	44	165	12
