Rank	ID	GeneSet	BroadUrl	Description	PubMedID	NumGenes	Contributor	Ontology	GOID	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	gage	zscore	ora
1	M10125	GO_CHROMOSOME_ORGANIZATION	http://www.broadinstitute.org/gsea/msigdb/cards/GO_CHROMOSOME_ORGANIZATION.html	A process that is carried out at the cellular level that results in the assembly, arrangement of constituent parts, or disassembly of chromosomes, structures composed of a very long molecule of DNA and associated proteins that carries hereditary information. This term covers covalent modifications at the molecular level as well as spatial relationships among the major components of a chromosome.		391/1009	Gene Ontology	BP	GO:0051276	1.12776776335912e-34	6.74292345712421e-31	5	31	2.5	2.8194194083978e-35	1	1.53257724304522	-1.52628495762435	-1	100	3	2	118	1
2	M16989	GO_CHROMOSOME	http://www.broadinstitute.org/gsea/msigdb/cards/GO_CHROMOSOME.html	A structure composed of a very long molecule of DNA and associated proteins (e.g. histones) that carries hereditary information.		370/880	Gene Ontology	CC	GO:0005694	4.36718173065811e-31	1.30556897838024e-27	5	33.75	5	1.09179543266452e-31	2	1.48069344186815	-1.47273394260354	-1	86.0890529810542	5	5	123	2
3	M13550	GO_CHROMATIN_ORGANIZATION	http://www.broadinstitute.org/gsea/msigdb/cards/GO_CHROMATIN_ORGANIZATION.html	Any process that results in the specification, formation or maintenance of the physical structure of eukaryotic chromatin.		227/663	Gene Ontology	BP	GO:0006325	7.60220910900775e-30	1.51512027542525e-26	5	12.5	2	1.90055227725194e-30	1	1.53351935326026	-1.54092129125509	-1	85.6295442612045	1	1	45	3
4	M12761	GO_CHROMATIN_MODIFICATION	http://www.broadinstitute.org/gsea/msigdb/cards/GO_CHROMATIN_MODIFICATION.html	The alteration of DNA, protein, or sometimes RNA, in chromatin, which may result in changing the chromatin structure.		200/539	Gene Ontology	BP	GO:0016568	2.95150074093826e-26	4.41175573251746e-23	5	9.25	3.5	7.37875185234565e-27	2	1.49299273498779	-1.4991059667544	-1	72.1814266970123	2	3	28	4
5	M17269	GO_NUCLEAR_CHROMOSOME	http://www.broadinstitute.org/gsea/msigdb/cards/GO_NUCLEAR_CHROMOSOME.html	A chromosome that encodes the nuclear genome and is found in the nucleus of a eukaryotic cell during the cell cycle phases when the nucleus is intact.		213/523	Gene Ontology	CC	GO:0000228	1.84795879551407e-24	2.20978912767573e-21	5	27.75	5.5	4.61989698878518e-25	4	1.51262103406722	-1.49602032844218	-1	67.5700875296268	6	4	96	5
6	M17699	GO_NUCLEOLUS	http://www.broadinstitute.org/gsea/msigdb/cards/GO_NUCLEOLUS.html	A small, dense body one or more of which are present in the nucleus of eukaryotic cells. It is rich in RNA and protein, is not bounded by a limiting membrane, and is not seen during mitosis. Its prime function is the transcription of the nucleolar DNA into 45S ribosomal-precursor RNA, the processing of this RNA into 5.8S, 18S, and 28S components of ribosomal RNA, and the association of these components with 5S RNA and proteins synthesized outside the nucleolus. This association results in the formation of ribonucleoprotein precursors; these pass into the cytoplasm and mature into the 40S and 60S subunits of the ribosome.		443/848	Gene Ontology	CC	GO:0005730	6.16834975341328e-23	6.14676052927634e-20	40	162.5	108.5	1.54208743835333e-23	6	1.34601306586761	-1.35379703590876	-1	55.9232737333603	40	177	427	6
7	M17429	GO_NUCLEOPLASM_PART	http://www.broadinstitute.org/gsea/msigdb/cards/GO_NUCLEOPLASM_PART.html	Any constituent part of the nucleoplasm, that part of the nuclear content other than the chromosomes or the nucleolus.		322/708	Gene Ontology	CC	GO:0044451	7.25035909573464e-21	6.19284243334249e-18	5	96.5	97	1.81258977393366e-21	4	1.16558983261365	-1.16801949215592	-1	43.377448970761	4	188	157	37
8	M17301	GO_CHROMATIN	http://www.broadinstitute.org/gsea/msigdb/cards/GO_CHROMATIN.html	The ordered and organized complex of DNA, protein, and sometimes RNA, that forms the chromosome.		184/441	Gene Ontology	CC	GO:0000785	4.16905805972398e-20	2.96305650706505e-17	10	35.75	10	1.042264514931e-20	7	1.53912510464683	-1.56159359281791	-1	55.0156677108089	12	8	116	7
9	M18956	GO_CHROMATIN_BINDING	http://www.broadinstitute.org/gsea/msigdb/cards/GO_CHROMATIN_BINDING.html	Interacting selectively and non-covalently with chromatin, the network of fibers of DNA, protein, and sometimes RNA, that make up the chromosomes of the eukaryotic nucleus during interphase.		170/435	Gene Ontology	MF	GO:0003682	4.46019544465386e-20	2.96305650706505e-17	10	33.5	11	1.11504886116347e-20	8	1.47442812350588	-1.47892482948213	-1	52.703084370091	13	9	104	8
10	M17924	GO_HISTONE_BINDING	http://www.broadinstitute.org/gsea/msigdb/cards/GO_HISTONE_BINDING.html	Interacting selectively and non-covalently with a histone, any of a group of water-soluble proteins found in association with the DNA of plant and animal chromosomes. They are involved in the condensation and coiling of chromosomes during cell division and have also been implicated in nonspecific suppression of gene activity.		72/177	Gene Ontology	MF	GO:0042393	7.78101166902647e-19	4.65226687691092e-16	25	15.5	17	1.94525291725663e-19	7	1.49476641477653	-1.49476641477653	-1	49.5640595619233	7	21	13	21
11	M11015	GO_MRNA_PROCESSING	http://www.broadinstitute.org/gsea/msigdb/cards/GO_MRNA_PROCESSING.html	Any process involved in the conversion of a primary mRNA transcript into one or more mature mRNA(s) prior to translation into polypeptide.		284/432	Gene Ontology	BP	GO:0006397	2.06994657392386e-18	1.12511005140825e-15	10	485.5	291.5	5.17486643480969e-19	8	1.05722999439246	-1.05116259374004	-1	34.1791081390733	8	1351	293	290
