Rank	ID	GeneSet	BroadUrl	Description	PubMedID	NumGenes	Contributor	Ontology	GOID	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	gage	zscore	ora
1	M17474	GO_EXTRACELLULAR_SPACE	http://www.broadinstitute.org/gsea/msigdb/cards/GO_EXTRACELLULAR_SPACE.html	That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid.		418/1376	Gene Ontology	CC	GO:0005615	2.6407804310406e-46	1.57892261971917e-42	395	1252.25	860.5	6.60195107760144e-47	1	2.33979595705305	-2.3576641421966	-1	100	392	1	3287	1329
2	M16984	GO_EXTRACELLULAR_MATRIX	http://www.broadinstitute.org/gsea/msigdb/cards/GO_EXTRACELLULAR_MATRIX.html	A structure lying external to one or more cells, which provides structural support for cells or tissues; may be completely external to the cell (as in animals and bacteria) or be part of the cell (as in plants).		161/426	Gene Ontology	CC	GO:0031012	5.23980903735611e-34	1.56644091171761e-30	250	1561.5	1501	1.30995225933901e-34	2	2.74751241990697	-2.70470895377097	-1	83.7256909156937	249	2	2753	3242
3	M17343	GO_PROTEINACEOUS_EXTRACELLULAR_MATRIX	http://www.broadinstitute.org/gsea/msigdb/cards/GO_PROTEINACEOUS_EXTRACELLULAR_MATRIX.html	A layer consisting mainly of proteins (especially collagen) and glycosaminoglycans (mostly as proteoglycans) that forms a sheet underlying or overlying cells such as endothelial and epithelial cells. The proteins are secreted by cells in the vicinity. An example of this component is found in Mus musculus.		125/356	Gene Ontology	CC	GO:0005578	9.89734751680321e-28	1.97254136009888e-24	310	1676	1625.5	2.47433687920081e-28	3	2.76486262822793	-2.76148850445103	-1	67.0103256450994	306	3	2945	3450
4	M16924	GO_EXTRACELLULAR_STRUCTURE_ORGANIZATION	http://www.broadinstitute.org/gsea/msigdb/cards/GO_EXTRACELLULAR_STRUCTURE_ORGANIZATION.html	A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of structures in the space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane, and also covers the host cell environment outside an intracellular parasite.		144/304	Gene Ontology	BP	GO:0043062	1.34739956424836e-25	2.01402549866023e-22	185	921.25	823.5	3.3684989106209e-26	4	2.34071251822803	-2.3020391972866	-1	51.9224440708101	183	4	2034	1464
5	M11272	GO_RRNA_METABOLIC_PROCESS	http://www.broadinstitute.org/gsea/msigdb/cards/GO_RRNA_METABOLIC_PROCESS.html	The chemical reactions and pathways involving rRNA, ribosomal RNA, a structural constituent of ribosomes.		187/255	Gene Ontology	BP	GO:0016072	1.29448228109313e-20	1.54794191173117e-17	5	700.75	263.5	3.23620570273285e-21	1	1.79329896613264	-1.80748233189822	-1	30.8216151395291	1	2275	485	42
6	M10424	GO_RIBOSOME_BIOGENESIS	http://www.broadinstitute.org/gsea/msigdb/cards/GO_RIBOSOME_BIOGENESIS.html	A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of ribosome subunits; includes transport to the sites of protein synthesis.		214/308	Gene Ontology	BP	GO:0042254	2.59722627707779e-20	2.58813598510802e-17	5	735	255.5	6.4930656926945e-21	2	1.73041243140208	-1.76173817771913	-1	29.3458334272584	2	2427	480	31
7	M14697	GO_CELLULAR_COMPONENT_MORPHOGENESIS	http://www.broadinstitute.org/gsea/msigdb/cards/GO_CELLULAR_COMPONENT_MORPHOGENESIS.html	The process in which cellular structures, including whole cells or cell parts, are generated and organized.		367/900	Gene Ontology	BP	GO:0032989	1.09765834085309e-19	9.37557031422947e-17	75	90.75	47	2.74414585213274e-20	5	2.09682311523426	2.02311894508388	1	34.3613203753374	74	5	264	20
8	M16562	GO_TISSUE_DEVELOPMENT	http://www.broadinstitute.org/gsea/msigdb/cards/GO_TISSUE_DEVELOPMENT.html	The process whose specific outcome is the progression of a tissue over time, from its formation to the mature structure.		458/1518	Gene Ontology	BP	GO:0009888	1.01549839728847e-18	7.58958114673472e-16	5230	2291.25	1965.5	2.53874599322119e-19	6	2.00589669396678	1.82182519578597	1	31.0086415886682	5228	6	3700	231
9	M16534	GO_BIOLOGICAL_ADHESION	http://www.broadinstitute.org/gsea/msigdb/cards/GO_BIOLOGICAL_ADHESION.html	The attachment of a cell or organism to a substrate, another cell, or other organism. Biological adhesion includes intracellular attachment between membrane regions.		367/1032	Gene Ontology	BP	GO:0022610	1.93175288018246e-18	1.28332783006788e-15	4955	2403	2327	4.82938220045615e-19	7	2.08577745648433	2.14085482154894	1	31.7570239523411	4951	7	3737	917
10	M14014	GO_SYSTEM_PROCESS	http://www.broadinstitute.org/gsea/msigdb/cards/GO_SYSTEM_PROCESS.html	A multicellular organismal process carried out by any of the organs or tissues in an organ system. An organ system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a biological objective.		386/1785	Gene Ontology	BP	GO:0003008	5.00371314603478e-18	2.9917200900142e-15	1830	1157.25	1291	1.2509282865087e-18	8	2.16708561728825	2.28998594757626	1	32.1805394745163	1826	8	2039	756
11	M17398	GO_EXTRACELLULAR_MATRIX_COMPONENT	http://www.broadinstitute.org/gsea/msigdb/cards/GO_EXTRACELLULAR_MATRIX_COMPONENT.html	Any constituent part of the extracellular matrix, the structure lying external to one or more cells, which provides structural support for cells or tissues; may be completely external to the cell (as in animals) or be part of the cell (as often seen in plants).		71/125	Gene Ontology	CC	GO:0044420	8.66917638739977e-17	4.71209142002393e-14	750	2109.25	2142	2.16729409684995e-17	9	2.70375678355661	-2.6827628928024	-1	36.8401773799718	749	9	3535	4144
