Rank	ID	GeneSet	BroadUrl	Description	PubMedID	NumGenes	Contributor	Ontology	GOID	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	gage	zscore	ora
1	M17474	GO_EXTRACELLULAR_SPACE	http://www.broadinstitute.org/gsea/msigdb/cards/GO_EXTRACELLULAR_SPACE.html	That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid.		418/1376	Gene Ontology	CC	GO:0005615	1.12814304633033e-98	6.74516727400902e-95	4510	3621	4701.5	2.8203576158258e-99	1	2.06366058403008	2.09847150159298	1	100	4507	1	4896	5080
2	M16984	GO_EXTRACELLULAR_MATRIX	http://www.broadinstitute.org/gsea/msigdb/cards/GO_EXTRACELLULAR_MATRIX.html	A structure lying external to one or more cells, which provides structural support for cells or tissues; may be completely external to the cell (as in animals and bacteria) or be part of the cell (as in plants).		161/426	Gene Ontology	CC	GO:0031012	3.37994180521328e-83	1.01043360266851e-79	2600	3298.5	3642	8.44985451303322e-84	2	2.21676749939283	1.91014770698596	1	90.1087377360987	2600	2	5908	4684
3	M16534	GO_BIOLOGICAL_ADHESION	http://www.broadinstitute.org/gsea/msigdb/cards/GO_BIOLOGICAL_ADHESION.html	The attachment of a cell or organism to a substrate, another cell, or other organism. Biological adhesion includes intracellular attachment between membrane regions.		367/1032	Gene Ontology	BP	GO:0022610	2.14863477837105e-69	4.2822291132935e-66	1685	1403.25	1769.5	5.37158694592758e-70	3	1.89243796650356	1.98231539753146	1	63.6551029706972	1683	3	1856	2071
4	M17343	GO_PROTEINACEOUS_EXTRACELLULAR_MATRIX	http://www.broadinstitute.org/gsea/msigdb/cards/GO_PROTEINACEOUS_EXTRACELLULAR_MATRIX.html	A layer consisting mainly of proteins (especially collagen) and glycosaminoglycans (mostly as proteoglycans) that forms a sheet underlying or overlying cells such as endothelial and epithelial cells. The proteins are secreted by cells in the vicinity. An example of this component is found in Mus musculus.		125/356	Gene Ontology	CC	GO:0005578	6.17169961073965e-69	9.2251479931531e-66	2525	3256.5	3532	1.54292490268491e-69	4	2.12371086374559	1.73113367826235	1	71.0701102040653	2524	4	5958	4540
5	M14014	GO_SYSTEM_PROCESS	http://www.broadinstitute.org/gsea/msigdb/cards/GO_SYSTEM_PROCESS.html	A multicellular organismal process carried out by any of the organs or tissues in an organ system. An organ system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a biological objective.		386/1785	Gene Ontology	BP	GO:0003008	1.03328123114629e-68	1.23559769620474e-65	740	430.5	381.5	2.58320307786573e-69	5	1.87424102239191	1.94591502214964	1	62.5991816364078	737	5	954	26
6	M16924	GO_EXTRACELLULAR_STRUCTURE_ORGANIZATION	http://www.broadinstitute.org/gsea/msigdb/cards/GO_EXTRACELLULAR_STRUCTURE_ORGANIZATION.html	A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of structures in the space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane, and also covers the host cell environment outside an intracellular parasite.		144/304	Gene Ontology	BP	GO:0043062	6.06043082713512e-68	5.17647370220584e-65	3945	3507.5	4249.5	1.51510770678378e-68	7	2.02145593439746	1.86040938528986	1	66.8689769507565	3943	7	5524	4556
7	M17462	GO_NEURON_PROJECTION	http://www.broadinstitute.org/gsea/msigdb/cards/GO_NEURON_PROJECTION.html	A prolongation or process extending from a nerve cell, e.g. an axon or dendrite.		428/942	Gene Ontology	CC	GO:0043005	6.04443809162756e-68	5.17647370220584e-65	120	151.25	62.5	1.51110952290687e-68	3	1.92200048123141	1.97724170537561	1	63.5790225922699	119	6	477	3
8	M17755	GO_MEMBRANE_REGION	http://www.broadinstitute.org/gsea/msigdb/cards/GO_MEMBRANE_REGION.html	A membrane that is a part of a larger membrane.  Examples include the apical region of the plasma membrane of an epithelial cell and the various regions of the endoplasmic reticulum membrane.		422/1134	Gene Ontology	CC	GO:0098589	2.57952816758118e-64	1.92787486424598e-61	130	121.5	70.5	6.44882041895288e-65	8	1.73681700350934	1.69273922266312	1	54.261715630108	130	8	337	11
9	M17628	GO_PLASMA_MEMBRANE_REGION	http://www.broadinstitute.org/gsea/msigdb/cards/GO_PLASMA_MEMBRANE_REGION.html	A membrane that is a (regional) part of the plasma membrane.		312/929	Gene Ontology	CC	GO:0098590	1.96789979788147e-60	1.30734143239259e-57	10	107.25	68.5	4.91974949470369e-61	7	1.77696515038277	1.73268042637081	1	52.0127774106432	128	9	285	7
10	M10869	GO_RESPONSE_TO_WOUNDING	http://www.broadinstitute.org/gsea/msigdb/cards/GO_RESPONSE_TO_WOUNDING.html	Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to the organism.		249/563	Gene Ontology	BP	GO:0009611	4.57896581393702e-50	2.73776366015295e-47	2120	1273.25	1482.5	1.14474145348425e-50	10	1.9326562823048	2.00780909253436	1	46.3058352270663	2118	10	1867	1098
