Rank	ID	GeneSet	BroadUrl	Description	PubMedID	NumGenes	Contributor	Ontology	GOID	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	gage	zscore	ora
1	M13550	GO_CHROMATIN_ORGANIZATION	http://www.broadinstitute.org/gsea/msigdb/cards/GO_CHROMATIN_ORGANIZATION.html	Any process that results in the specification, formation or maintenance of the physical structure of eukaryotic chromatin.		227/663	Gene Ontology	BP	GO:0006325	1.57833236712326e-138	9.43684922302997e-135	10	16.25	7.5	3.94583091780818e-139	1	1.84780103986132	-1.85818577052779	-1	100	7	1	49	8
2	M10125	GO_CHROMOSOME_ORGANIZATION	http://www.broadinstitute.org/gsea/msigdb/cards/GO_CHROMOSOME_ORGANIZATION.html	A process that is carried out at the cellular level that results in the assembly, arrangement of constituent parts, or disassembly of chromosomes, structures composed of a very long molecule of DNA and associated proteins that carries hereditary information. This term covers covalent modifications at the molecular level as well as spatial relationships among the major components of a chromosome.		391/1009	Gene Ontology	BP	GO:0051276	1.39964853840309e-136	4.18424930555603e-133	10	42.75	7.5	3.49912134600776e-137	2	1.72761604343605	-1.75315473878311	-1	92.3469837259661	8	2	154	7
3	M16989	GO_CHROMOSOME	http://www.broadinstitute.org/gsea/msigdb/cards/GO_CHROMOSOME.html	A structure composed of a very long molecule of DNA and associated proteins (e.g. histones) that carries hereditary information.		370/880	Gene Ontology	CC	GO:0005694	2.5558042331577e-136	5.09371783668329e-133	15	44.5	9	6.38951058289408e-137	3	1.69374003677721	-1.73026597038822	-1	90.4777767547171	12	3	157	6
4	M17269	GO_NUCLEAR_CHROMOSOME	http://www.broadinstitute.org/gsea/msigdb/cards/GO_NUCLEAR_CHROMOSOME.html	A chromosome that encodes the nuclear genome and is found in the nucleus of a eukaryotic cell during the cell cycle phases when the nucleus is intact.		213/523	Gene Ontology	CC	GO:0000228	5.81459167980115e-129	8.69136091338276e-126	10	28.75	12	1.45364791995028e-129	4	1.75546336055253	-1.7687520740678	-1	88.6485789121531	10	4	87	14
5	M12761	GO_CHROMATIN_MODIFICATION	http://www.broadinstitute.org/gsea/msigdb/cards/GO_CHROMATIN_MODIFICATION.html	The alteration of DNA, protein, or sometimes RNA, in chromatin, which may result in changing the chromatin structure.		200/539	Gene Ontology	BP	GO:0016568	1.07667882300207e-118	1.28749253654588e-115	15	16.25	10.5	2.69169705750516e-119	5	1.80655490518529	-1.81503166320144	-1	83.8094085988167	11	5	39	10
6	M17301	GO_CHROMATIN	http://www.broadinstitute.org/gsea/msigdb/cards/GO_CHROMATIN.html	The ordered and organized complex of DNA, protein, and sometimes RNA, that forms the chromosome.		184/441	Gene Ontology	CC	GO:0000785	1.03796252323119e-103	1.03432965439988e-100	20	40.25	19.5	2.59490630807799e-104	6	1.82079203402519	-1.87123345067376	-1	73.5114676104051	18	6	116	21
7	M18956	GO_CHROMATIN_BINDING	http://www.broadinstitute.org/gsea/msigdb/cards/GO_CHROMATIN_BINDING.html	Interacting selectively and non-covalently with chromatin, the network of fibers of DNA, protein, and sometimes RNA, that make up the chromosomes of the eukaryotic nucleus during interphase.		170/435	Gene Ontology	MF	GO:0003682	2.59952707405686e-99	2.22036748225514e-96	20	33.75	18	6.49881768514204e-100	7	1.77477587915135	-1.82619301485017	-1	68.5493183905681	16	7	92	20
8	M11015	GO_MRNA_PROCESSING	http://www.broadinstitute.org/gsea/msigdb/cards/GO_MRNA_PROCESSING.html	Any process involved in the conversion of a primary mRNA transcript into one or more mature mRNA(s) prior to translation into polypeptide.		284/432	Gene Ontology	BP	GO:0006397	3.68307396202198e-86	2.75263740236618e-83	5	44.5	4.5	9.20768490505501e-87	1	1.48476476874139	-1.47498773449533	-1	49.497934285502	1	8	168	1
9	M17308	GO_NUCLEAR_CHROMATIN	http://www.broadinstitute.org/gsea/msigdb/cards/GO_NUCLEAR_CHROMATIN.html	The ordered and organized complex of DNA, protein, and sometimes RNA, that forms the chromosome in the nucleus.		113/291	Gene Ontology	CC	GO:0000790	7.22912389303794e-77	4.80254797294154e-74	30	42.25	27.5	1.80728097325948e-77	9	1.82428629178508	-1.8955405714055	-1	54.0088773444152	26	9	105	29
10	M17429	GO_NUCLEOPLASM_PART	http://www.broadinstitute.org/gsea/msigdb/cards/GO_NUCLEOPLASM_PART.html	Any constituent part of the nucleoplasm, that part of the nuclear content other than the chromosomes or the nucleolus.		322/708	Gene Ontology	CC	GO:0044451	1.92646075195324e-76	1.15183088359284e-73	5	38.25	7	4.81615187988308e-77	3	1.47376223035471	-1.49697393436417	-1	43.4053566241603	4	10	136	3
