category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
Genetic Information Processing,Translation,hsa03008,Ribosome biogenesis in eukaryotes,22/186,50/3259,0.44,7.709462365591398,11.760846909036326,2.8399634503085352e-15,6.986310087758997e-13,6.726229224414953e-13,10799/55781/84128/84916/10199/55226/55813/55127/55272/134430/51096/23160/10436/5822/9790/84135/10813/65083/10607/10556/54464/23560,22,ATRT_vs_EPN_like,Up,KEGG
Metabolism,Glycan biosynthesis and metabolism,hsa00514,Other types of O-glycan biosynthesis,7/186,17/3259,0.4117647058823529,7.214737507906388,6.319627459065718,2.104918645552062e-5,0.0025890499340290364,0.0024926668171011265,2683/8693/285203/79709/55568/283464/8985,7,ATRT_vs_EPN_like,Up,KEGG
Genetic Information Processing,Replication and repair,hsa03030,DNA replication,8/186,25/3259,0.32,5.606881720430108,5.687976462991854,4.5266772189035455e-5,0.0037118753195009074,0.003573692541239641,5558/4174/4175/4173/4172/4171/4176/5422,8,ATRT_vs_EPN_like,Up,KEGG
Cellular Processes,Cell growth and death,hsa04110,Cell cycle,12/186,68/3259,0.17647058823529413,3.0920303605313095,4.288543001659452,3.6268722603678997e-4,0.022305264401262584,0.02147490154165204,2810/9319/4174/4999/4175/4085/4173/902/4172/4171/996/4176,12,ATRT_vs_EPN_like,Up,KEGG
