category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
Organismal Systems,Development and regeneration,hsa04360,Axon guidance,25/577,83/3259,0.30120481927710846,1.7012591092272036,3.0013135906526895,0.0035205574521436486,0.01992886986302744,0.012242540012153667,1808/5594/5578/5781/5595/2771/5879/818/5530/817/5295/1073/3983/23654/5290/3845/55740/23365/5534/5335/5364/2773/5881/6091/56896,25,ATRT_vs_Glial,Down,KEGG
Organismal Systems,Nervous system,hsa04722,Neurotrophin signaling pathway,20/577,62/3259,0.3225806451612903,1.8219936266562307,3.0305889588513497,0.003673615392138765,0.020430457531719095,0.012550671238147211,5594/5781/5595/5879/818/4215/817/5295/1399/7531/208/396/5290/6272/3845/5906/207/5335/4217/6196,20,ATRT_vs_Glial,Down,KEGG
Human Diseases,Infectious disease: bacterial,hsa05100,Bacterial invasion of epithelial cells,19/577,58/3259,0.3275862068965517,1.8502659415526206,3.0301212195864533,0.003785577055495848,0.02069013666538248,0.012710195195403484,23176/81873/5879/10552/8976/5295/4735/1399/391/1499/63916/5290/1785/26052/2017/10163/5829/10801/26084,19,ATRT_vs_Glial,Down,KEGG
Metabolism,Amino acid metabolism,hsa00380,Tryptophan metabolism,9/577,20/3259,0.45,2.5416811091854417,3.207289293321842,0.004226572137769515,0.022708870638524344,0.0139503273057513,217/4129/4128/223/883/2639/3033/1545/23498,9,ATRT_vs_Glial,Down,KEGG
Environmental Information Processing,Signal transduction,hsa04010,MAPK signaling pathway,29/577,102/3259,0.28431372549019607,1.6058551670234817,2.883139597756868,0.004457288235513923,0.022756832069226882,0.013979790578804495,55970/5594/5578/5595/5879/5530/4215/5567/1399/9448/51347/208/2246/4763/57551/8649/3845/5906/207/355/5534/4217/3556/781/6196/2768/5881/22800/22808,29,ATRT_vs_Glial,Down,KEGG
Human Diseases,Infectious disease: viral,hsa05170,Human immunodeficiency virus 1 infection,31/577,111/3259,0.27927927927927926,1.5774197074023761,2.870580892181971,0.0044770897308054145,0.022756832069226882,0.013979790578804495,2775/55970/2776/5594/5578/5595/59345/2771/2767/2783/5879/5530/5295/1399/2782/1073/2475/3709/208/5290/3845/207/355/5534/5335/2773/6500/5881/5829/3105/8905,31,ATRT_vs_Glial,Down,KEGG
Organismal Systems,Endocrine system,hsa04921,Oxytocin signaling pathway,20/577,63/3259,0.31746031746031744,1.7930730928997825,2.9479096227221784,0.0045147635678452445,0.022756832069226882,0.013979790578804495,2775/2776/5594/5578/5595/2771/818/5530/817/5567/3709/2983/3845/5534/2773/781/140465/54776/5565/23236,20,ATRT_vs_Glial,Down,KEGG
Organismal Systems,Endocrine system,hsa04911,Insulin secretion,12/577,31/3259,0.3870967741935484,2.186392351987477,3.0780557537440676,0.004522651168332156,0.022756832069226882,0.013979790578804495,2776/5578/2767/818/817/5567/482/477/476/481/6844/23236,12,ATRT_vs_Glial,Down,KEGG
Human Diseases,Cancer: overview,hsa05235,PD-L1 expression and PD-1 checkpoint pathway in cancer,15/577,43/3259,0.3488372093023256,1.9702954334770868,2.9703953408387878,0.00502831128961162,0.0247873250086,0.015227146360919808,5594/5781/5595/5530/4215/5295/2475/5728/208/5290/3845/207/3716/5534/5335,15,ATRT_vs_Glial,Down,KEGG
Organismal Systems,Endocrine system,hsa04924,Renin secretion,10/577,24/3259,0.4166666666666667,2.353408434430965,3.0862522306533506,0.005082574528577287,0.0247873250086,0.015227146360919808,2776/2771/5530/5567/3709/2983/5534/2773/23236/183,10,ATRT_vs_Glial,Down,KEGG
Cellular Processes,Cell motility,hsa04820,Cytoskeleton in muscle cells,34/577,126/3259,0.2698412698412698,1.5241121289648152,2.7826805031998267,0.005411635067637065,0.025992247218802264,0.015967344298450672,6709/6711/2273/114793/830/5339/7111/287/1837/3685/1465/29767/83660/64236/3696/482/10611/477/3675/3679/476/6645/481/7431/6641/2026/25802/8572/8082/79784/57731/288/2318/7168,34,ATRT_vs_Glial,Down,KEGG
Organismal Systems,Digestive system,hsa04973,Carbohydrate digestion and absorption,9/577,21/3259,0.42857142857142855,2.4206486754147063,3.028949102898586,0.006257495724879991,0.029606360369954583,0.01818753667090021,5295/482/208/5290/477/207/476/481/23236,9,ATRT_vs_Glial,Down,KEGG
Environmental Information Processing,Signal transduction,hsa04020,Calcium signaling pathway,20/577,65/3259,0.3076923076923077,1.737901613118251,2.786902287118051,0.006677025599132813,0.031126722278310322,0.01912151293869304,2776/5578/2767/5257/818/5530/493/817/5567/5333/3709/490/2246/5255/5534/5335/113026/5027/23236/5260,20,ATRT_vs_Glial,Down,KEGG
Cellular Processes,Cellular community - eukaryotes,hsa04530,Tight junction,25/577,87/3259,0.28735632183908044,1.6230402996075617,2.731764364882748,0.006919030898367646,0.031787431808442665,0.019527394602563152,81873/5962/5879/3996/5516/10552/5567/5520/7082/4478/1739/64398/5906/2017/9368/58494/4217/140465/5872/7277/5565/79861/7074/79778/79784,25,ATRT_vs_Glial,Down,KEGG
Metabolism,Lipid metabolism,hsa00561,Glycerolipid metabolism,10/577,25/3259,0.4,2.2592720970537266,2.931255242094946,0.0071573023687724014,0.0324123550128693,0.019911292304103677,217/56894/231/55326/223/1608/8613/196051/129642/11343,10,ATRT_vs_Glial,Down,KEGG
Organismal Systems,Circulatory system,hsa04270,Vascular smooth muscle contraction,17/577,53/3259,0.32075471698113206,1.8116804551845915,2.7629646222039623,0.007637876625939101,0.033627873478092984,0.020657999646180317,2776/5594/5578/5595/2767/10672/5567/10203/3709/2983/23365/140465/54776/2768/79784/23236/183,17,ATRT_vs_Glial,Down,KEGG
