category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
Human Diseases,Cardiovascular disease,hsa05414,Dilated cardiomyopathy,14/545,41/3259,0.34146341463414637,2.0418885656746477,3.0080776979001556,0.004873765937435641,0.027003965768402527,0.018260509830065667,3685/6645/1756/3679/1837/1605/8082/3696/3675/6641/3693/6640/3655/3673,14,MB_vs_Glial,Down,KEGG
Metabolism,Amino acid metabolism,hsa00270,Cysteine and methionine metabolism,13/545,37/3259,0.35135135135135137,2.101016612943219,3.017872137316974,0.005002155157576556,0.027003965768402527,0.018260509830065667,29968/58478/10768/7263/3945/23382/2937/26227/113675/56267/10993/883/586,13,MB_vs_Glial,Down,KEGG
Organismal Systems,Digestive system,hsa04972,Pancreatic secretion,12/545,33/3259,0.36363636363636365,2.1744787322768975,3.0383570953224095,0.005041879684606801,0.027003965768402527,0.018260509830065667,5578/482/493/477/476/8671/5906/3709/2776/23236/483/952,12,MB_vs_Glial,Down,KEGG
Human Diseases,Infectious disease: parasitic,hsa05140,Leishmaniasis,12/545,33/3259,0.36363636363636365,2.1744787322768975,3.0383570953224095,0.005041879684606801,0.027003965768402527,0.018260509830065667,5594/5595/6772/3716/7189/3689/3684/3122/3123/3115/1536/3119,12,MB_vs_Glial,Down,KEGG
Organismal Systems,Circulatory system,hsa04261,Adrenergic signaling in cardiomyocytes,18/545,59/3259,0.3050847457627119,1.8243508008085834,2.8630698941991266,0.005926482697232436,0.029919159957472772,0.020231810364313704,5578/482/5594/5595/817/493/2771/477/476/5520/2776/818/5525/5516/5521/23236/483/816,18,MB_vs_Glial,Down,KEGG
Organismal Systems,Endocrine system,hsa04919,Thyroid hormone signaling pathway,18/545,59/3259,0.3050847457627119,1.8243508008085834,2.8630698941991266,0.005926482697232436,0.029919159957472772,0.020231810364313704,5578/482/5594/5595/3685/477/476/5333/6772/5214/5295/5213/5604/1499/3845/23236/483/113026,18,MB_vs_Glial,Down,KEGG
Cellular Processes,Transport and catabolism,hsa04148,Efferocytosis,22/545,77/3259,0.2857142857142857,1.7085190039318479,2.8191335352999114,0.005964895814306281,0.029919159957472772,0.020231810364313704,5594/5595/3685/817/7879/4035/5868/5869/27072/1793/818/5781/1374/5604/140885/196527/961/834/1901/64805/3693/816,22,MB_vs_Glial,Down,KEGG
Human Diseases,Infectious disease: viral,hsa05167,Kaposi sarcoma-associated herpesvirus infection,22/545,77/3259,0.2857142857142857,1.7085190039318479,2.8191335352999114,0.005964895814306281,0.029919159957472772,0.020231810364313704,5594/59345/5595/57580/55970/3383/2783/6774/6772/3709/2247/5295/3716/3106/5604/1499/3105/2782/2787/3845/3107/10681,22,MB_vs_Glial,Down,KEGG
Organismal Systems,Digestive system,hsa04976,Bile secretion,9/545,22/3259,0.4090909090909091,2.4462885738115094,3.0497470178385693,0.006098452260001614,0.03011110803375797,0.020361608697044863,482/361/477/476/8671/358/2052/8714/483,9,MB_vs_Glial,Down,KEGG
Organismal Systems,Immune system,hsa04670,Leukocyte transendothelial migration,17/545,55/3259,0.3090909090909091,1.8483069224353628,2.842869809868671,0.0064056034254105065,0.03114108742199569,0.021058097090823204,5578/2771/4478/3383/998/5906/5295/6494/5781/1499/1496/58494/3689/3684/7410/1536/83692,17,MB_vs_Glial,Down,KEGG
