category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
Environmental Information Processing,Signal transduction,hsa04150,mTOR signaling pathway,14/292,66/3259,0.21212121212121213,2.3674761311747616,3.520468442587101,0.001670390421507428,0.016761503884781433,0.011459302710159852,5295/5595/5578/51606/529/523/526/51382/528/534/5290/208/7248/5594,14,EPN_like_vs_Glial,Down,KEGG
Organismal Systems,Nervous system,hsa04721,Synaptic vesicle cycle,10/292,41/3259,0.24390243902439024,2.7221850985633145,3.480862980094309,0.0025921130119457934,0.024332415692781478,0.016635292334728522,4905/51606/529/523/526/26052/6506/51382/528/534,10,EPN_like_vs_Glial,Down,KEGG
Human Diseases,Infectious disease: bacterial,hsa05120,Epithelial cell signaling in Helicobacter pylori infection,10/292,41/3259,0.24390243902439024,2.7221850985633145,3.480862980094309,0.0025921130119457934,0.024332415692781478,0.016635292334728522,51606/529/523/526/5781/5803/51382/528/534/58494,10,EPN_like_vs_Glial,Down,KEGG
Cellular Processes,Transport and catabolism,hsa04148,Efferocytosis,15/292,77/3259,0.19480519480519481,2.174212773527842,3.270771975333118,0.0028211972910066707,0.024877830657058824,0.017008175055829692,3685/817/4035/5595/1793/5868/5781/196527/5594/64805/713/816/714/818/140885,15,EPN_like_vs_Glial,Down,KEGG
Human Diseases,Infectious disease: viral,hsa05167,Kaposi sarcoma-associated herpesvirus infection,15/292,77/3259,0.19480519480519481,2.174212773527842,3.270771975333118,0.0028211972910066707,0.024877830657058824,0.017008175055829692,5295/3383/5595/57580/3106/5290/208/3105/6772/5594/3107/84557/10681/718/2247,15,EPN_like_vs_Glial,Down,KEGG
Human Diseases,Infectious disease: bacterial,hsa05110,Vibrio cholerae infection,8/292,30/3259,0.26666666666666666,2.9762557077625567,3.4109702742909893,0.0038255017880019873,0.03258961284233997,0.022280473240015388,5578/51606/529/523/526/51382/528/534,8,EPN_like_vs_Glial,Down,KEGG
Organismal Systems,Immune system,hsa04640,Hematopoietic cell lineage,7/292,24/3259,0.2916666666666667,3.2552796803652972,3.4783804214108907,0.003919712884817522,0.03258961284233997,0.022280473240015388,3675/3684/3115/929/3122/960/3123,7,EPN_like_vs_Glial,Down,KEGG
Environmental Information Processing,Signal transduction,hsa04072,Phospholipase D signaling pathway,13/292,65/3259,0.2,2.232191780821918,3.1475723569524083,0.004192773998926644,0.03297817486517599,0.02254612063490057,5295/5595/5578/8613/26052/5781/23236/1608/5290/208/7248/5594/2534,13,EPN_like_vs_Glial,Down,KEGG
Human Diseases,Cancer: specific types,hsa05214,Glioma,9/292,37/3259,0.24324324324324326,2.7148278415401705,3.2905372577094303,0.004300851636876812,0.03297817486517599,0.02254612063490057,817/5295/5595/5578/5290/208/5594/816/818,9,EPN_like_vs_Glial,Down,KEGG
Human Diseases,Infectious disease: bacterial,hsa05130,Pathogenic Escherichia coli infection,19/292,112/3259,0.16964285714285715,1.8933769569471626,3.0178912012664716,0.004306428332909579,0.03297817486517599,0.02254612063490057,2597/5595/10006/26999/10095/5781/9475/347733/7280/4542/3059/4627/5594/2534/4641/29108/4644/79784/7277,19,EPN_like_vs_Glial,Down,KEGG
Human Diseases,Cancer: specific types,hsa05218,Melanoma,7/292,25/3259,0.28,3.1250684931506854,3.3456547417268627,0.00503526564950664,0.03757082830785724,0.025685970519750478,5295/5595/2246/5290/208/5594/2247,7,EPN_like_vs_Glial,Down,KEGG
Cellular Processes,Cellular community - eukaryotes,hsa04510,Focal adhesion,19/292,114/3259,0.16666666666666666,1.860159817351598,2.9324420859970384,0.005262151693389001,0.03828215356940499,0.026172280790803196,3685/5295/5595/5578/1793/824/5906/9475/55742/3696/3611/7143/5290/3675/208/5594/2534/3911/7148,19,EPN_like_vs_Glial,Down,KEGG
Human Diseases,Infectious disease: viral,hsa05165,Human papillomavirus infection,23/292,148/3259,0.1554054054054054,1.7344733432062198,2.868567561087398,0.005499160551031758,0.03903062732561565,0.026683988296405704,3685/5295/5595/51606/529/523/526/3106/3696/51382/528/534/7143/5290/3675/208/7248/3105/6772/5594/3107/3911/7148,23,EPN_like_vs_Glial,Down,KEGG
Human Diseases,Infectious disease: bacterial,hsa05132,Salmonella infection,24/292,159/3259,0.1509433962264151,1.684673042129749,2.776573257017717,0.006694855266578015,0.04638578291843339,0.03171247231536955,391/2597/5595/10006/26999/6990/10095/5868/51429/9475/347733/7280/63916/5290/208/929/5594/5286/29108/26084/388/5788/7277/5420,24,EPN_like_vs_Glial,Down,KEGG
Human Diseases,Infectious disease: viral,hsa05164,Influenza A,14/292,77/3259,0.18181818181818182,2.029265255292653,2.8670203800295075,0.007347743554751594,0.049224227997864384,0.033653026194958836,5295/3383/5595/5578/5290/3115/208/23586/6772/5594/3122/29108/5340/3123,14,EPN_like_vs_Glial,Down,KEGG
Organismal Systems,Environmental adaptation,hsa04713,Circadian entrainment,9/292,40/3259,0.225,2.5112157534246573,3.0165058510403524,0.007442838597615234,0.049224227997864384,0.033653026194958836,817/5595/5578/23236/5594/10681/816/818/117,9,EPN_like_vs_Glial,Down,KEGG
Organismal Systems,Nervous system,hsa04722,Neurotrophin signaling pathway,12/292,62/3259,0.1935483870967742,2.1601855943437913,2.893078300141416,0.007694898187614619,0.0497603416132412,0.034019549882085685,817/5295/5595/5906/5781/397/4217/5290/208/5594/816/818,12,EPN_like_vs_Glial,Down,KEGG
