;ATRT;EPN;HGG;LGG;MB
FMNL2;-0.094546534;0;0;0;0
NKTR;0;0;0;-0.012879625;0
PRKCD;0;0;0.062009857;0;0
POU2F1;0.039944466;0;0;0;0
RRM2B;0;0;0;0;0
RERE;0;0;0;-0.03177987;0
PRAM1;0;0;0;0.065154632;0
SMC1A;0;0;0;-0.027121098;0
PRKAA1;0;0;0;0.044844667;0
GGH;0;0;0;-0.084179697;0
PYCR3;0;0.056465223;0;0;0
BCAT1;0;0;0.058078401;0;0
XKR7;0;0;0;0;0.032745514
RHOG;0;0;0;0.024832945;0
DGKA;0;0;0;0.111250438;0
STRBP;0;0;0;-0.056481208;0
SSB;0;0;0;-0.018571382;0
AGA;0;0.062944288;0;0;0
FXN;0.116879709;0;0;0;-0.016396284
UNCX;0;0;-0.053776023;0;0.068221769
ZNF185;0;0.078468089;0;0;0
ZFYVE9;0;-0.453805447;0;0;0
TP53I3;0;-0.071751233;0;0;0
ARHGEF2;0;-0.059380903;0;0;0
CALCRL;-0.093749482;0;0;0;0
FBXW9;0;0.007288862;0;0;0
MLH1;0;0;0;-0.015329214;0
CDK1;0;0;0;-0.047340471;0
FXR1;0;0;0;-0.017320517;0
GIT2;0;0;0;0.051554962;0
LSM5;0;0;0;-0.024240803;0
ARF4;0;-0.053733684;0.087410838;0;0
INF2;0;0;0;0.065358478;0
ESS2;0;0;0;-0.089135521;0
S100A6;0;0;0.053776039;0;0
DOCK11;0;0;0.0946496;0;0
PTAR1;0;0;-0.030054592;0.023914963;0
IGFBP2;0;0;0.051221869;0;0
GALK2;0;-0.094902246;0;0;0
CBARP;-0.043428644;0;0;0.017397349;0
CHORDC1;0;0;0;-0.044233562;0
R3HDM2;0;0;0;0.11255931;0
SLC27A1;0;0;0;0;0
SORL1;0;0;0;0.039529121;0
EFS;0;-0.153971904;0;0;0
IFT88;0;0;0;0;0
SIPA1L1;0;-0.053331139;0;0.036309534;0
OPLAH;0;0;0;0.058127607;0
POLR3E;0;0;0;0;0.041475555
RELN;0;0;0;0;0.027570388
RRAD;-0.114736581;0;0;0;0
RECQL;0;0;0.074774432;0;0
SETD7;0;0;0;0;0
RYBP;0;0;0;0;0.011708541
WASHC1;0;0;0;0.013685836;0
VAMP4;0;0;0;0;0
UTRN;0;0;0;0.066856966;0
USP39;0;0;0;-0.022713328;0
WDFY1;0;0;0;0.030500123;0
WBP4;0;0;0;0;0.023272043
UBAC1;0;0;0.05074904;0;0
UACA;0;0;-0.109369371;0;0
VPS11;0;0;0;0.045478681;0
PRDX5;0;0;0;0;0
PPIP5K1;0;0;0;0.046740504;0
PRKCA;0;0;0;0.021555202;0
CAMK1;0;0;0;0.030461619;0
STMN1;0;0;0;-0.044450123;0
DSN1;0;0;0;0;0.067360893
DDX58;0;0;0;0.066433256;0
NLN;0;-0.082890444;0;0;0
ADSSL1;0;0.084533461;0;0;0
MYT1;0;0;0;0;0.010689034
DNAJC9;0;0;0;-0.037301892;0
SDC2;0;0;-0.059533157;0;0
SETMAR;0;0;0;0;0.021742707
FAM171A2;0;0;0;0;0.011820982
CENPB;0;0;0;0;0.040768854
FEN1;0;0;0;0;0
ATG16L1;0;-0.050023624;0;0;0
ATP1B2;0;0;0;0;0
TSHZ1;0;0;0;0;0.073189737
TMEM165;0;0;0.063500666;0;0
ASTN1;0;0;0;0.052214025;0
ACOX3;0;0;0.069613669;0;0
TP53RK;0;0;0;0;0
BCL9L;0.162010337;0;0;0;0
HAUS6;0;0;0;-0.021759754;0
ANTXR1;0;0;0;0.071257416;0
EHD4;0;0;0;0.016250072;0
EPB41L2;0;0;0;0.043439129;0
ELOC;0;0;0.089138936;0;0
AKAP8L;0;0;0;-0.021071868;0
KANK3;-0.121632666;0;0;0;0
FBXO3;0;0;-0.033561044;0;0
DDX41;0;0;0;-0.048351665;0
CSAD;0;0;0;0.061492869;0
AHDC1;-0.082682979;0;0;0;0
DCAF5;0;0.026599183;0;0;0
DCTN2;0;0;0.032201833;0;0
ISYNA1;0;0.026539312;0;0;0
ASMTL;0;0;-0.102800918;0;0
CIAO2A;0;0;0.016189263;0;0
IFT140;0;0.017156675;0;0;0
HSD17B11;0;-0.026501501;0;0;0
CRIP2;0;0.043164142;0;0;0
CPSF1;0;0;0;-0.03372945;0
CRADD;-0.021054689;0;0;0;0
CMSS1;0;0;-0.111394064;0;0.011238135
COIL;0;0;0;-0.058980774;0
MICALL2;0;0;0;0.032964369;0
TRMT6;0;0;0;-0.045397718;0
BRD3;0;0;0;-0.024977062;0
FAM126A;-0.077043398;0;0;0;0
FBN2;0;0;0;0;0
HDAC5;0;0;0;0;0.036745571
MCM5;0;0;0;-0.050217564;0
GSTA4;0;0;-0.021063312;0;0
MCM7;0;0;0;0;0
HUWE1;0;0;0;-0.017104136;0
HMCES;0;0;0;0;0.021162454
HSP90AA1;0;0;0;-0.019319079;0
TSC22D4;0;0;0;0.019526129;0
MFSD6;-0.03432401;0;0;0;0
ATP5S;0;0;0.076793566;0;0
BIN1;-0.058631981;0;0;0;0
BRK1;0;0;0;0;-0.041895673
INTS2;0;0;0;0;0.024525031
IPO5;0;0;0;-0.060880752;0
COQ8A;0;0;0;0.026308915;0
SELENOS;0;0;0.05115824;0;0
RTL8C;0;0;0.066517119;0;0
RUVBL2;0;0;0;-0.002546024;0
CPNE8;0;0;-0.048258674;0;0
CPQ;0;0;-0.035078038;0.074740409;0
SET;0;0;0;-0.009655061;0
CSK;0;-0.033731053;0;0;0
CTR9;0;0;0;0;0
CYB5R2;0;0;0;0.096926314;0
CSF1R;-0.021815856;0;0;0;0
KIAA1211;0;0;0;0;0.01574034
ALDH1L2;0;-0.008179266;0;0.06029774;0
CDH10;0.0686138;0;-0.014887969;0;0
PCDH7;0.054625541;0;0;0;0
GPATCH1;0;0;0;0;0.023608133
GNG12;-0.029187537;0;0;0;0
ENDOD1;0;0;0;0.012578055;0
PAXX;0;0.025195185;0;0;0
PBDC1;0;0;0;-0.047397706;0
PBRM1;-0.049097876;0;0.057953003;0;0
ERI3;0;0;-0.055929931;0;0
EMC10;0;0;0;0;-0.034945777
THSD7A;0;0;-0.077678103;0;0
CLP1;0;0;0;-0.04040429;0
CETN2;0;0;0;0;0
TTC5;0;0;0;0;0
TTLL12;0;0;0;0;0.059955554
ATP6V0C;0;0;0;0;-0.0200521
TRIQK;-0.011676864;0;0;0;0
AP2A1;0;0;0;0.021341604;0
APBB1;0;0;0.037411328;0;0
GDAP2;-0.01974308;0;0.050629914;0;0
ACSS3;0;0;0;0.074448603;0
YWHAQ;0;0;0;-0.035059332;0
TTYH3;0;0;-0.021835361;0;0
TXLNG;0;0;0;-0.029654069;0
VANGL2;-0.00558874;0;0;0;0
WDR18;0;0;0;0;0
VPS72;0;0;0;0;0.024131082
ARHGEF6;0;0;0;0.009537399;0
ARID1A;0;0;0;-0.039788164;0
ALDH3A1;0;0;0;0;0
CAMK2D;0;0;0;0.018050239;0
C1orf226;0;0;0.057603411;0;-0.006343311
PRKAG1;0;0;0;0.026173261;0
POLD2;0;0;0;0;0
RENBP;-0.008369838;0;0.001335847;0;0
QTRT1;0;0;-0.04455233;0;0
RB1;0;0;0;0;0.005105759
PTPN9;0;-0.044568582;0;0;0
PUS7;0;0;-0.058509382;0;0
DNMT3A;0;0;-0.034978812;0;0.00884546
RIOX1;0;0;0;-0.063495833;0
RBMX2;0;0;0;0;0
DPY19L3;-0.095225722;0;0;0;0
DHTKD1;0;0;0.095427688;0;0
SORBS2;0;0;-0.04934828;0;0
SLC2A5;0;0;0;0.053592297;0
SLC9A1;0;0;0;0.037927203;0
SPARCL1;0;0;0.019680351;0;0
GOLGA1;0;0;0.0288802;0;0
GPATCH11;0;0;0;0;0.019061484
GAS7;0;0;0;0.064260118;0
FRZB;0;0;0;0;0
SNX9;0;0;0;0.074368198;0
ACTL6A;0;0;0;-0.008745895;0
ADO;0;-0.063946858;0;0;0
MTAP;0;0;-0.043907962;0;0
PALM2;-0.00193402;0;0;0;0
SOD2;0;0;0.008567443;0;0
TNRC6B;0;0.068145433;0;0;0
TNS3;0;0;0;0;0
JAM3;0;0;0.062464068;0;0
SHMT2;0;0;0;0;0
SGCE;0;0;0;0.001732872;0
NBN;0;0;0;-0.044934954;0
MSH6;0;0;0;0;0
NOLC1;0;0;0;-0.026937763;0
NECTIN2;0;0;0;0;-0.005875754
NASP;0;0;0;-0.005900652;0
GALC;0;0;-0.067366817;0;0
OTUB1;0;0.06461328;0;0;0
NRBP1;0;0;0.0429191;0;0
THBS3;0.009154863;0;0;0;-0.010951757
SYNM;0;0;0;0.021818149;0
TBC1D10A;0;0;0;0.026033719;0
SUDS3;0;0;0;0;0
CDK4;0;0;0.058701223;0;0
CCDC91;0;0.064788195;0;0;0
SAP130;0;0;0;0;0.020746016
SARS;0;0;0.077439982;0;0
EFTUD2;0;0;0;0;0
LOXL2;0;0;0;0;-0.009295207
SIRT5;0;0;-0.040439277;0;0
LRCH1;0;0;0;0;0.014603475
MCM3;0;0;0;-0.011506813;0
MEN1;0;0;0;0;0.000562172
NXN;0;0;0;-0.007702573;0
ZKSCAN1;0;0;0;0;0
ING3;0;0;0;0;0.025039272
INTS14;0;0;0;-0.038828296;0
ATXN3;0;0;0;0;0
DDX3X;0;-0.063409508;0;0;0
CRYZL1;0;0;0;0;0
SIN3A;0;0;0;0;0
SCD5;0;0;0;0;0
RUVBL1;0;0;0;-0.001162013;0
EFNB1;0;0;0;-0.050790538;0
EHBP1;0;0;0;0.003929138;0
CCDC9B;0;0;0;0;0
CBR3;0;0;0;0;0
TBC1D9B;0;0;0;0;0
TDRP;0;0;0;0;0.031122194
TAF9;0;0;-0.015463369;0;0.015489797
STRN;0;-0.027357285;0;0;0
SURF4;0;-0.05959517;0;0;0
SYMPK;0;0;0;-0.000360768;0
STAG2;0;0;0;0;0
STK11;0;0;0;0.063733317;0
SRPK2;0;0;0;-0.027727599;0
SRSF12;0;0;0;0;0
SNX3;0;0;0;0;0
SOX5;0;0.016313826;0;0;0
SLU7;0;0;0;0;0.015213369
SNCAIP;0;0;0;0;0
SNX17;0;0;0;0;0
DEF6;0;0;-0.030309458;0;0
DENND4A;0;0;-0.04771601;0;0
DNAJA1;0;0;0;-0.03456233;0
RFC5;0;0;0;-0.003464871;0
RFTN2;0;0;0;0.012755981;0
RHPN2;0;0;0;0.049355963;0
RAP1GAP;-0.029066635;0;0;0;0
PUM1;0;0;0;-0.027498951;0
PPP6R1;0;-0.106793713;0;0;0
POP7;0;0;-0.004512964;0;0.01767981
UBE2H;0;0.027740952;0;0;0
BAG6;0;0;0.087111137;0;0
ATG9A;0;0;0;0;0
TRMT1L;0;0;0;0;0.027525353
TTC38;0;0;-0.016613656;0;0
TREX1;0;0;0;0;0
TRIM47;0;0;0;0.025549469;0
TRIM56;-0.054769602;0;0;0;0
TRIOBP;0;0;0;0;0
TMEM33;0;0;0;0;0
TMEM97;0;0;0;-0.009022792;0
TPMT;0;0;0;0;0
CIB1;-0.028410936;0;0;0;0
CHMP2A;0;0.017489693;0;0;0
POU3F3;0;0;0;0;-0.039026585
PLAA;0;0;0;0;0
PMF1-BGLAP;0;0;0;-0.034999222;0
FNBP1L;0;0;0;-0.05202014;0
FNBP4;0;0;0;-0.010184262;0
F11R;0;0;0;0;0
FDXR;0;0;-0.056344425;0;0
ERICH1;0;0;0;-0.001903068;0
PHACTR4;0;0;0;-0.005909081;0
PIK3C2A;0;0;-0.009620688;0;0
PARVA;0;0;0;0;0
PASK;0;0;0;0;0.00961013
