ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:2000641,regulation of early endosome to late endosome transport,3/297,19/18860,0.15789473684210525,10.026581605528973,4.979223389599179,0.003107225050775123,0.03939050750001351,0.03180792071170035,RAB21/SNX12/SNX3,3
GO:0045453,bone resorption,5/297,63/18860,0.07936507936507936,5.039816150927261,4.06257206340056,0.0031229797934766807,0.03939050750001351,0.03180792071170035,P2RX7/TPP1/NF1/NCDN/ARAP1,5
GO:0010001,glial cell differentiation,11/297,263/18860,0.04182509505703422,2.655963948739614,3.4207456156970717,0.0031342148018127357,0.03939050750001351,0.03180792071170035,BIN1/PTPRZ1/LRP1/GPR17/FGF2/GAP43/NF1/AKT2/SERPINE2/VIM/QKI,11
GO:0002758,innate immune response-activating signaling pathway,13/297,342/18860,0.038011695906432746,2.4138066828125306,3.337486486295438,0.0031478444342341273,0.03939050750001351,0.03180792071170035,PEPD/PIK3R1/GBP2/RAB13/RFTN1/NEK7/P2RX7/TRIM3/RIGI/CD14/IFI16/WASHC4/APPL2,13
GO:0002228,natural killer cell mediated immunity,6/297,91/18860,0.06593406593406594,4.186924186924187,3.854653402487095,0.0031555931422662755,0.03939050750001351,0.03180792071170035,HLA-A/PIK3R1/HLA-B/HLA-C/CORO1A/ARL8B,6
GO:0051453,regulation of intracellular pH,6/297,91/18860,0.06593406593406594,4.186924186924187,3.854653402487095,0.0031555931422662755,0.03939050750001351,0.03180792071170035,CLIC4/SLC4A4/ATP6V1B2/ATP6V1A/ATP6V1H/ATP6V1D,6
GO:2001057,reactive nitrogen species metabolic process,6/297,91/18860,0.06593406593406594,4.186924186924187,3.854653402487095,0.0031555931422662755,0.03939050750001351,0.03180792071170035,APOE/SOD2/ASL/ITGB2/STAT1/CYP1B1,6
GO:0051051,negative regulation of transport,16/297,468/18860,0.03418803418803419,2.1709977265532823,3.2447255747843533,0.003198952322253322,0.039552055482629876,0.031938371059977655,BIN1/CRYAB/APOD/ITGAV/RAP1A/CAMK2D/APOE/CD74/NF1/CORO1A/AKT2/GSTO1/APPL2/SNX12/SNX3/SERPINE2,16
GO:0015749,monosaccharide transmembrane transport,7/297,122/18860,0.05737704918032787,3.6435392173097094,3.705250104732107,0.003211457619010609,0.039552055482629876,0.031938371059977655,PIK3R1/SLC1A2/RAP1A/AKT2/APPL2/RNASEL/SLC27A1,7
GO:0009595,detection of biotic stimulus,4/297,39/18860,0.10256410256410256,6.512993179659846,4.3592510812078,0.003212238760191487,0.039552055482629876,0.031938371059977655,HLA-A/HLA-B/HLA-DRB1/C4B,4
GO:0034249,negative regulation of amide metabolic process,4/297,39/18860,0.10256410256410256,6.512993179659846,4.3592510812078,0.003212238760191487,0.039552055482629876,0.031938371059977655,BIN1/RTN3/SORL1/APOE,4
GO:0043523,regulation of neuron apoptotic process,11/297,264/18860,0.041666666666666664,2.645903479236812,3.4065128423110274,0.0032259290031130825,0.03958597624159104,0.03196576214681545,PTPRZ1/MT3/TMBIM1/SOD2/FGF2/G6PD/NF1/CORO1A/PIK3CA/NES/PCDHGC3,11
GO:0006644,phospholipid metabolic process,14/297,385/18860,0.03636363636363636,2.3091521273339453,3.28277962746939,0.0033042606521064702,0.04041021473184264,0.03263133652524775,SYNJ1/CAPN2/PIK3R1/DGKG/PLPP4/MBOAT2/PLCB1/PIK3C2A/IDH1/PIK3CA/PIP4K2A/INPP1/MTMR1/SH3GLB1,14
GO:0006518,peptide metabolic process,5/297,64/18860,0.078125,4.961069023569023,4.014977831256271,0.0033448320659264807,0.04065854200224833,0.03283186133766898,SLC1A2/TPP1/TAPBP/GGT5/CPQ,5
GO:0034764,positive regulation of transmembrane transport,9/297,191/18860,0.04712041884816754,2.992225924163097,3.5003237560062717,0.0033582607896884675,0.04065854200224833,0.03283186133766898,PIK3R1/SLC1A2/RAP1A/ANO6/P2RX7/G6PD/AKT2/GSTO1/RNASEL,9
