Gene,adj.P.Val_ANOVA,Max_Delta_Log2,logFC,adj.P.Val
IQCD,3.589266298866446e-57,6.06564886762683,-5.572847262383991,2.109103501454143e-13
COL26A1,5.156675216277555e-59,5.2747281620110975,-4.904615432041886,2.109103501454143e-13
FGFBP3,2.828091964908441e-61,4.536622965850061,-4.521439131335448,2.109103501454143e-13
KRT8,4.890911139631389e-58,4.996322337599953,-4.679213105969165,1.395900281863136e-9
GDF15,9.78898466936745e-56,4.582234858088469,-4.582234858088469,1.395900281863136e-9
RPP40,2.725557726769945e-50,5.5716490425945455,-5.388792777092144,7.713597677496142e-9
SFN,1.1282746263119735e-58,4.0453917157804575,-3.9089810021793276,1.1845174979830371e-8
NME4,3.390056966323888e-55,3.855158467007545,-3.855158467007545,3.146402525185402e-8
TMEM161A,8.35996073676446e-51,4.567355197061259,-4.567355197061259,4.0996641914398974e-8
PLOD1,7.082875065470425e-58,3.923394385731161,-3.923394385731161,1.0252305951851196e-7
PLIN2,8.027793509801812e-62,2.888616010980858,-2.888616010980858,1.0252305951851196e-7
THBS3,7.95406330409422e-61,3.2820910508558043,-3.0758601581114995,1.0703450115127742e-7
RIOK2,1.439569974004765e-48,4.762300168170622,-4.591931089479845,1.0731887572222102e-7
ERO1A,1.5664753538231907e-61,3.0878876073112167,-3.0878876073112167,1.376971183326747e-7
KRT18,2.3784020279618846e-57,4.223493230323395,-3.938993483020834,1.5525797620332827e-7
P3H4,4.982548534163932e-56,3.6479104281489114,-3.6479104281489114,3.086277565614622e-7
PFKFB4,5.147916373154325e-49,4.6929523340950965,-4.6929523340950965,3.326106913738754e-7
P3H3,5.13053151833752e-56,3.5375671418100083,-3.5223474370577996,4.0729796633521015e-7
LOX,7.548656655068595e-54,3.6265830707393043,-3.6265830707393043,5.005927002337483e-7
LDLR,3.806855960534655e-61,2.543032462051812,-2.543032462051812,9.856105767166722e-7
CYP2S1,7.242582789759364e-56,3.041891239908093,-3.041891239908093,1.0259390177171713e-6
IKBIP,1.5566923979418252e-58,3.1576016644936935,-3.1576016644936935,2.220699678021061e-6
B4GALT1,1.2422659236583402e-58,2.8091237262277104,-2.780593029887541,2.220699678021061e-6
OBSL1,4.4303758667521034e-60,2.2977166529951596,2.2977166529951596,2.220699678021061e-6
GNPNAT1,2.770116055020436e-63,2.2201277597587854,-2.2201277597587854,2.220699678021061e-6
EIF2AK4,2.454226516096814e-62,2.1823563258470777,-2.1823563258470777,2.4199242855874506e-6
