ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-167169,HIV Transcription Elongation,17/564,43/11230,0.3953488372093023,7.871928088405079,10.381624538290293,8.074884231960918e-12,2.968216065955289e-10,2.2920361050429903e-10,SUPT5H/GTF2F2/NCBP2/POLR2G/NCBP1/CDK7/POLR2H/SUPT4H1/SSRP1/ELOA/SUPT16H/NELFE/ERCC3/POLR2A/GTF2F1/NELFA/CTDP1,17
R-HSA-167200,Formation of HIV-1 elongation complex containing HIV-1 Tat,17/564,43/11230,0.3953488372093023,7.871928088405079,10.381624538290293,8.074884231960918e-12,2.968216065955289e-10,2.2920361050429903e-10,SUPT5H/GTF2F2/NCBP2/POLR2G/NCBP1/CDK7/POLR2H/SUPT4H1/SSRP1/ELOA/SUPT16H/NELFE/ERCC3/POLR2A/GTF2F1/NELFA/CTDP1,17
R-HSA-167246,Tat-mediated elongation of the HIV-1 transcript,17/564,43/11230,0.3953488372093023,7.871928088405079,10.381624538290293,8.074884231960918e-12,2.968216065955289e-10,2.2920361050429903e-10,SUPT5H/GTF2F2/NCBP2/POLR2G/NCBP1/CDK7/POLR2H/SUPT4H1/SSRP1/ELOA/SUPT16H/NELFE/ERCC3/POLR2A/GTF2F1/NELFA/CTDP1,17
R-HSA-8939243,RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known,16/564,38/11230,0.42105263157894735,8.383725270623366,10.483897835551893,1.0555348014798957e-11,3.750666994591896e-10,2.8962393500255385e-10,ACTL6B/SMARCA4/SMARCB1/CBX2/PBRM1/PHC2/ARID1B/SMARCC1/SMARCE1/SMARCD1/RNF2/CBX8/ARID1A/RING1/ARID2/SMARCC2,16
R-HSA-2470946,Cohesin Loading onto Chromatin,9/564,10/11230,0.9,17.920212765957448,12.308884446170547,1.827466591524088e-11,6.284127053434445e-10,4.852559845744778e-10,SMC1A/NIPBL/WAPL/STAG1/PDS5B/SMC3/MAU2/PDS5A/RAD21,9
R-HSA-167152,Formation of HIV elongation complex in the absence of HIV Tat,17/564,45/11230,0.37777777777777777,7.522064617809298,10.080513676992503,1.9248372492712005e-11,6.412114086634686e-10,4.951390555691048e-10,SUPT5H/GTF2F2/NCBP2/POLR2G/NCBP1/CDK7/POLR2H/SUPT4H1/SSRP1/ELOA/SUPT16H/NELFE/ERCC3/POLR2A/GTF2F1/NELFA/CTDP1,17
R-HSA-73894,DNA Repair,48/564,334/11230,0.1437125748502994,2.861511020512167,7.941720546466242,3.1481413134765137e-11,1.0169450424745345e-9,7.852779927076982e-10,SMARCA5/AQR/NSD2/PARP1/XRCC6/XRCC5/LIG1/XRCC1/APEX1/FEN1/MLH1/MAPK8/LIG3/PMS2/POLR2G/MDC1/TERF2/INO80C/PAXIP1/MCRS1/UBE2T/TERF2IP/BAZ1B/PCNA/CDK2/RFC4/RFC2/RFC5/RFC3/MSH2/CDK7/KPNA2/POLR2H/MSH6/NTHL1/RIF1/COPS7B/XAB2/PPP4R2/PARP2/ISY1/ERCC3/POLR2A/RAD23B/H4C1/TP53BP1/SMUG1/ALKBH5,48
R-HSA-73762,RNA Polymerase I Transcription Initiation,17/564,47/11230,0.3617021276595745,7.201976761732308,9.79736311495508,4.3536354588361305e-11,1.3649927644468574e-9,1.0540380584550632e-9,MTA2/MBD3/UBTF/RBBP4/CHD3/CHD4/GATAD2B/HDAC2/EHMT2/POLR1G/TBP/CDK7/POLR2H/POLR1B/ERCC3/MTA1/GATAD2A,17
R-HSA-6807505,RNA polymerase II transcribes snRNA genes,21/564,74/11230,0.28378378378378377,5.650517538815411,9.229372974277258,4.513380458709992e-11,1.3746467339956719e-9,1.06149278758232e-9,SUPT5H/GTF2F2/TAF6/NCBP2/POLR2G/NCBP1/TAF5/RPRD1A/SRRT/INTS10/TBP/CDK7/POLR2H/SUPT4H1/GTF2B/INTS1/INTS4/INTS7/POLR2A/GTF2F1/INTS9,21
R-HSA-69242,S Phase,30/564,150/11230,0.2,3.982269503546099,8.455356825750533,5.552349284059464e-11,1.64411231577983e-9,1.2695722631972224e-9,RB1/LIG1/MCM4/MCM5/MCM7/FEN1/MCM2/RBBP4/MCM6/SMC1A/UBE2S/WAPL/STAG1/PDS5B/SMC3/ORC5/POLA1/PCNA/CDK2/MCM3/RFC4/RFC2/RFC5/RFC3/PRIM2/CDK7/ORC2/PDS5A/ORC3/RAD21,30
R-HSA-6796648,TP53 Regulates Transcription of DNA Repair Genes,19/564,62/11230,0.3064516129032258,6.101864561885153,9.262887098510573,8.711225093485388e-11,2.509774580987952e-9,1.938030732035725e-9,SUPT5H/GTF2F2/MLH1/PMS2/POLR2G/MDC1/MSH2/CDK7/POLR2H/SUPT4H1/SSRP1/ELOA/SUPT16H/NELFE/ERCC3/POLR2A/GTF2F1/NELFA/CTDP1,19
R-HSA-167242,Abortive elongation of HIV-1 transcript in the absence of Tat,12/564,23/11230,0.5217391304347826,10.388529139685478,10.36396872671172,1.8678366956049913e-10,4.991949897413691e-9,3.854749501113367e-9,SUPT5H/GTF2F2/NCBP2/POLR2G/NCBP1/POLR2H/SUPT4H1/NELFE/POLR2A/GTF2F1/NELFA/CTDP1,12
R-HSA-113418,Formation of the Early Elongation Complex,14/564,33/11230,0.42424242424242425,8.447238340855362,9.851688858706982,1.8731519314873138e-10,4.991949897413691e-9,3.854749501113367e-9,SUPT5H/GTF2F2/NCBP2/POLR2G/NCBP1/CDK7/POLR2H/SUPT4H1/NELFE/ERCC3/POLR2A/GTF2F1/NELFA/CTDP1,14
R-HSA-167158,Formation of the HIV-1 Early Elongation Complex,14/564,33/11230,0.42424242424242425,8.447238340855362,9.851688858706982,1.8731519314873138e-10,4.991949897413691e-9,3.854749501113367e-9,SUPT5H/GTF2F2/NCBP2/POLR2G/NCBP1/CDK7/POLR2H/SUPT4H1/NELFE/ERCC3/POLR2A/GTF2F1/NELFA/CTDP1,14
R-HSA-3899300,SUMOylation of transcription cofactors,16/564,45/11230,0.35555555555555557,7.079590228526399,9.396624541532914,2.2090153668328493e-10,5.743439953765408e-9,4.435044972691369e-9,TRIM28/CBX2/PHC2/DDX17/RNF2/CBX8/MBD1/NPM1/CREBBP/DDX5/RING1/CTBP1/SAFB/UHRF2/SIN3A/NCOR2,16
R-HSA-9842860,Regulation of endogenous retroelements,28/564,142/11230,0.19718309859154928,3.9261812006792525,8.069155459926442,3.4703263149395847e-10,8.808018694584754e-9,6.801491674894124e-9,MTA2/MBD3/CBX5/SMARCA4/RBBP4/SMARCB1/CHD3/TRIM28/CHD4/ATF7IP/ARID1B/GATAD2B/HDAC2/SMARCC1/SMARCE1/SMARCD1/EHMT2/EHMT1/DNMT3A/MORC2/MTREX/ARID1A/H4C1/H3-3A/MTA1/GATAD2A/SMARCC2/DPF2,28
R-HSA-8943724,Regulation of PTEN gene transcription,18/564,61/11230,0.29508196721311475,5.875479595395884,8.779795865423466,5.497130143409786e-10,1.362776914622054e-8,1.0523269944054965e-8,KDM1A/MTA2/MBD3/RBBP4/CHD3/CBX2/CHD4/PHC2/GATAD2B/HDAC2/RNF2/CBX8/RCOR1/EED/HDAC3/RING1/MTA1/GATAD2A,18
R-HSA-167238,Pausing and recovery of Tat-mediated HIV elongation,13/564,31/11230,0.41935483870967744,8.349919926790209,9.422868611624361,1.0096690755474327e-9,2.3917938545190294e-8,1.8469268235744848e-8,SUPT5H/GTF2F2/POLR2G/POLR2H/SUPT4H1/SSRP1/ELOA/SUPT16H/NELFE/POLR2A/GTF2F1/NELFA/CTDP1,13
R-HSA-167243,Tat-mediated HIV elongation arrest and recovery,13/564,31/11230,0.41935483870967744,8.349919926790209,9.422868611624361,1.0096690755474327e-9,2.3917938545190294e-8,1.8469268235744848e-8,SUPT5H/GTF2F2/POLR2G/POLR2H/SUPT4H1/SSRP1/ELOA/SUPT16H/NELFE/POLR2A/GTF2F1/NELFA/CTDP1,13
R-HSA-68884,Mitotic Telophase/Cytokinesis,9/564,13/11230,0.6923076923076923,13.784779050736498,10.605614726321091,1.139921833475256e-9,2.6287194854081236e-08,2.029879172103439e-8,SMC1A/NIPBL/WAPL/STAG1/PDS5B/SMC3/MAU2/PDS5A/RAD21,9
R-HSA-176187,Activation of ATR in response to replication stress,14/564,37/11230,0.3783783783783784,7.534023385087215,9.154141007090486,1.1590039006958893e-9,2.6287194854081236e-08,2.029879172103439e-8,MCM4/MCM5/MCM7/MCM2/MCM6/ORC5/CDK2/MCM3/RFC4/RFC2/RFC5/RFC3/ORC2/ORC3,14
