#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
EEA1	RAB5A	9606.ENSP00000317955	9606.ENSP00000273047	0	0	0	0	0.058	0.987	0.800	0	0.997
ELMO2	RHOG	9606.ENSP00000290246	9606.ENSP00000339467	0	0	0	0	0.063	0.914	0.900	0	0.991
FAH	GSTZ1	9606.ENSP00000385080	9606.ENSP00000451976	0	0	0	0	0.177	0	0.977	0	0.981
FGF1	S100A13	9606.ENSP00000480791	9606.ENSP00000392767	0	0	0	0	0	0.948	0	0	0.948
FGF2	S100B	9606.ENSP00000264498	9606.ENSP00000291700	0	0	0	0	0.047	0.926	0	0	0.926
FHL1	STAT1	9606.ENSP00000498684	9606.ENSP00000354394	0	0	0	0	0	0	0.900	0	0.900
GABARAPL2	TBC1D17	9606.ENSP00000037243	9606.ENSP00000221543	0	0	0	0	0.106	0.066	0.900	0	0.909
GABARAPL2	OPTN	9606.ENSP00000037243	9606.ENSP00000368022	0	0	0	0	0.162	0.425	0.900	0	0.947
GAMT	GATM	9606.ENSP00000403536	9606.ENSP00000379895	0	0	0	0	0.126	0.064	0.913	0	0.923
GAPDH	TKT	9606.ENSP00000380070	9606.ENSP00000391481	0	0	0	0	0.349	0.165	0.875	0	0.926
GATM	PIPOX	9606.ENSP00000379895	9606.ENSP00000317721	0	0	0	0	0.067	0	0.900	0	0.902
GBP1	GBP2	9606.ENSP00000359504	9606.ENSP00000359497	0	0	0	0.978	0.775	0.778	0	0	0.947
GGT5	LAP3	9606.ENSP00000381340	9606.ENSP00000226299	0	0	0	0	0	0	0.900	0	0.900
GGT5	PRDX6	9606.ENSP00000381340	9606.ENSP00000342026	0	0	0	0	0.055	0	0.900	0	0.901
GLUD1	IDH1	9606.ENSP00000277865	9606.ENSP00000390265	0	0	0	0	0.165	0.069	0.913	0	0.926
GLUD1	PC	9606.ENSP00000277865	9606.ENSP00000498994	0	0	0	0	0.044	0	0.956	0	0.956
GLUD1	GLUL	9606.ENSP00000277865	9606.ENSP00000307900	0	0	0	0	0.089	0	0.956	0	0.958
GMPR	NT5E	9606.ENSP00000259727	9606.ENSP00000257770	0	0	0	0	0	0	0.942	0	0.942
GMPR	NUDT16	9606.ENSP00000259727	9606.ENSP00000422375	0	0	0	0	0	0	0.900	0	0.900
GNA12	GNG12	9606.ENSP00000275364	9606.ENSP00000360021	0	0	0	0	0.048	0.259	0.900	0	0.923
GNA12	GNA13	9606.ENSP00000275364	9606.ENSP00000400717	0	0	0	0.964	0.074	0.472	0.900	0	0.946
GNA13	GNB1	9606.ENSP00000400717	9606.ENSP00000367872	0	0	0	0	0.211	0.939	0.540	0	0.976
GNAI2	MAPK1	9606.ENSP00000312999	9606.ENSP00000215832	0	0	0	0	0.138	0.134	0.900	0	0.918
GNAI2	GNB4	9606.ENSP00000312999	9606.ENSP00000232564	0	0	0	0	0.206	0.885	0.650	0	0.965
GNAI2	KRAS	9606.ENSP00000312999	9606.ENSP00000256078	0	0	0	0	0.067	0.242	0.900	0	0.923
GNAI2	MAPK3	9606.ENSP00000312999	9606.ENSP00000263025	0	0	0	0	0.187	0.134	0.900	0	0.923
GNAI2	PIK3CA	9606.ENSP00000312999	9606.ENSP00000263967	0	0	0	0	0.042	0	0.900	0	0.900
GNAI2	GNB2	9606.ENSP00000312999	9606.ENSP00000305260	0	0	0	0	0.433	0.701	0.650	0	0.935
GNAI2	P2RY12	9606.ENSP00000312999	9606.ENSP00000307259	0	0	0	0	0	0	0.900	0	0.900
GNAI2	PIK3R1	9606.ENSP00000312999	9606.ENSP00000428056	0	0	0	0	0.047	0	0.900	0	0.900
GNAI2	PLCB1	9606.ENSP00000312999	9606.ENSP00000338185	0	0	0	0	0.091	0.067	0.900	0	0.907
GNAI2	GNB1	9606.ENSP00000312999	9606.ENSP00000367872	0	0	0	0	0.657	0.990	0.650	0	0.998
GNAO1	GNB1	9606.ENSP00000262494	9606.ENSP00000367872	0	0	0	0	0.190	0.968	0.540	0	0.987
GNAQ	KRAS	9606.ENSP00000286548	9606.ENSP00000256078	0	0	0	0	0.062	0	0.900	0	0.902
GNAQ	GNB1	9606.ENSP00000286548	9606.ENSP00000367872	0	0	0	0	0.155	0.983	0.540	0	0.993
GNAQ	PLCB1	9606.ENSP00000286548	9606.ENSP00000338185	0	0	0	0	0.060	0.555	0.900	0	0.954
GNB1	GNG5	9606.ENSP00000367872	9606.ENSP00000359675	0	0	0	0	0.073	0.995	0.540	0	0.997
GNB1	GNG12	9606.ENSP00000367872	9606.ENSP00000360021	0	0	0	0	0.057	0.995	0.540	0	0.997
GNB1	PREX1	9606.ENSP00000367872	9606.ENSP00000361009	0	0	0	0	0.056	0.921	0.900	0	0.991
GNB1	KCTD12	9606.ENSP00000367872	9606.ENSP00000366694	0	0	0	0	0.074	0.900	0	0	0.903
GNB1	GPR17	9606.ENSP00000367872	9606.ENSP00000442982	0	0	0	0	0	0.900	0.500	0	0.947
GNB2	PREX1	9606.ENSP00000305260	9606.ENSP00000361009	0	0	0	0	0.083	0.245	0.900	0	0.924
GNB2	GNG12	9606.ENSP00000305260	9606.ENSP00000360021	0	0	0	0	0.055	0.995	0.540	0	0.997
GNB2	GNG5	9606.ENSP00000305260	9606.ENSP00000359675	0	0	0	0	0.158	0.995	0.540	0	0.998
GNB4	PREX1	9606.ENSP00000232564	9606.ENSP00000361009	0	0	0	0	0.083	0.245	0.900	0	0.924
GNB4	GNG5	9606.ENSP00000232564	9606.ENSP00000359675	0	0	0	0	0.057	0.995	0.540	0	0.997
GNB4	GNG12	9606.ENSP00000232564	9606.ENSP00000360021	0	0	0	0	0.056	0.995	0.540	0	0.997
GNB5	PREX1	9606.ENSP00000261837	9606.ENSP00000361009	0	0	0	0	0	0.245	0.900	0	0.921
GNB5	GNG5	9606.ENSP00000261837	9606.ENSP00000359675	0	0	0	0	0.055	0.995	0.540	0	0.997
GNG12	PREX1	9606.ENSP00000360021	9606.ENSP00000361009	0	0	0	0	0.042	0	0.900	0	0.900
GNG5	PREX1	9606.ENSP00000359675	9606.ENSP00000361009	0	0	0	0	0	0	0.900	0	0.900
GSTM1	GSTM2	9606.ENSP00000311469	9606.ENSP00000241337	0	0	0	0.981	0.999	0.695	0.650	0	0.999
GSTM1	PRDX6	9606.ENSP00000311469	9606.ENSP00000342026	0	0	0	0	0.100	0.045	0.900	0	0.906
GSTM2	PRDX6	9606.ENSP00000241337	9606.ENSP00000342026	0	0	0	0	0.099	0.045	0.900	0	0.906
GSTM2	GSTM4	9606.ENSP00000241337	9606.ENSP00000358851	0	0	0	0.981	0.538	0.847	0.650	0	0.973
GSTM2	GSTM3	9606.ENSP00000241337	9606.ENSP00000354357	0	0	0	0.972	0.208	0.982	0.650	0	0.994
GSTM3	PRDX6	9606.ENSP00000354357	9606.ENSP00000342026	0	0	0	0	0.105	0.045	0.900	0	0.907
GSTM3	GSTM4	9606.ENSP00000354357	9606.ENSP00000358851	0	0	0	0.973	0.131	0.885	0.650	0	0.962
GSTM4	PRDX6	9606.ENSP00000358851	9606.ENSP00000342026	0	0	0	0	0.093	0.045	0.900	0	0.905
GSTO1	PRDX6	9606.ENSP00000358727	9606.ENSP00000342026	0	0	0	0	0.153	0.227	0.900	0	0.928
HLA-A	TAP1	9606.ENSP00000379873	9606.ENSP00000346206	0	0	0	0	0.492	0.625	0.900	0	0.979
HLA-A	HLA-DRB1	9606.ENSP00000379873	9606.ENSP00000353099	0	0	0	0.614	0.134	0	0.900	0	0.909
HLA-A	TAP2	9606.ENSP00000379873	9606.ENSP00000364032	0	0	0	0	0.149	0.510	0.900	0	0.954
HLA-A	HLA-C	9606.ENSP00000379873	9606.ENSP00000365402	0	0	0	0.980	0.772	0.596	0.900	0	0.989
HLA-A	HLA-DRA	9606.ENSP00000379873	9606.ENSP00000378786	0	0	0	0.614	0.263	0	0.900	0	0.923
HLA-A	HLA-DPB1	9606.ENSP00000379873	9606.ENSP00000408146	0	0	0	0.639	0.191	0	0.900	0	0.915
HLA-A	TAPBP	9606.ENSP00000379873	9606.ENSP00000404833	0	0	0	0	0.166	0.961	0.900	0	0.996
HLA-A	HLA-B	9606.ENSP00000379873	9606.ENSP00000399168	0	0	0	0.982	0.999	0.316	0.900	0	0.999
HLA-B	HLA-DRB1	9606.ENSP00000399168	9606.ENSP00000353099	0	0	0	0.619	0.168	0	0.900	0	0.913
HLA-B	HLA-C	9606.ENSP00000399168	9606.ENSP00000365402	0	0	0	0.982	0.782	0.605	0.900	0	0.990
HLA-B	HLA-DRA	9606.ENSP00000399168	9606.ENSP00000378786	0	0	0	0.610	0.443	0	0.900	0	0.941
HLA-B	HLA-DPB1	9606.ENSP00000399168	9606.ENSP00000408146	0	0	0	0.635	0.248	0	0.900	0	0.921
HLA-B	TAPBP	9606.ENSP00000399168	9606.ENSP00000404833	0	0	0	0	0.225	0.908	0.900	0	0.992
HLA-C	HLA-DRB1	9606.ENSP00000365402	9606.ENSP00000353099	0	0	0	0.600	0.134	0.134	0.900	0	0.918
HLA-C	HLA-DPB1	9606.ENSP00000365402	9606.ENSP00000408146	0	0	0	0.612	0.149	0	0.900	0	0.911
HLA-C	HLA-DRA	9606.ENSP00000365402	9606.ENSP00000378786	0	0	0	0.609	0.194	0	0.900	0	0.916
HLA-C	TAPBP	9606.ENSP00000365402	9606.ENSP00000404833	0	0	0	0	0.138	0.132	0.900	0	0.918
HLA-DPB1	HLA-DRB1	9606.ENSP00000408146	9606.ENSP00000353099	0	0	0	0.962	0.368	0.131	0.900	0	0.940
HLA-DPB1	HLA-DRA	9606.ENSP00000408146	9606.ENSP00000378786	0	0	0	0.660	0.819	0.573	0.900	0	0.991
HLA-DRA	HLA-DRB1	9606.ENSP00000378786	9606.ENSP00000353099	0	0	0	0.638	0.690	0.995	0.900	0	0.999
HLA-DRA	VIM	9606.ENSP00000378786	9606.ENSP00000446007	0	0	0	0	0.086	0.920	0	0	0.924
HLA-DRB1	VIM	9606.ENSP00000353099	9606.ENSP00000446007	0	0	0	0	0.052	0.920	0	0	0.921
