ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0009100,glycoprotein metabolic process,9/16,377/18860,0.023872679045092837,28.13992042440318,15.510499608746546,4.685984189096713e-12,1.3964232883508206e-9,8.434771540374085e-10,PLOD3/HEXB/TM9SF2/ALG6/B3GAT3/GLB1/GALNT2/SLC35B2/MAGT1,9
GO:0009101,glycoprotein biosynthetic process,8/16,303/18860,0.026402640264026403,31.122112211221122,15.402301704093539,4.659283971447277e-11,6.942333117456443e-9,4.19335557430255e-9,PLOD3/HEXB/TM9SF2/ALG6/B3GAT3/GALNT2/SLC35B2/MAGT1,8
GO:0006029,proteoglycan metabolic process,5/16,114/18860,0.043859649122807015,51.69956140350877,15.821042436481,3.059584504811372e-8,3.039187274779296e-6,1.8357507028868233e-6,HEXB/TM9SF2/B3GAT3/GLB1/SLC35B2,5
GO:0006493,protein O-linked glycosylation,5/16,154/18860,0.032467532467532464,38.271103896103895,13.532403072884689,1.381616640236406e-7,1.0293043969761225e-5,6.217274881063828e-6,PLOD3/TM9SF2/B3GAT3/GALNT2/SLC35B2,5
GO:0006672,ceramide metabolic process,4/16,119/18860,0.03361344537815126,39.621848739495796,12.315241502296802,2.586119033959411e-6,1.4651300369999235e-4,8.849778746979403e-5,HEXB/TM9SF2/GLB1/CERS2,4
GO:0050654,chondroitin sulfate proteoglycan metabolic process,3/16,34/18860,0.08823529411764706,104.00735294117648,17.517068652956368,2.9499262489931345e-6,1.4651300369999235e-4,8.849778746979403e-5,HEXB/B3GAT3/SLC35B2,3
GO:0030201,heparan sulfate proteoglycan metabolic process,3/16,46/18860,0.06521739130434782,76.875,15.013080866153926,7.436956833613522e-6,3.166018766309756e-4,1.9123603286434773e-4,TM9SF2/B3GAT3/GLB1,3
GO:0006665,sphingolipid metabolic process,4/16,180/18860,0.022222222222222223,26.194444444444446,9.896585401227258,1.3352388019271975e-5,4.203909696151395e-4,2.5392743131115816e-4,HEXB/TM9SF2/GLB1/CERS2,4
GO:0180064,protein O-linked glycosylation via xylose,3/16,58/18860,0.05172413793103448,60.9698275862069,13.328385536917144,1.5023349973790091e-5,4.203909696151395e-4,2.5392743131115816e-4,TM9SF2/B3GAT3/SLC35B2,3
GO:0006486,protein glycosylation,4/16,187/18860,0.0213903743315508,25.213903743315505,9.69641824583825,1.5517787469015218e-5,4.203909696151395e-4,2.5392743131115816e-4,ALG6/B3GAT3/GALNT2/MAGT1,4
GO:0043413,macromolecule glycosylation,4/16,187/18860,0.0213903743315508,25.213903743315505,9.69641824583825,1.5517787469015218e-5,4.203909696151395e-4,2.5392743131115816e-4,ALG6/B3GAT3/GALNT2/MAGT1,4
GO:0070085,glycosylation,4/16,202/18860,0.019801980198019802,23.34158415841584,9.302290078371316,2.1017663383653906e-5,5.21938640694072e-4,3.152649507548086e-4,ALG6/B3GAT3/GALNT2/MAGT1,4
GO:0006687,glycosphingolipid metabolic process,3/16,70/18860,0.04285714285714286,50.517857142857146,12.094286332668926,2.6487158943888818e-5,6.071671819445283e-4,3.667452776846144e-4,HEXB/TM9SF2/GLB1,3
GO:0006643,membrane lipid metabolic process,4/16,229/18860,0.017467248908296942,20.58951965065502,8.690729225715614,3.4360429640767824e-5,7.313862880677722e-4,4.417769525241578e-4,HEXB/TM9SF2/GLB1/CERS2,4
GO:0030166,proteoglycan biosynthetic process,3/16,83/18860,0.03614457831325301,42.605421686746986,11.069006563343194,4.416057690096772e-5,8.773234610992255e-4,5.299269228116127e-4,TM9SF2/B3GAT3/SLC35B2,3
GO:0050655,dermatan sulfate proteoglycan metabolic process,2/16,13/18860,0.15384615384615385,181.34615384615387,18.953534906932315,5.2345672995582115e-5,9.749381595427169e-4,5.888888212002988e-4,HEXB/B3GAT3,2
GO:0006487,protein N-linked glycosylation,3/16,93/18860,0.03225806451612903,38.024193548387096,10.429474550134515,6.204723026824712e-5,0.001087651448231626,6.569706734284988e-4,HEXB/ALG6/MAGT1,3
GO:0030167,proteoglycan catabolic process,2/16,17/18860,0.11764705882352941,138.6764705882353,16.547863678430645,9.108887604052073e-5,0.0015080269477819545,9.108887604052073e-4,HEXB/GLB1,2
GO:0006664,glycolipid metabolic process,3/16,114/18860,0.02631578947368421,31.01973684210526,9.367803534451681,1.1373422702335113e-4,0.001739131692298899,0.0010504822302476572,HEXB/TM9SF2/GLB1,3
GO:1903509,liposaccharide metabolic process,3/16,115/18860,0.02608695652173913,30.75,9.324508338577727,1.1672024780529524e-4,0.001739131692298899,0.0010504822302476572,HEXB/TM9SF2/GLB1,3
GO:0046479,glycosphingolipid catabolic process,2/16,23/18860,0.08695652173913043,102.5,14.192433408359655,1.6894971946220997e-4,0.0023974769714161224,0.0014481404525332284,HEXB/GLB1,2
GO:0019377,glycolipid catabolic process,2/16,26/18860,0.07692307692307693,90.67307692307693,13.332458378348054,2.1670834691507073e-4,0.0026907953075287947,0.0016253126018630306,HEXB/GLB1,2
GO:0046514,ceramide catabolic process,2/16,26/18860,0.07692307692307693,90.67307692307693,13.332458378348054,2.1670834691507073e-4,0.0026907953075287947,0.0016253126018630306,HEXB/GLB1,2
GO:0050650,chondroitin sulfate proteoglycan biosynthetic process,2/16,26/18860,0.07692307692307693,90.67307692307693,13.332458378348054,2.1670834691507073e-4,0.0026907953075287947,0.0016253126018630306,B3GAT3/SLC35B2,2
GO:0001573,ganglioside metabolic process,2/16,29/18860,0.06896551724137931,81.29310344827586,12.608787498674623,2.7031719974626245e-4,0.0032221810209754486,0.0019462838381730898,HEXB/GLB1,2
GO:0015012,heparan sulfate proteoglycan biosynthetic process,2/16,34/18860,0.058823529411764705,69.33823529411765,11.621360272722999,3.7259430946331594e-4,0.0042705040084641595,0.002579499065515264,TM9SF2/B3GAT3,2
GO:0016052,carbohydrate catabolic process,3/16,187/18860,0.016042780748663103,18.910427807486634,7.172201592286608,4.884294956934436e-4,0.00522487167931364,0.003155962759316964,HEXB/GLB1/ADPGK,3
GO:0006516,glycoprotein catabolic process,2/16,39/18860,0.05128205128205128,60.44871794871795,10.828946875669077,4.909275403381944e-4,0.00522487167931364,0.003155962759316964,HEXB/GLB1,2
GO:0018279,protein N-linked glycosylation via asparagine,2/16,44/18860,0.045454545454545456,53.57954545454545,10.174481517353275,6.251961255454502e-4,0.006424429152156695,0.003880527675799346,ALG6/MAGT1,2
GO:0030149,sphingolipid catabolic process,2/16,47/18860,0.0425531914893617,50.159574468085104,9.83242834092253,7.133562427510587e-4,0.0070860053446605165,0.0042801374565063525,HEXB/GLB1,2
GO:0032527,protein exit from endoplasmic reticulum,2/16,51/18860,0.0392156862745098,46.22549019607843,9.423631419086076,8.397149137832316e-4,0.008072098203464613,0.004875764015515538,TM9SF4/HM13,2
